timestamp,time,author,message
1580816957657303,11:28,Yumna Thomas,hi guys
1580818014609515,29:06,Lucky Thwala,"Judge Pillay ruling today 1 ,Deputy Chief Justice Zondo 0"
1580818950826075,44:42,bongani muzi Mkhabela,🙂🙂
1580819316297568,50:47,Bill Hughes,...
1580819331511206,51:03,Bill Hughes,.
1580822056876394,1:36:28,Doll House,Zondo is the messiah and he has the patience of buddah
1580822092366625,1:37:03,Doll House,He is a great great role model for people everywhere.
1580822327609868,1:40:59,Nkanyezi Nadine,oh its lunch time?
1580822387486061,1:41:58,basil harrison,Top
1580822815672564,1:49:07,martin bekker,Zondo show me how to have more pations with myself and other people!
1580823752388869,2:04:42,Nokhala Sinyamba,Why does witness want question prior to the attendance of the commission?
1580824487412695,2:16:58,Hans Gunter,"Our health service, have an excellent record to respond to any disaster!!!🙏🙏 So as South Africans sleep well. Our government will protect us.😥😥"
1580825342712074,2:31:13,Thulani Bukani,Hofmeyer knows her stuff
1580825389466925,2:32:00,Doll House,@martin bekker ✳❇
1580825484427328,2:33:35,Doll House,@Thulani Bukanki Hofmeyer rocks! I loved listening to her style
1580825829874181,2:39:21,Mashudu Tshikororo,sequence of events
1580825928298876,2:40:59,Linda Sydney Mnisi,😀😀😀😀 mashudu tshikororo
1580826057853513,2:43:08,Mashudu Tshikororo,😀😀😀 Yes Mr Rain-Maker
1580826725312566,2:54:15,Chris,😨
1580827022822638,2:59:13,Namic Media,Blessings
