starttime, endtime,message
time,-13:46,message @Nkosinathi Ngidi it's Aggrizzi who is in the hot seat Welcome back Agrizzzi Spill more beans Aggrizzzi >>>>>>>>>>>>> wecome back our resourceful agrizzi this time finish them off VUVUZELA is going to be blown Takie Moses he is back to finish them off i will take Agrizzi serious when he expose Ramaphosa... sango lol leave them 
-13:37,-9:48, Elliott what if he's got nothing to say about Ramaphosa? 30 sec guys let the game begun what the delay still tryng to bribe our agrizzi that one cant be bought Grizza lamagrizza Takie Chief I'm trying to call Zondo but he's not picking what is the delay mara? we ready for the show Aggrizzi must come and show us flames will start at 10:15am mornin6 "Agrizzi is eating his breakfast 
-9:24,-7:16, morning alles jones send him a msg we cant be waiting forever lol Agrizzi is back so far Agrizzi is the one who has given evidence with visuals and cannot be denied what's the hold up now? after today we want to see who's death will be staged ANN7 has it live now.... Agrizzi and Zondo eating a pig and 400 eggs for breakfast. "mic check 1 2 1 2 
-7:15,-4:44, Newzroom Afrika not ANN7 @Slindile Ngcobo​😎😂😂 Slindile I'm going to check ANN7 now "Agrizzi reminds of the song Papa by Sankomota ""You're waiting for your name to be called. Your body's shaking with disbelief""" thanks Jonny "@SM Stories Uncle Gaving is in Dubai Morning all He is in Seychelles with Hansie 
-4:13,-1:50, morning guys what happening it not started yet? welcome back agrizzi🙋 @Eliot Chauke You sound worried. Myeni says she has no money to appear in court. No money for hotel or travel "@Derek Main​ why the delay What happened to all the money looted from SAA Morning Have they started ? Have'nt they started? 
-1:36,1:08, Myeni is arrogant. Always has been. Remember how she treated parliamentary committee when they called her to account? late as per usual "Can we raise transport money for Dudu Myeni pls She's unemplyed and she's not working Shem poor Dudu never here we gooooo #Habashwe! @Paul Buchel Well hopefully we don't cross swords. 😁 
2:06,6:21, WTH!?? it just started aagh Who's your source Tikvah 👍 "Why SABC I can see by the looks of Deputy Chief Justice he don't like what they telling him now. we only start now but already we about to adgen 👂 "This is ridiculous now 
6:37,9:41, "@bongile sango They can adjen adjourn @Paul Buchel useless Pheladi Lamola ​Myeni is arrogant. Always has been. Remember how she treated parliamentary committee when they called her to account? Dudu NEVER appeared at any of those Parliamnetary sessions!!!!!! wt...🤦 @Concerned South African maybe all hearings shud be at her house Dudu Myeni is soo disrespectful of the law Where is the feed ? "avuxeni vanghana. pls help me 2 understand ds 
9:44,13:04, when is Makhulu 'Zuma' comin back. our justice system _bad judgement always late and now we waiting for the SA time im going to make my coffee ....10am new SA time = whenever ...!!! but let's hope they not going to come back and telling us that they are continuing tomorrow. in the mean time we can listen to Haka Matorokisi "morning everyone Tash 😂 "@Concerned South African Dudu Myeni has always shown the law the middle finger. If you or I had done the same who is Haka Motorosi now? 
13:17,18:16, The reason for late start was the lawyers were meeting in chambers with Zondo. "@Concerned South African Since the law is no longer serving us I can't seem to get the audio. Who wants to miss Angelo Agrizi. What if he mentions my name. I need to hear him. "@Derek Main​ yebo @Paul Buchel That's what I'm talking about - we're on our own and need to deal with our own issues. Our government is unable or simply doesn't care to administer justice fairly or competently. @Paul Buchel Criminals are running amok in the vacuum. Where is AG? They making me an offer he can't refuse🤔 just bringing a reinforced stainless steel chair in... 😂😂🤣 
18:58,22:21, @Person of interest ...and making sure it's bolted down. "Correct @Paul Buchel The cops ARE the criminals. "lol Derek bongile sango it's the new dance craze taking over from Malwedhe. Check it here on YouTube.😂 resumed till tomorrow Gavin Watson is alive this guy got crutches that's why so late I don't hear anything what's wrong Is there sound? 
22:38,24:06, no sound there is no sound why kufihlwani "Nope wassup??? im watching today bcz of agrizz. whats goin "this chap in crutches is grand standing they have NOT started yet Sound. I hope Agrizzi does mention my name today. Worse off when there is no sound. 
