starttime, endtime,message
time,-10:40,message "Morning morning all cant wait to hear the ""stories"" for today." @Diane Louw hey Hi There-should be interesting until lunch time when we are drowned in numbers again "@Diane Louw Did you see Lotteries offices raided on suspicion of sorry had to refresh @Heather Durr yes watched it. Everything is corrupt i tell you. Sad to hear about Dawn Lindberg passing away last nite due to covid 19 related illness. @Diane Louw She was a real stalwart of our entertainment industry yeah 
0:24,3:55, "Morning all morning Sibongile Who is in the witness stand today? Morning gud ppl Dr Ben Ngubane morning Mr A and Pardon "It will be a morning of I don't recall "morning Bruce morning rob 
3:57,6:20, Gud Diane how are u @Diane is there anything he must answer? "I cant wait for the arrogant Dr No streaming or is there a delay? well Pardon and you? "@Mr A Eskom related evidence from the former Eskom board chairperson Greetings All - can't wait for drama & arrogance. Sibongile lets see what he says and connect the dots as we go along. morning SanFran Arnaold and Letato 
6:23,8:06, morning. I see we have a real corrupt witness Very well my sister morning Gray lawrence Goodmorning Diane 😃 Morning All 🙂 where is tanya morning Carl and Brian This guys version should be ripped apart. 
8:08,9:37, Morning @Carl GM morning Jacques Joubert Morning Carl morning Yonds Athini yebo all @Brian Hayes hello there Morning y’all @Benjamin Mokotjo GM 
9:46,11:21, morning Benjamin Mokotjo on what channel can I watch on TV On Enca @smart guys im not sue Smart Guy is think its 405 salaam infidels 🙂 @Sanfran Arnold GM😘😘 oh we acting today i c @Quinton van Eeden GM @Quinton van Eeden GM 
11:28,12:15, I hope this older fellow speaks the truth today 😀 it is such a disgrace when old people are deceitful morning Quinton van Eeden This guy is gonna act dumb all day Thanks it's on ENCA @ALTA @Quinton van Eeden Hi agree Grant Langton and morning more more Alta I agree Grant. "Grant 
12:18,13:27, "@Grant Langton GM Morning Di Agreed Ant GM @Alta @SanFran Arnold @ALTA @Diane Louw @Heather Durr 🌹🌹 "You bet I have no sound. anybody else ??? @Sanfran sadly you could be right waste of time 
13:44,14:37, @Richard Evans try refreshing and just make sure you don't have the page on mute. Otherwise I have sound We do have @Angelo Doubel Hi GM Alta @Angelo Doubel GM new affidavits are not going to help the ci=orrupt Morning Antoinette "@SanFran Arnold tnks @Sanfran Arnold do you see me 
14:38,15:47, Goodmorning Alta Adv Slow poison in action today 😁😁😁 the meat on the bones today. @Andre Gerber more sê just push the red line below the word live to the far right hand end @Andre Gerber GM Hi @ALTA morning Andre Hi @Diane Louw 
16:03,18:12, @Andre Gerber alles loop reg altyd reg..... GM @ Sanfran arnold @hirsitus GM @Hirsitus with lot of vernon questions:washhands::washhands: they should introduce lie detector tests after testimony. just one question should be asked. was your whole testimony truthful @SanFran Arnold 😆😆😆😆 @hirsitus hi there helooooo🙋‍♀️🙋‍♀️ @Walter Moloto he's brilliant 
18:14,19:25, it's frozen Why was Lynne Brown never implicated-clearly she facilitated all of this @Valencia J hello there sweetie 👋👋:virtualhug: arms deal case of Zuma postponed until February 2021 so I suppose he has some free time for the commission 😂😂 @Heather Durr ​ Hi Heather GM @Valencia J theres that smile Mr Seleka start firing.... Is the Minister Brown been called to this commission? @Valencia J hi there Heya @Valencia J 
19:28,20:15, ditto @ Heather Durr "@Heather Durr hi there Morning Valencia J Molweni Nonke. @SanFran Arnold Great thanks "@SanFran Naledi is late..... Ewe @Thulani Faku "@Diane Louw hi 
20:15,22:50, The regulars are here GM @Lerato Moleke yes thank you Valencia J is cloudy and rained this morning so im happy As always @Zinhle Big Daddy Dee yes big Daddy this is our house Greetings @Angelo D .. Morning to you to Zinhle BDD morning all in the house @Sanfran where is your friend Suade?? who is testifying today? 
23:11,23:56, Dr Ben Ngubane Dr Ben Ngubane Our Covid-19 figures here always rise from 1-3 to 10 or more on a Monday when outside visitors came here for a weekend morning lerato Moleke @Joseph morning thanks @Zinhle Big Daddy DEE GM board chairman morning every one and Big Daddy 
24:01,25:05, @ Valencia morning thnx Howdy Joseph M and Kelly M ur welcome @Lebo hi "Ben the man who started cannabis capture in South Africa @Lebo Makatikela GM "Brian Molefe Ben is a arrogant B....rd @moleke @Lebo Makatikela @Quinton Ndzinisa Morning fellow contributors 
25:30,27:10, jgn @Zweli we will probably need a year or two more in order for everyone who needs to come account here. I wonder how they will be followed up if they don't appear here. will the just go on with life @Andre 😁😁😁 chill l u gud Lerato M @Kelly it's only Lerato here? Why this old so calmly today? @Valencia J 😂😂😂😂😂😂 Valencia GM No like Lerato lol 
27:19,28:56, @Alta hi hunny gaan dit goed? The national lottery officers has been raided by the SIU "@Valencia J - No I wont chill "Am great @Kelly M😘 @Angelo now only 🙄🙄 I thought Koko single handedly saved Eskom for 2 non sequential years maybe he is calm cause he is not going to lie today and come clean - one never knows Valencia ek nodig salusa 99😁😁 @Andre du Plessis I was actually talking to @Andre Gerber 🤷‍♀️🤷‍♀️ 
29:02,31:26, Ben Ngubande has a 20 year history of dodgy dealings and self enrighment "@ Valencia J @Angelo Doubel yes i saw about the lottery @Valencia J Eish 🤔 the former Hawks spoke person his organization received 3 million "@zweli the public should arrest them and force to account @Angelo from the lottery? @Alta the national lottery was also captured for many years another liar @Heather Durr which years are you talking about 
31:45,32:41, "79 year old MB ChB lottery commission is been investigate since 2014 dealings the siu said this morning Hi viewers..remind me of this man today ..its Tsotsi? @Valencia J Yup he resigned from the hawks. I think 6 weeks ago "100% correct @ Valencia J @Angelo Doubel very true i do agree like fridays nrs 6 7 8 9 10🤐🤐 ka nnete corruption has been institutionalised. I am wondering what was so special and unique with Mr. Brian Molefe that ex-Minister Brown had the audacity to second Molefe to the position. @Rob Nel GM Ngubane @Machoene B 
32:59,34:19, @ALTA It was 5.6.7.8.9.10 @Alta 🤣🤣🤣. the love of money @zweli and very soon people will be beyond gatvol and take matters on themselves. Our justice system is doing us no justice Oh thanx Andre "@Machoene B Eskom related evidence from the former Eskom board chairperson @Precious Zara yip brown benefited financially from the leadership of Brian molefe and Ben ngubane @Angelo omw this country need a complete cleanse from top to bottom. What is clean here? Everything seems tainted "@Phuti M 
34:20,36:11, @Andre Gerber The 2 years shown by Koko on the B/S when he gave his soliloquy on 3 December at the Commission-cant recall which years @Angelo Doubel if only i knew🤣🤣🤣🤣🤣 "@Valencia J 🤣🤣. it all boil down to ""Greed""" Governments around the world need a reset. Oh wait... 🙄 Why is Lynne Brown not answering to teh Commission? It seems it was her idea all along. 😄 😄 "@Person of interest GM Lynne brown is also a big liar @Person of interest GM 
36:11,37:29, Lynne Brown coming "Lerato M @Heather Durr if it was from 2015 there was 26 days of loadshedding in the 1st 3 months @ALTA can you see me now? 💰💰💰❤❤❤ 🤣🤣🤣 @Sanfran Arnold yessss skattebol Well done DCJ!!! Joke! Hilarious 
37:39,38:46, "@Andre Gerber I think it was 2017 and 2019 Ambassador this is not a joke you old fool Jokes* "Lynne Brown cryin' molefe every basket of apples has a written one inside big daddy you are not from Joburg. @zip reeper goeie more howzit alta 
