starttime, endtime,message
time,-47:59,message Ms Daniels should have legal presentation at this enquiry. @Diane Louw Not sure what they are getting at-that is standard wording for a minute/submission. Very often not 100% accurate esp in non essential matters wonder if there have been complaints re Koko and that she is not being handled strongly enought "@Heather Durr I missed the ""kerfuffle"" with Koko. Can you recall what day it happened It's up to her to seek an attorney to try protect her from hanging herself with the rope offered by Zondo and Seleke. The perjury that she's committing here will lead to her being arrested for perjury @Naledi Barron 3 December Evening session Mentioned under Koko @Heather Durr the only thing that i can assume is that they know she did not write those reports/memos and they are trying to find out who did and hopes she reveal it Thank you @Heather Durr !! x 
-46:36,-37:00, oops know must be now... The actress is busy rehearsing during this break - but she's still gonna forget her lines "Lies Let me use this break to eat umdoko wamabele Brian M name seems to pop up alot this morning.... @Diane Louw Lets see-apart from the heading thee is absolutely nothing wrong with that resolution *there Suzanne Daniels you are going down today Why is Newzroom Afrika not streaming this? 
-9:29,3:19, Restart scheduled for 14h10 hmmmm Looking for draft resolutions/submissions when is this starting???? yip oops they late again @Sal SA hi Hallo my new found friends Hallooooo everyone. Still waiting .... 😀 
3:28,5:13, wb Ohsh let me finish m pap nd spinach I'll be back now now 10 minutes late. should have been 14h10? aaaaaaalllll riiiiiiiiisssssse "We waited 10 years for this @Naledi Barron hi hi True Dat @Sal SA ! Hi Hi my skattebol @ALTA speak of the devil. They are going a few minutes already. We will have to watch the first 10 minutes on enca 
5:16,6:51, @Naledi Barron 🤩🤩 "3 yearz ago @Aubrey De Bliquy refresh they're back on Oh a round robin-can take several days to get to each one @Sal SA at last hello Bwah haha! Rockin' Robin (Michael Jackson) this was very very rushed this desicion @Heather I think round Robin is common in SOE's Chair looks very ciskop 
7:00,9:58, thought every 1 are ignoring me @Sal SA Happens all the time in corporates save for meetings which require all to be present per Company's Act "@Alta my apologies didn't mean to ignore u hi @ALTA:shelterin: Hi HI @Santa Kriel @Heather Durr Ta @Santa Kriel:virtualhug: "@Heather Durr - just out of curiosity Yhoooo 
10:40,13:41, @Jacqui Baumgardt hi hi @Naledi Barron:chillwcat: Naledi is such a pretty name "@Heather Durr @ALTA - hi They can sound a round robin in counterparts i.e. everyone signs one copy and they are then all added together and treated as one document prepayment in cash nogal @Santa Kriel It was the name gifted to me by my S.A project friends. I wear it with pride! There is a recordal in the resolution itself 
13:45,15:57, "@Heather Durr as an attorney "@Richard Evans As is the case for many of us @Naledi Barron vape ready 😁😁 @Richard Evans. That's Heather's client on the witness stand @Naledi Barron touche Cant find a permanent job for a number of reasons so working from home @Santa Kriel Morning Star the most beautiful one in the whole UNIVERSE @Heather Durr - would love you to contact me via private message @Sal SA 😂😂😂 
15:58,18:43, not sure how here though @Heather Durr thank you @Heather Durr - perhaps in LinkedIn @Richard Evans Welcome to the chat 😀 @Sal SA LOVE IT !!! "@Naledi Barron thank you welcome here @Richard Evans hi @Jacqui Baumgardt Are you on Twitter 
18:46,20:21, "@Richard Evans You're most welcome! It's fun @Richard Evans. Welcome to the A-Team. Please share your valued input on proceedings @Naledi Barron so I see and enjoying it "3 judges of High Court - Justices Baqwa @eliasmnisi72 i have just googled it. also a person that shows an uplifting spirit "@ALTA Hi @Sal SA TY for doing the honours! Where can I sign up to be in politics? This is painful to watch @Richard Evans im glad 
20:40,23:06, entry is cheap @Naledi &2u2 They really do make it up as they go along @Santa Kriel You're spot on ' She is now blushing can you see her' Eish @eliasmnisi72 😀 @Naledi Barron you see dtrolletjie🧐 @ALTA you are always here "@Sal SA as a retired marine electrical engineer 🤧 
23:40,25:52, "You cannot use the term ""board"" loosely in the biggest SOE" @Edward Baloyi very peaceful place to be @Santa Kriel This lockdown has some positive consequences - we can all let it hang out (hair-wise I mean!) WHERE IS OLD MISS DANIELS COZ THIS ONE SEEMS TO BE UNSURE OF LOT OF THING @Richard Evans. Yes can get very interesting at times. So I'm a retired Bank Commercial / Operational Risk Manager @eliasmnisi72 yes😶 i know that i should not say this in south africa but this woman has a strange complexion "@Mfundo @Edward Baloyi if you wish that i leave the chat for sure i will there's no 2ways about it 
26:05,26:52, "@Richard Evans at least you are retired  They need to test her version against what Koko said. That is only fair to him. He is back on Friday. They will then put her answers to him @ALTA don't leave. "@Weaverband what do u mean by strange complexion @Weaverbird C. That's not nice. As a country we moving forward on such issues. @Edward Baloyi I feel for you brother ahhh there it comes who made changes she seems ORANGE TO ME @Sanfran Arnold im gatvol for being insulated 
