starttime, endtime,message
time,13:28,message "a Its now 14:05 i like thiis maleka guy and fuzile by they my name is fuzile The 8th of December seems to be the day Nene was fired? "Heppy Yes @Chris Bard free access to state resources for ANC comrades. fuzile doent mince his word true witness nt that mentor lady who is confused Yes. Mentor was all over the place. 
13:46,15:25, Fuzile is well composed and elaborative whatever! covering for ZUMA hahahaha This guy is well prepared Are you even listening @Handre? pffff "No He does what they always do when black people talk. 
15:59,18:53, you can tell this is not a lair hahahaha why do u always have to bring race into everything...very mature dude These guys were doing a Iqbal Surve regarding this nuclear deal. Calculating the nuclear price from R10. hendre you listen with a skin not with ears rofl I meant R10 exchange rate to the dollar mr nene also was in this "Because this man is being open and critical of the ex president. You say he’s covering up for the ex president. So which means you’re not listening. And as a black person thulani this man is listening with skin nt with ears 
19:14,21:03, just remember 1thing the richest man in the world is Putin The real lesson the Commission is teaching us and I think the youth should listen is how not to run a government Yes @Fuzile. I agree bro. 👋🏾 Ethical people who were leading critical institutions were made to quit....this guy Lungile Fuzile must come back @Dumile Mateza craziest; this is street econmics gone way out wrong! We r no where nearer to that even now... That's misleading Viva MI16 party it should not happen 
21:48,23:16, "this guy is no clown What is MI16 Party @Phillip Moshapo ? 🍺🍺🍺 "@Thando Nkutha  corruption at its peak very serious. And misleading. And would lead to many dominoes effect. Sindiswa Moolman MI6 party "The people that allocate the funds must come and answer "Yes @Phillip Moshapo 
23:25,26:19, "@Bongani Maqabuka we are there as Eskom is buckling under a R450b debt The discussion is becoming academic now how could the Rand strength with Zuma in charge at the time. in 1970 it was about R1 = $3 but those days are gone long time ago. @Eslon Eslon we are dealing with technical stuff now.. @Dumile Mateza I can't agree with U more! in the 1960's the Rand Pound was the same. big question was why they going to Russia and not local. No trust in local work force. @Michael Wild 1970? Felix just stating 
26:20,28:21, in mid 80's i got $2 for R1. weren't the guptas also buying and saling currencies Great Stuff....this state attorney is too sharp... "Thats why when dealing with a currency like ours @DEREK....spot on @Derek Govender are you saying MYANC must be arrested? @Derek i agree Dumile nit in 1970.SA was independent but not free for all. no matter how stable the african country can be its currency will always below the dollar/pound..jrrrrrrrr what is this? 
28:36,31:05, so the guy says nothing about Maria's collusion on the Rand the evidence that need to be interrogated Sir Maleka knows his job "Listening to the NPA inquiry @Derek Govender I like Maleka "Exactly @Thando Nkutha - It doesn't matter that you can buy instruments to protect yourself from Rand/Dollar volatility @Eslon...spot on sure Mr Govender its agreed but not to the fullest for now Adv. Maleka in the house!! 
31:30,34:31, I am no economist nor an expert on currencies but the pula will remain weak to the dollar because it is tagged to the rand and the pula is not traded internationally. only problem is that in this instance nothing is/ was normal Come on now...they wanted the Nuclear deal at all costs.......ie. Dollars in their pockets. Think about it. "At the time "@Dumile Mateza  They knew full well what they were doing...... Pula is not pinned to the rand You are risk averse @Thando Nkutha "1 usd = 10 
34:39,36:20, South Africa is a democratic kleptocracy. If you don't speculate....you don't accumulate... Mr President will you please return vat to 14%🤔🤔 1usd = R14 Maybe R20...after elaections...let's see.... "what about petrosa I dont blame you @Thando Nkutha Zuma telling Mps how to do there work like a dictator Morgan Freeman - splitting image 
36:30,38:16, """..the job of the finance minister is to find the money.."" JZ" Puseletso Loape VAT is the only way to get EVERY South African to contribute to tax income @Thando...never play with your bread money.. @Jones Parker Botswana is part of the Southern African Customs Union and because the pula despite being tagged to the rand. Two years ago i bout $700 for R9659. It is not a internationally traded currency as a result it is not affected by the violatility the rand is subjected to. "😂😂😂poor Zuma Play with money you can afford to loose etc... @Thando...spot on 
