starttime, endtime,message
time,1:06,message 🐄 What time does it start? "When discussing Transet deals 10 am as per sabc Why is it not 10am already? In Other countries 10am came and passed ynotlol1 Thanks. I noticed. at first I read what the SABC said it will start. but later got it that it starts at 10am 😀😀😀 @Maxwell Sibiya - here you go! we are starting and on time 
4:32,13:47, Oh Yeah!! 😄 wish to know how long this will take VOLUME The sound is only on my LEFT ear. Please rectify Servants. "Yes twist of fate😂 @Granny Mokwena 😂😂😂 Abishaik Merra. "@Lindokuhle Mnisi you forgot his other name Sound please SABC 
14:40,26:12, sound please please @Granny Mokwena you are talking about Tanu's husband. Purab's best friend. Aliya's big brother and Pragya's ex-husband. Let's confuse the Mojave TV viewers. 😂😂😂 *MojaLove TV Advocate seems to be in a hurry and not patient. Or maybe I'm just having a slow Monday whats going on here? The sound is back on one ear. @ Lindokuhle Mnisi he's actually Pragya's husband! Plus now they share a beautiful daughter Kiara😂😂Tanu is doomed. "Ba bang ga ba patele TV-license "It might be the 1 ear sound 
27:53,31:33, "Thank you for the Sound Visas approved within a day Visa approval so quick 🙊 This is going to expose Zuma Gigaba All Zuma's Pawns at play "Gigabyte gigabite🍆 We are starting to the Guptas whistle blowers now this month everything will be out 
31:40,35:39, I can’t even get Home Affairs to answer a phone in one day @clive oconnell..... true story....LOL!!!!! Ahhh come on! The common denominator is Zuma Which other channel is broadcasting this on Youtube? SABC is this guys will give us full details sound please @Gerry Roman Duduzane and Jacob they learned to work in tandem like other African leaders where their kids was doing the work in the background 
36:01,41:41, Couldn’t put ' in visa correctly. Couldn’t leave SA 5 months to rectify after solicitors letter (bribe) Gigaba and Zuma are in deep waters "All the people brought from outside SA were supposed to transfer their skills to locals I see there is decorum on this forum since I stopped commenting.I couldn't take the harassment and racism from the trolls We live in Doha. We applied for an unabridged birth certificate at the SA embassy here for my daughter 6 months ago. Still waiting! A lot of people at Home Affairs must have recieved bribes to expedite these work visas The father of Radical Economical Thievery sold this country out. The hangman in the olden days would be waiting at the gallows for the traitor. If your a cadre employee it’s your job to follow ANC laws 1st. I agree @Magda Seguin 
42:39,47:00, Cant they get on with the case? Ayeye Gigaba home affairs DG @ thando @0Sweetgal0 no this is not days of our lives @Thando Nkutha DG hOME aFFAIRS "I saw an interview on ENCA with this gentleman It seems like the cat will be out of the bag today. This witness is ready to spill the beans @Naledzani Mashau. Actually this guy published a damning book on his stay at ANN7. lol lol 
47:10,50:56, "The Guptas "I'm with you my brother there's no one man it points to a vile corrupt party that's still in power and to think that some of us voted for Mzwanele Manyi into parliament 🤔 Sounds like human trafficking and slave living conditions Human trafficking "@Albert Noah yes The president? Amen! sad 
51:19,54:30, no sound Or he wanted to say the former president? eish that's sad 60% of our nation voted for the ones who allowed this to happen they sat quiet while an idiot who hasn't passed grade 3 looted this country they were quiet because they also got payed Duduzane NO SOUND!!!! Zuma and Guptas were looking quick money to enrich themselves with tax payers money the same people who voted him as president shortly after he went on trial for rape "What did Zuma do with all the money he looted 
54:46,1:00:54, "​NO SOUND!!!!1 the sound is fine This advocate must catch a wake up. @ mpho M get a better phone or computer ditch hauwei mzwanele manyi mentioned Zuma is pleading poverty saying he must sell socks and hats but he must have nested the money away offshore "Jimmy Manyi comes into the picture as a director "The ""Big Elephant in the room "" is about to get out of the bag? oops" we were most certainty not going to vote for the EFF 
1:02:26,1:06:34, There is constant debate about who invented Live Streaming.... none about who broke it.... sound please SABC "@Zikhona Zondani money is in Dubai """me"" and the 10 millions votes out there" "@makhosi nobhatyi  True @Zikhona Zondani if this ANC are not fixing themselves now they are gorverning this country for the last time now "They are fighting those who are against corruption like Gordhan 
1:06:39,1:10:38, Nothing Our PPs preferred new channel...… News channel. Apologies. This is a black off India .Sidi Zuma and his Gupta buddies Rajesh originary is from Kenya "@Mulunghisi Mulunghisi  "@Zikhona Zondani exactly that is my problem where is jimmy manyi.....ayeyeyeeeee 
1:11:09,1:13:26, "This man is very brave commission inquiry is a waste of time people are found guilty but no one is arrested I think we should support those who stand to defend the country from corruption On His arrival back Home hes dead meat actually how much did the guptas steal from us Billioms Trillions Billions Apparently a third of the GDP amounting to 2 trillion was stolen 
1:13:29,1:17:49, listen carefully..........hehehe malema no backbone baba! Lol... no backbone like Trump "Trump praised Mueller before "@Rubin Naidoo @KEITH SINDILE DINABANTU all the other old friends were thrown off the train "True dat @hilton modike "Its unfortunately drop names Wena baba .... haven't applied for extradition to the Dubai gov fir the Guptas to come back. 
1:18:41,1:27:54, "@Nash Dube See where Makhosi Khoza is now. Helped her to launch a party in Nasrec @Granny Mokwena Not so exciting to me cause Rajesh wrote a book already on this. Its like am watching news repeat @nash dube pple must remember that opposition party's aim is 2 unseat any seating government.zuma was the worst by my opinion.eg he persuade RET policy when he was cornered 9 month B4 his term I agree is this guy's book out yet @babette fagan Already out thank you Name please Tax money thrown down the drain 
1:29:24,1:31:04, where is the Gupta family why don't they come back Albert Noah name please @hilton modike lol dont think they want to be here Maybe Google for it "@david jacobs true thank you why is the advocate in such a rush The state capture was very well established zuma must go to jail 
1:31:04,1:34:50, @sipho cebo They used people to get rich quick Yes Yvonne Morudu "No one should steal from us Book name: Indentured - Behind The Scenes At Gupta TV thank you @Neo Thebe Very organised gang lol @hilton modike the entire NPA Hawks and IPID was captured...Jiba and Mwe Mwerebi was Zumas deployed to see that nothing and nobody gets investigated former president you said there is no way the can find Zuma. they will look everywhere they won't find Zuma. What is happening today. They found you comrade. you can run but you can not hide. 
1:34:53,1:36:43, @Albert Noah Remember that Indentured last year lol. Zuma was a part of the news content editorial The arms of the law is too long will find you. "Zuma was mentioned throughout this commission @Magda Seguin All were captured. See how NPA pursued Pravin. They did so cause Pravin was very strict and against wasteful expenditure How do you guys foresee the outcomes of this case? Black book Jail Neo "some questions are ju "He (zuma) is gonna come out with his rectangle head and say 
1:36:54,1:38:23, lol Hahahahaha @vincent kolobe No man lol I love wat is been revealed here wait wait more is still coming. indeed @Piet Madimetja @vincent kolobe Trump learned from Zuma cause he says he's clean but the report says he's not! No9 "That rectangular head of Zuma's  number 9 
