starttime, endtime,message
time,-1:59,message And then? should be either from WC or even Judge Mogoeng Mogoeng as new President of South Africa!!! "@Diane Louw Hi there What did I miss ?  Andile Lungisa future President you must be joking 3 Minister Ronald Lamola for President 
-1:09,-0:07, 🤪 lol Barbara who do you nominate then hi heather Ali Baba 4 President hi martha got everyone awake i see lol hi Diane hi pastor JJ "afternoon everybody 
0:16,2:23, Aaaaaceeee!!! Aaaaaaceee!!! Aaaacee!! lol Akhonamandla Ms Daniels yes. Adv Seleka wandering how the 3rd tea party went this morning hi Julie @Martha Sello Yes Lamola for President!!! sound plse hi celeste Was there a session this morning? 
2:32,3:24, "Afternoon everyone incl. @Ndumie Hi Diane 🙌 no celeste there was not "honestly speaking I'm disappointed in Zondo Greetings peeps 👋 hi lerato /where is ms daniels zooming from hi stix @Stix Mtolo Heita Bra 
3:49,5:02, @ Diana Louw 🌹 @Diane Louw thanks "@Pastor JJ Awuuu Zondo refused the Guptas to testify via link from overseas but Daniels is allowed🤔🤐 "In Soweto what is she doing overseas? ran away 😂 @Stix Mtolo @Pastor J.J @Lerato Moleke  hi sergio f @Diane Louw it may be USA as they said it is in the morning where she is at moment 
5:21,8:32, @Heather Durr 👋 @Heather Durr Greetings Dearest Heather "@Akhonamandla Gala oooo another avadavat earlier this morning. Hello everyone "@Stix Mtolo mhlekazi wam hi lynn @Diane Louw oh ok - then ?? @Lynn Barnard Greetings Dearest Lynn 
9:15,11:59, @Celeste I think he's the only one who is still honorable so far! i might be wrong Kevin but i thought due to covid we were one of the countries not allowed entry to USA .... 95 waiting or is my chat window 10 minutes late? 845 watching now hi aubrey "@ Ndumie Ndlovu "@Stix Mtolo Thanks DCJ please treat EL with respect today "So madam is unemployed but can afford to chill overseas "shame Stix 
12:01,14:09, "@Pastor JJ  hmmm "Oh @Lerato that exactly my point what is she doing overseas? @Cruda Bex I have already broken the Guinness World Record doing just that Bra. Thanks to the ANC I am now a Record Holder. Greetings Cruda "@ Lerato Moleke @Akhonamandla Gala no tell me if he didn't deny Guptas the opportunity to testify? @Stix Mtolo le uZondo ayimva tu uAdv Seleka ingathi ngumntu lo owake wamtyela before. Jonga ngoku ufuna umsokolisa nge page numbering "@Styx Ndlovu 
14:27,16:03, I think I heard she is in the UK due to COVID regs but before you jump on me I dont know Guptas are at the centre of this commission but Mis Daniels is allowed to testify all the way from overseas 👿 Greetings all in Los Angeles hi shirley "@Martha Sello I would be overseas if I were her. THis is not going to end well for someone. Either us @Lerato Moleke You never know Wena @Akhonamandla & @Stix - ORDER  "Has she died her hair 
16:10,17:36, dcj just said certificate of authentication signed in LA @Ndumie Ndlovu Are you telling us the Guptas would love to testify and give their side of the story but they are being denied? i think the guptas need to be here for more than testifying Free state university is developing corruption vaccination DCJ it takes you more time doing this than the IT guys-will you adjourn after 30 minutes lol shirley said to myself earlier she is showing grey ... "@Lerato Moleke @Ndumie Ndluvu so you are here to support the Guptas? lol #shocking yes he just said it too in LA 
