starttime, endtime,message
time,8:19,message M.. "2015 was a very lean year financially @zip reeper jou lunch enjoy😁 Chats not showing on my side Ok fine now "alta i cant remember eisch @Sal SA i greeted you but you did not greet back 
8:38,11:37, "alta "yip @zip reeper lekker lekker dis heerlik "@ALTA. Sincere apologies sis thought ms daniels took minutes Here we go 'I dont recall' @zip reeper im making cottage pie now had homemade chicken soup - im a soupaholic even in this heat There is so much background noise! That's why these people should appear in person. 
11:40,12:42, There's definitely a buzz "di sounds like someone building We can hear her clearly Now its very better Kerry hi there hello "@Lunga @Alta...I just bought mince for dinner's cottage pie..lol 
12:42,14:34, salon Hi @ALTA 🙂 hope you had a Happy New Year! internet very weak salaam Only in Africa @Minnib Prince snap😁😁great minds Kerry yes hope you as well my dear friend what is State capture? :virtualhug: 
14:39,16:25, @S V I Dr Nteta a real Mother of Invention Hurry up MAKE UP YOUR MIND Jeez where is mr koko legal team so koko won't testify today what is this? @Nomad are you from SA? United States of America Im here for Koko Koko(ta piano) 
16:27,17:46, @Nomad oh no wonder you are asking this 😂😂😂. Sa soap opera about probe into state capture so this is political entertainment like we have in the US @zip reeper want some cottage pie "@American Nomad News. Its when the government is controlled by external forces yes but the top crooks like cyril are scarce @ALTA Ek like cottage pie. Met baie kaas "Indeed alta yes pse 
17:49,18:58, HURRY THE F****UP @nomad yes and no.... yes some may find it entertaining and some don't believe in it at all. For others it's important and imperative to get to the bottom of the rot that happened for the past years yes like when Twitter blocks Trump because Trump makes decisions that don't go in line with Twitter Chair doesn't want Koko today @Louis C presies dit moet smelt in mens se mond Definitely not like Trump n Twitter Nomad You take up all the time talking jeeeez i think chair wants more info from dr nteta who is Coco sorry voice recognition Koko? 
18:59,20:33, "@Louis C dr. Nteta "" call any vegetable "" FZ" @zip reeper special for you😁 seleka has bad time management for real maybe Trump is not so different from what is happening there only the what you are told by the media that are owned by the people who want to control the world without the will of the people. eix this lawyer again Koko's 'Mr Mbanjwa' with his usual drama  This Mr Barry attorney of Koko's is the most unpleasant individual - rude & disrespectful! ooooh no not this one again ditto minnib and kerry 
20:48,22:37, Just hurry up-you are wasting time @Minnib Prince 😁😁 We had bad trolls before lunch and Mr Barry after lunch. How much more can we be punished today "@Kerry & Koena - Koko likes him so much This disgusting attorney-like Ace and my ex-mate Hodes @Lerato Moleke Agree. He can be civil and argue his case without all the drama. very rude adv "@Pastor J.J I just joined He's standing Nomad 
22:52,24:06, The pale one is the lawyer  @Pastor J.J Looks like not enough punishment today 😀 @Dylan Jacklin Straight after the current witness. could be at least in an hour or so Red tie is the attorney Nomad You forgot the American troll @Sal SA  the lawyer is just securing the bag thank you @Pastor J.J How has it gone? Seems very slow @Anne M. Greetings my Dear Anne. It will get better when Koko comes before us the Jury' 
