starttime, endtime,message
time,-7:57,message Hi all Hi "Hi Hi there @Heather Durr 🌹 Blessed Greeting Dearest Friends. Have an amazing day. @Heather Durr I agree. I hope it stays quiet here at work 🙂 Would like to see Seleka's junior again. She's glowing! What’s happening today friends  
-6:52,-0:51, Hi guys "@tonia lathwood We (or atleaestI) Yes please. I miss Kate hofmeyr. When will she be back on  "When SAA is back A fruitful & blessed day to all @Teunis van Ree @FieliesSA Hi there Selekas' junior was gorgeous hope to see some action today:):) "Happy new year to everyone. We're back 
-0:49,2:44, Eskom looters are back this week "@Tonia. Matshela Koko "Eish "We have the Oscars of looters this week-Anoj Singh Yeh Adv Seleka on time. Morning everyone Morning to crush Lerato Happy ChooseDay Kelly 💐 Oiii DCJ is on a mission 
2:50,5:01, DCJ is 9n fire today 🔥 on DCJ grumpy oh dear poor Koko @Louis C more "Yooh @Heather Durr hi he is tired of wasting precious time. 2 days no smooth commision @ALTA @Lerato Moleke Hi 
5:20,6:18, Morning ppl Hallooo@ALTA  @Teunis van Ree hi DCJ looks and sound very grumpy @Louis C happy New year 😁😁😁 Support staff must get their act together. It reflects poorly on the commission Who is on the stand today ? Heya Heather - I did greet when I joined the chat a few mins ago "Hello everyone 
6:53,8:08, @ALTA Dankie jy ook. Is jy nog in jou Pajamas ? moooooorning 😍😍😍 @Salman. Salaams n hope u well. Dr continuing from yesterday n later Koko @Sal SA Hi-DCJ expects them to know that he wants to be told what the consequences of his requests are "Thank you @Melds. I suspect 2020 took a shower Does anyone know if the commission was granted an extension? @Louis C hoe het jy geweet😂😂😂😂 Wslm @Sal SA  I’m here for koko 😂 
8:15,9:15, "@Lerato Moleke hahahaha Valencia hi hi "@melds melds Yes to June @Valencia J Hi Are the thieves being lined up this week? @Heather Durr and we can smoke😁😁😁 @ALTA Siener vanRensburg "@Heather Durr yay! Thanks @Heather. Hi hope u well. Definitely n the witness must be able to see him. Crazy 
9:18,10:01, Yes ; their pockets @gerard @Louis C 😂😂😂😂 @ALTA I am delighted for you muah Let the fun and games begin........ hi EVERYBODY! Hope you all have a blessed 2021 Waiting eagerly for the Showerhead Dagse pastor When are we going to get the vaccine in South Africa end of the year @Santa Kriel hi there 
10:04,11:20, I am just glad I am not the one drafting the final commission report @Salmaan. Yeh me too:goodvibes: @Salmaan Abrahams Greetings bro môre almal MOST IMPORTANT-Tomorrow I turn *0 having been born on Friday 13th January. All gifts will be welcome Pastor why am I still not part of the WhatsApp group corrie ferreira more @Pastor. Morning. Hope u n the family are well. Do I need to be a mason first 🧐 
11:25,12:19, @Pastor J.J @mpho mcmillan Hi there who is being braaid today @Salmaan Abrahams You needed to send me the email with your details to be included bro Hi @ALTA 🌹 Please give me the email I’ll do it now  @Sal SA @Heather Durr Blessed greetings to you too TRUMP 2021 👌 👌 👌 Hello @Valencia J morning mzanzi and compliments 
12:25,13:06, @Manelisi mnguni He is coming this week-be calm so did the concourt say anything about Zuma having to testify yet? morning morning housework done and supper cooking so im ready for fireworks 🌹🌹 "@Manelisi mnguni he does not have a choice @Diane Louw Hi there girlfriend @Diane Louw hi there here we go fellow-suffers! Greetings and salaam from KZN 🎶🎵 Four more years for trump 
13:08,14:13, "hi heather @Diane I hope you won't be to disappointed today Sufferers!!! hahahaha @Herb Tuck have you been locked up in some cave??? @Teunis my eie 😉 hi everyone great to be back on chat  The guilty are afraid@melds melds "Fellow South Africans @person of interest hi 
14:21,15:54, @Singi Mathebula they sure are it seems @Jenny et AL 👋 jenny hi @Herb Tuck you must be hating the nightmare you are currently dreaming Hey @ALTA Happy NY @Person of interest thank you happy New year to you as well There’s a lot of us still dreaming "I see it's normal mode today @Herb Tuck Someone needs to wake you up from that bad dream you are having. hahahahaha 
16:03,17:34, who is in the docs today My favorite Mr SELEKA is already on stage. no slow mode npt with our Mr SELEKA @Vanessa Van Vuuren Dr Ayanda Nteta and then later Koko All the pastors in America still praying for him Mr Seleka's courtroom manner is impeccable dont know why they dont start at 9 in the monring - really... hi louis c ke mang the new chair? 🤣🤣🤣 
17:41,18:40, @Louis C moan jy al so vroeg😁😁 @Diane they have to have meetings first @FieliesSA If you look at his twitter he cant WAIT to be here to clear his name and tell DCJ about what he thinks is important not what he has been subpoenaed for 😂 😂 😂 😂 😂 Is New Zondo @Diane Louw How you doing? hahahaha What diet plan has the chair been on eish  😂😂 Ke mang the new Chair vele? 
