starttime, endtime,message
time,-5:12,message why the delay? @Anne M. yes it does disappear @Umar Singh. So why was Anoj struck off as a CA. O we know if Anoj was ruled a delinquent director? I know he was stripped of his SAICA membership... Do @Sal SA GM tell the truth and safe the country at what time is singh appearing before Zondo gud people? 
-4:59,-4:01, I so wish mrs kate hofmeyr is the one to question this guy eNCA also not streaming yet we are all waiting gosh its 36 degrees here today - cant take much more of this heat. so what is happening here @Heather Durr Happy birthday 😘💐 "People "gm Alta he needs Kate hofmeyer @DaneLouw. Where are you at? Name of your place? 
-3:57,-3:01, Hello @Sal SA Why is it buffering Cape Town what's happening??? "Hi everybody what's happening I am sure Singh will not appear in person-has he not skipped to Dubai yet @Teunis van Ree @Sal SA don't see us Can I also come Ismail? Sounds Divine! 
-2:50,-1:38, @Teunis Hello hope u well Heya lady Diane Are they sitting today? "hi everybody @Ismail Petersen One of my favourite places What's happening ... "PLEASE COVID It could be that Singh and or his directors have not arrived yet... @ALTA GM hope u well 
-1:30,-0:30, he's running for sure maybe they annoyed Anoj and he refuses to sing?? Hi @Diane Louw 🌹 @Ismail Petersen I am on your doorstep! Take my money! 😀 can't wait to hear what Zuma says when has to appear:oops::yougotthis::elbowcough::washhands::chillwcat::chillwdog: "This just in @FieliesSA Might not pitch up at all. I wonder who's going to lead Cyril's evidence - the day he takes the hot seat Zuma is a dead man walking. Oxygen thief 
-0:27,0:21, @Ismail Petersen So 'n bek moet jam kry 🙂 A whole day cooking and gone in a wink. Lekker verby we need someone to start singing "And 1 Youre welcome to come only if youre corruptless & have no race-cards is DCJ negotiating the postponement with Anoj? morning Sal SA @Lerato Moleke I guess Adv Pretorius @Ismail Petersen. Salaams hope u well. Bo Kaap is one of my favorite places. Love the Jazz festivals n the food is great @Diane Louw Hi there 
0:26,1:06, Thast not a problem Ismail @Ismail Petersen The only racecard is for Kenilworth yipee we get to see the corrupt anoj Op la die op la da there we go ms K ... Zuma will not give any intelligent answers ... and he knows his role in all of this. I have a crush on Anoj @Teunis van Ree who 1 2 3 Happy birthday Heather!! 
1:16,2:36, Ready for take off. Fasten your belts😂 Woohoo here we go! Coffee ready! Snacks ready! Boss not present! Go! Happy birthday Heather  oh @Teunis van Ree i see now yes its a 1 2 3 Jirre patat - this is Bushiri's council - she is a lunatic She reminds me of Bushiris attorney Hello to all South Africans  snap GIna """Hi EVERYONE.Surviving COVID.Let's Hope Mr KNOXVAULT Will PAYBACK De MONEY""" 
2:38,3:11, Morning @Diane Louw  Sit down Ms Mbanjwa! Hello folks  morning everybody @Diane Louw She is Bushiri's attorney The advocate is the same lady that represented Bushiri Popcorn ready  Hello @Thulani Bukani  how are we 
3:32,5:22, Represented by blonde Anjelica Huston "Yeah i was born & bred in bokaap where my heart it aaaahhhh Advocate Seleka where is arnold Its Anoj not Arnold "@Santa Kriel Cometh the hour "Ugh Where’s that thieve  6 and 9 same 
