starttime, endtime,message
time,-4:38,message mornin folks 🙂 Morning Quinton @Diane Louw - looks like we are the early birds 🙂 yes we are lol @Quinton van Eeden @Diane Louw Hi there-Poor Seleka and DCJ were crucified on Twitter yesterday. DCJ was too harsh and the RET brigade jump on any reason to trash Zondo pse assist - was Singh actually present yesterday? yes he was Quinton GM all 
-3:55,-2:39, I totally agree Heather pity he is not like that with those that testify and their lawyers..... morning mathys @Heather Durr Morning. I don't think so GM @Heather Durr 🌹@Quinton van Eeden @Diane Louw @mathys botha listening to the witness at 4....whole New ball game morning my friends Hello@Diane Louw  DCJ must have known abt the summons moring Teunis and Dawn and Antoinette and Louis C 
-2:23,-0:50, @Antoinette Meyer Hi morning all More Louis Hurry up and wait "@Diane Louw - ta @Heather Durr - yeah but I think that i think his team let him down to be honest and he took the lashing... i am not hearing anything "another hot day in Kloof @Dawn Britz - agree - that attorney knows his stuff 
-0:47,0:46, Morning Miss Hofmeyer morning everyone Morning Miss Hofmeyer morning everyone Morning Miss Hofmeyer morning everyone Morning Miss Hofmeyer morning everyone Morning Miss Hofmeyer morning everyone sammy has miss hofmeyer detox Not 'chair' Morning All .. @Heather D I hope you had a memorable b/day the DCJ is in a hurry this morning 
0:49,2:36, hi lerato "@Heather Durr Shocking revelations by Todd @Lerato Moleke Well I had my 'historic' Bday on the same day Trump made history @Antoinette Meyer i really miss those moments @Antoinette Meyer i really miss those moments @Antoinette Meyer i really miss those moments Hey everyone "Chris Todd's serving of 'tea & biscuits' was yum @Lerato Moleke Hi. You must also do some work😀 
4:21,8:07, "Hey Kelly.. @Louis C - work @Lerato Moleke Spoken like a true Patriot! Hey Lerato hw are u doing this morning "Taking an oath in this commission means nothing I hope Advovo Seleka is ok today after that moemish yesterday Aiden hi all sure he was there at 6 am this morning🤣 Morning to all patriots 
10:11,13:26, So did Brian also get off on a technicality? "@Akhonamandla "chair is having a hearing problem vandag hi @Lerato Moleke 🌹 hello @FieliesSA Top of the morning to you too @Teunis and everyone who joined after me @Louis C Molefe is tomorrow assuming he doesn't pull a 'Singh'it is a pity they can't question him about Transnet  i enjoy being greeted as a patriot morning future Zombies of the US 
13:32,15:34, @Lerato Moleke i hope so too privileges of having a wife. He must also take it like a man we are paying them very well morning to all the newbies "@Heather is she getting cold? GM all banna Eric 😂😂 She's shaking already "@Heather Durr After Todd's testimony last evening @Eric you are mean🤣😂 
17:15,22:43, @Louis C To get away with what they did so brazenly at Transnet is nauseating but at least we know 1 Lynne Browns name comes up all the time Apologies please beautiful south africans i did not mean to hurt her:dothefive::dothefive: she is shaking why Oh i like that Diana Ross look:goodvibes::goodvibes::goodvibes::goodvibes: "@ Cece Goje Cyril should extend The comm's deadline He will extend 
22:46,24:21, Stix@hahahaha "Nice to see DcJ and Adv S exchange pleasantries It's not an alphabet DCJ but it is a letter of the alphabet I can hear her voice is shaky "@Louis C - I agree i dont see moving pictures - hw are you seeing it Another B.Proc (LLB).law "@Cece Goje she's a bit nervous @Lerato Moleke not Moleka😋 
