starttime, endtime,message
time,-4:00,message hi everybody hello  @ diane hello are they at lunch break now yes till 2h30 we ended late you most welcome hello fam hello 😴 
-3:43,-1:31, lekker geslaap teunis "Jip bietjie baie baie  Hi all @one of our thunderstorms approaching hi bertie hi @Bertie Vogelhubert ah they are late waisting tax payers money we in for cooler weather from tomorrow Heather at my end... 
-1:05,1:32, wasting battery time Weather is building up here yes teunis dammit im busy recharging here get going eventually something Is the water boy ready:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough: "Oh great Oh this is that delightful thirst lady Here we go again... "Mfundo & Stix 
2:21,3:53, tall lady Well everyone likes her m sure Stix will agree oh heavens another Witz DCJ is smiling at her @Heather Durr This is the son. Ms Mathepo is all I know-I am a shocker with names thought so thanks Pastor J J Ms. Mosilo Mothepu 🤣😂 I see that too Mfundo  
3:54,5:31, @Pastor J.J So we have the son of Hodes and the son of Witz  I think she gained weight due to lockdown akasanayo leya chazment ayi also her have that thing😍 the mannie and max show 🙂 IGRAND LE PROJECT these blacks auditors are the new royalty She is delightful and seems not so thirsty today "Danile Ngubenyathi @ Heather:goodvibes::goodvibes: 
5:37,6:51, give her some time and she will go for the water lol hello you all "Haai suka wena Mfundo wb ALTA lekker geeer? lolll Lerato Hallo Diane nmen Alta hi Antoinette "@ Mfundo hi again @ALTA 🌹 
6:52,8:36, @ALTA kan baie eet en word nooit vet nie "Lerato Moleke Hallo Teunis @zip reeper is waar😂😂😂jy weet mos Antoinette hello hi @Antoinette Meyer "Tomorrow it's popcorn day guyz @Teunis van Ree hi weather is getting heavy here now "It's true @Antoinette - men think it's ok to tell us about our weight. The mirror and jeans already hint when there's a problem 
8:41,10:21, Zondo is just trying to surface here my favorite witness is back:goodvibes:  oh dear she wants to talk talk and there goes the water  @ALTA brooding here @Musa Mabunda Dont make the popcorn until he starts talking. He might pull the Singh stunt on us "I would have loved to work at Eskom serious "Lerato @Lerato Moleke I am often impressed by the capacity of stretch denim... Tomorrow the chief thieve  
10:25,11:37, lol Teunis lol "Coffee @Teunis I'm dead 😅😆 @Herb Tuck Is the Nkandla Rapper coming tomorrow? @Pastor J.J 😅😅😅😅😅😅😅 @Stix Mtolo please don't start...lol @zip reeper i will join you😁😁 enough said... "WADA WADA so where is all this going? no arrests of senior politicians and guys like Anoj Singh 
11:58,13:18, @ALTA But rather a Lamborghini than an Aston Martin whats up with Zondo and that mask? She told us this story in November mos🤷🏽♀️ yes Lerato @zip reeper i prefer a mustang 😁😂 "So who is Molefe going to arrive with-Mbanjwa's step sister who is this chick? Ms. Mosilo Mothepu and there goes my battery 
13:23,15:50, loaded question Heather sjoe  l8er @Terry Elkington I hope they are leaving the Big Fish till last once they have collected all the Minions are dishing out. Otherwise bringing JZ or ACE in day 1 would be called unfair or some other BS. okay this project is strong moeer @Teunis van Ree this darn loadshedding @Teunis van Ree bye @Pastor J.J the rapper is coming tomorrow and all his backup rappers will be full in the live chat @Louise what makes you think that? 
16:27,18:10, @Herb Tuck .Then tomorrow is going to be an expensive day. 20xR20.............hehehehehe @Danile 😂😂😂 you only say that now that commission is almost finished 🤣🤣haibo Just comes across like that. Maybe im wrong but they do say that your opinion on someone is formed in the first 30 seconds. Oh Louise.....YES SHE IS A WHISTLEBLOWER _ SO WHY IS SHE ARROGANT SA Inc is now heavily in debt ha ha @Louise I think your 30 seconds went by to quick @V what can I say 😂🤣😂🤣 Louise you are ARROGANT "Correct @Danile Ngubenyathi .SIU and SARS also have a part to play 
18:27,20:27, "still there is Dudu @Danile just for the sake of posting ne😂😂😂 @Anne M. Greetings my Dearest Anne @Pastor J.J the Saxon bar will organise their credit Greetings dear Pastor @Pastor J.J  for the sake of those who says this commission is nonsense @Danile louder🔊 for those at the back Sorry missed beginning - who is this witness now plz @Anne M. hello 
20:41,22:17, "it is "@Danile 1.75 M salary plus R500 000 sign on bonus! Wow! @V maybe boredom 😂😂 I wonder if the 'Organiser' Salim Essa is even in the country? Probably Chilling in Dubai with the Guptas & Duduzane etc. I think everyone will blame Salim & Guptas because they will never come back. thats why we have loadshedding.... corruption @Stix Mtolo The government has lots of money "@stix sportsmen salaries "@Stix 
23:04,24:12, "Now get this. The govt chases me off the beach @Mac - imali eningi😂😅 @terry elkington unfortunately the swamp is too deep you are looking at thousands of corrupt cadre's and still more being added daily .. but yes the chiefs must go down ! @Danile just the amounts of money's keeps we awake here😩🥴 @Louis C Jy wou mos Ja stem in die referendum @Louis C exactly very very strange shes back 😍 Now the cash cow can't produce electricity.  @Louis and it's hot so the fans won't be on🥵🥵🥵 
24:32,25:17, I need a Temp for tomorrow. R20 000 plus perks for the day. Anyone interested? That witness is back again: 😍 "@ Lerato Moleke @zip reeper Ja broer. die boere het ons belieg pastor I'll put in an extra 2 hours for mahala "this witness is really going out with a bang 😂😂😂😂 She knows the figures Don't you dare flirt with our Adv Seleka @Louis C 😂😂😂😂 @Louis C Kaal kop FW 
25:20,26:45, lol hey @Pastor J.J dont use bushier tactics here mxm Hello @ALTA :goodvibes: I cannot remember the time but he was a nice guy. LOL. @Anne M.😘 Well this is Awkward is like we are watching generations the legacy the way they mention money 💵. R500000 simple as that:goodvibes: @zip reeper Die moerskont. Dan steel hy nog n ander ou se vrou ok 🤣🤣🤣🤣 The Pandora's box is finally open. 
26:46,28:10, nogal pandora mxm @Earl Breezy Baartman hahahahahahaha @Louis C En laat sy vrou vermoor "the Forbes list needs to be updated Project Pandora was the main source 😂😝🤣 @zip reeper jip @Pastor J.J lol hey wena naughty pastor....what job could be paying R20k a day at a church? @Hosia Modiga :goodvibes::goodvibes::goodvibes::goodvibes::goodvibes: "we as South Africans are very generous and forgiving 
