starttime, endtime,message
time,-5:27,message "kevin Gm everybody in the room GM This Covid is so cruel hey Morning all 🙂  @zip reeper Is that where he plays Ghengis Khan? Terrible tewrrible movie 🙂 it behoves me to greet ya all gm @Moonchild  
-5:22,-4:00, Greetings All .. Yeah Karima's death a real shock Me too...Morning all happy campers "tommy gm @Tommygun @zip reeper @Lerato Moleke  "Really hi Diane "Hi Lerato new broke 10 mins ago @Tommygun  @Tommygun Its ture 
-3:49,-2:52, true Morning @Lerato Moleke @Moonchild @Diane Louw @Tommygun @zip reeper @Maboko S @Agusta Loesch @bongile sango @Kevin W @Albert Noah @corrie ferreira  melds melds melds melds! @Quinton van Eeden unbelievable!!! Tell her hi and we miss her Hi @Ishaad Mohammed and @Quinton van Eeden  Greetings to all "Where is Msholozi? he was spotted in Eswatini @melds melds gm "@Heather has been blocked 
-2:45,-1:43, gm @melds melds  "@Quinton van Eeden How u find out? Thats pretty bad so who went and reported her i wander "lerato Where is freedom of speech !!!! very very sad news about Karima. excellent journalist. "Heya @melds zuma in zambia...... mind boggling RIP Karima Brown...🙏🏻 
-1:38,-0:24, @melds melds. Morning. Let hear Ms. Goodison's side of the story "@Lerato Moleke gm @ma baker very sad sad news "All a little crazy in here yesterday "Yeah @Stix alta alleges she was banned here wb melds I am looking forward to hearing it yes @Albert Noah going to be interesting thanks @Diane Louw  
-0:13,1:51, Morning guys hahahha @Quinton van Eeden  so instead of doing 123 we must do the other thingy.... 6 mins late usually yes @Lerato Moleke  i would think so Lerato goodness miss goodson Heather never says anything that would be reason to block her Wow she's hooot 👍🏽🔥 
1:53,3:06, Any other people on commission today oh WOW  lovely face Already missing H morning all @Tommygun exactly. GM to you SABC are back! this is our marvelous state broadcaster where journalists earn R800 000 a year?  thank you @SABC News  
4:06,4:58, @Koketso Tlhabi - don't torture yourself - just don't watch eNca - that will teach them a lesson dont watch ENCA Apologies for the interruption. We experienced a system crash and failure. We once again thank you for you patronage. racists cheers SABC thank you @SABC News please unblock Heather Durr @SABC News thank you for the response  @zip reeper I done a bit of work for sabc and dont know many/any earning that kinda cash...maybe Hauldi.... 
5:18,7:09, "@SABC News thnx "@Tommygun y ...s'true DCJ is very captivated.... @Pastor J are you there @farouq - don't torture yourself - just don't watch eNca - that will teach them a lesson SABC had to get more billions in bailout @SanFran Arnold Right here and where are you B "@melds melds Was heather botting😅 "@Pastor J.J I am here 
7:12,8:20, what was Ms Bianca position at eskom no @Bongumenzi Nxumalo Heather is definitely no bot greeting to al no @sweetboy gwazela at Trillion We have two Biancas today  @farouq go with your racist conspiricies elsewhere. "So @sweetboy gwazela. She was at Trillain and she blew the whistlke on them @melds did they block her? 
8:34,9:50, ...Essa paid well with African taxpayers money @melds melds ok thnks but was was her position at Trillion "@Valencia J yes CEO @sweetboy gwazela  colgate smile Eskom was a world class untility morning guys @Albert Noah okey interesting ......lets watch and see what new news we having "Yeah @Valencia - hi .. Spoke to her telephonically yesterday and she's been blocked since sometime during the day on Monday 
9:53,10:53, @melds melds I know right.. maybe it was just a mistake.. hope they unblock  *utility @Pieter de Villiers in that it worked.... Eskom was a 1st world company before Gupta's Trillion and the rest of the cabal WHat qualification does Ms Bianca has i seriously cant concentrate with this woman on that chair........ It seems that Salim Esa wanted tlof tlof from all of these ladies.. boMis Daniels etc "Karima Brown she's no more "Former Chief Executive Officer of Trillian Management Consulting 
10:53,11:39, @sweetboy gwazela Mathmatics and physical sciences I think she said  hahahaha @farouq you cannot block her unfortunately @Andre Gerber - before the ANC the sound is lit today... qualification is BEE beneficiary @Tommygun correct 1st Jan is it not a holiday? "@zip reeper GM @Tommygun maths and science for matric or what lol 
11:48,12:51, indian again "@Stix Mtolo GM Hi de hey @SanFran Arnold  @Stix Mtolo dedicated worker "@sweetboy gwazela nah I will have to hear the outcome @melds melds . shes distracts me so much with her beauty @Tommygun degree from KZN "@melds melds What do you guys think of Zuma visiting Eswatini and Zambia 
12:59,13:49, this one has integrity  @Stix Mtolo Ja Bro. Its a holiday every year. Guaranteed. So you can go book your holiday on the Blue Train Bro lol @farouq  A very strict religious upbringing in Sleepy Hollow "@SanFran Arnold "@SanFran Arnold Ta @Andre Gerber Zuma is seeking asylum @Tommygun ok thats lets wait and hear what is she bringing  @sweetboy gwazela - worked with Bianca - Maths at Honours/Masters level if I remember correctly - and a really decent human being so show some respect ne? 
13:51,15:28, "@Andre Gerber GM "@Pastor JJ "@zip reeper yes  @Louis C Must be. Every street has 3 or 4 Pubs Bro "@Andre Gerber Thats the problem with Zuma "@sweetboy gwazela shes clearly smart "@Quinton van Eeden respect my foot  @Tommygun thanks buddy lets listen the news @sweetboy gwazela 123 
15:43,16:50, gm @Pastor J.J  @Andre Gerber - Zuma probably hiding 'Gaddafi millions' there so he can flee Who's this lady in the hot seat? @Lalitha C Ms Bianca Goodson gm @Lalitha C  "Former Chief Executive Officer of Trillian Management Consulting gm @SanFran Arnold  @Lalitha C GM Thanks 👍 
16:57,20:10, "@Diane Louw GM @Lalitha C always a pleasure @Diane Louw Greetings My Dear Diane @Pastor J.J Morning Padre. I travelled from Rhodes to PMB in my Mini 1000cc panelvan in 1979 (R17 to fill) to buy Maritzburg slugs for R8 a roll. McKinsey had to have a BBBEE partner - imagine the exorbitant fee structure Eskom had to pay - let alone the Trillian rip off  @Louis C I had one of those cars. It was a hand me down from an uncle. The next was a Peuget 504. @Kevin W ANC bled the country dry Her unintentional smile. ...ESKOM did not employ experienced operators to lay blame insted of producing energy.... 
20:32,22:12, @zip reeper absolutely true  @Khathutshelo Matlou. She came to tell her story constant smile points to? (newfound fear of censors here)  who's this chubby beautiful lady😍 "@Albert Noah  "@Danile Ngubenyathi Former Chief Executive Officer of Trillian Management Consulting @Louis C Maritzburg slugs. Havn't heard that name for long time. lol @Pastor J.J i don't anymore. Peugeot 403. Gear stick on the steering column okay young lady we're listening 
22:24,23:37, @Arnold dankie bro. "@farouq @Danile Ngubenyathi always a pleasure Stop smiling Mona Lisa @SanFran Arnold Not sure why ppl dont just look at the stream title sometimes... @Louis C My wife and I went on our first date to the drive-in in a borrowed 404 that belonged to her uncle. greta memories "She sounds too chatty  "SA still negotiating extradition treaty with Zambia Bathong @farouq & @Stix 
23:38,24:17, beautiful voice torhwana. "@Louis C  Hello Bi long saw that @Stix Mtolo. mute the sound and you will thank me later where are you from Lolo Mdhluli? "@Tommygun its ok R10bn top engineers project - you can build a couple of universities for that price - WOW "@Louis C GM lol @Lerato Moleke  
24:44,25:38, "hi lerato "@Pastor J.J. Hope u well bro. my first car was also a white 404 lerato moleke nice voice & eyes are rolling nice mmm😂😂 This Bianca is an extremely intelligent and a beautiful young woman. Seems that all Bianca's are. hahahahaha Bathong @Rashaka "@Lerato Moleke Beautiful smile indeed 😊😊😊😊 @Sal SA Greetings bro. Perhaps the best car I drove 
25:39,26:51, lol @Luzuko Mgotywa  @Lerato Moleke 😂😂 "what about Tokyo @KevinW R10bn gone is somone responsible for that smile @lerato moleke? Can she come everyday? I'm tied of lying politicians. "Zondo is now summoning slay queens to the commission @Pastor for sure beautiful smile shem 
27:02,27:24, "@Akhonamandla Gala "@Terry Elkington Tokyo ... ah "El 😍 @Lendl Maluleke 🤣🤣🤣I can't even concentrate  10bn for three years of no work required and some still believe that there was no corruption on the part of the Gupta's and the government I just love you Bianca my Darling...go ahead and make my day.. ...Essa performed outright treason as a pass ported citizen...... @Pastor J.J - the 404 was bullet-proof - fantastic cars 
27:37,28:05, Greetings @Stix Mtolo Mhlekazi wam Who s this lady if I may ask 🙏🙏 CEO for 3 months? @Lerato my sister your muti is to strong😂😂😂i see you are solicited again 😜😜 cute chubby lady testifying today "@Andrew Maria Former Chief Executive Officer of Trillian Management Consulting she can drink my water anytime 😍 "@Pastor J.J As a child our first car was a Zephyr BEE luggage dragging SA into the abyss 
28:12,29:20, "@kevindbn007 less than that 2 @Quinton van Eeden Absolutely safe car. Those steel walls felt like it was armoured @lerato moleke stop running away employed by Mr Angel? who that You're having fun with your cut n paste @SanFran Arnold ha ha  @Louis C Bro with those cars I must ask. Was Uncle Harry a relative? plz drink you water my lady 💝💝 🤣🤣🤣@Lerato Moleke  "@zip reeper yes 
29:21,29:57, guys here are so thirsty I don't care whether she's right or wrong. but iyoh 😍 "Jirr this beautiful lady. Hey Bianca @Valencia are you jealous "@Louis C Finanace and creative accounting Has anyone even heard what she's talking about? "@Pastor J.J My father was a signal master on the railway (not Transnet lol @Luzuko Mgotywa  
30:00,30:45, 100 people in a team - at least R4000 p/h - EISHHH @Valencia - the only muti I need is right now is for 1000% bonus & 100% increase  @Rashaka😂😂😂 i love it. Jealous will never reach my vocabulary not me @Khathutshelo Matlou . Let the truth be told thank you SANFRAN ARNOLD🙏🙏🙏 "@Valencia J @lerato I can help with both Top engineers my foot @Andrew Maria always a pleasure 
30:51,31:44, We all know the best qualified don’t get jobs anymore ha ha @SanFran Arnold  @Stix you concentrate on my water tho @Lerato Moleke I got some cream you can rub on your knee and it will all happen. Only 1k a tub. @Valencia J No need to be jealous. You are just as beautiful or even more. I guarantee it "...International Law specifically subscribes to disciplined cross border relations "@farouq  Does anyone know when Anoj will coming to testify? and that 118million for a New York property...WHF 
