starttime, endtime,message
time,-8:11,message End the anc. salaam infidels 🤣 Hi Quinton and HALO so i was right on Friday on why DCJ was keeping on about the guarantee etc cause he caught her in a lie and that laid the foundation for the rest of the time.. "fact remains - as a qualified lawyer and company secretary Greetings All .. What makes her story more airy fairy is that her Eskom title was Head: Legal & Compliance - why did she agree to that fancy title & salary if her role didn't extend to legal matters? hi Lerato Hallo my people 
-7:58,-4:58, Lerato remember when i said she was part of the legal team as she drafted papers etc..... hi marttha and bongile who is this minister who is coming today? hi Diane And did you see her reaction when Seleka told her about the radio into and where she was named as being Businessman??? I think is Dipuo Peters into = interview correct Martha "💯 @Diane - ""angelic"" Suzanne is no whistle blower she was a BIG part of this but got screwed " 
-4:26,-2:42, "can anybody tell me please nope nope @Lerato Moleke - the evidence thus far does not suggest participation on her part - methinks she was simply in a job too big for her hi Teunis and sneakerhead and charlie I see news channels 403 and 405 are reporting that Khusela Diko husband has died except sabc 404. Does sabc know something else? lol probably Yes saw the headline now..... Died in EC Hospital hello @Diane Louw 🌹 
-1:25,1:28, "@Martha 😳 I agree @Quinton van Eeden wander what kokos reaction was to hearing her statement about him knowing about everything... @Lerato 👍 Morning All @Lerato Moleke Lekae Moratiwa 😘 "@Martha @Teunis van Ree @Quinton van Eeden @Lerato Moleke @Diane Louw @Martha Sello @bongile sango Hi All Greetings @Previous  
1:39,3:15, hello @Previous Nkopodi @Heather Durr 🌹 Glorious greetings @Heather and everyone who joined the chat after me hey @Lerato Moleke 🌹 @Teunis van Ree are you doing well this exquisite morning? Molweni 👋 Rain glorious Rain @Akhonamandla Gala my friendoooooooooo  Hi all - pouring with rain in jhb 
3:15,5:01, @Lerato thanks. MHSRIP condolence to Khusela Diko Great night and morning - rain and thunder 😁 hi Heather Is it Lucky Montana or Monyane "@Lerato Moleke @Previous Nkopodi Big Chiefs how are you doing man? I had a terrible weekend because of Chiefs and Liverpool 😢 Greetings @Stix Mtolo 🤣🤣🤣🤣 "Hey @Stix - Twitter shares your sentiment 
5:02,6:47, "@ Heather Durr @Akhonamandla Gala Eish those losers my friendo ae Morning all @Heather Lucky Montana @Stix Mtolo My Frindoooooooooo...Are you well brother? Werksmans DCJ @Stix Mtolo - his passing leaves the door open for him to now become the fall guy in this sorry saga môre julle almal "@ Quinton v Eeden 
6:52,9:27, "Yeah @Quinton - given that ""dead men tell no tales"" " eita da @Stix Mtolo 👊 "@Martha Sello  t Teunis wat het ons nou hier "Sad news on the passing of Diko "condolences to the Diko's Dipuo Peters oor ORASA "@Akhonamandla Gala 
9:33,11:13, "F2F evidence political crooks will never go to jail.. we should all get into politics then we are untouchable.. its an old deal since the 18th century.. if u crime while in politics u get amnesty This is going to be an interesting day! What revelations will be revealed? Diko died @Frederick. Diko passed on last night in an Eastern Cape Hospital I  wisxh  you @ Seems DCJ is trying to charm someone with his voice today. deep baritone 🤔 
11:13,12:11,  azndc  Predciousx  I "Lol  wisxh how did he die?  I Diko was admited to hospital and died suddenly.. familiar story over the past 2 years of ppl dying of covid but cannot confirm if it was covid I 
12:33,13:48, @Pastor JJ. Are u ok Brother  I We want Tony Montana  @Pastor JJ what's going on? @Diana Louw 🌹 i dont see anything about Diko's death on youtube sabc news We want Zuma & Ramaphosa Was on enca 403 "🥺🥺🥺🥺 say ""hi"" to me you people" 
13:52,15:07, "@ Frederick You OK @Pastor J.J? " ok  I   @Mzwanele shange 🤜 @Frederick that's what is surprising that SABC is not reporting the death. Majavu is back 😀😀😀😀 @Lerato Moleke Nkago humana ko Twitter? 
