starttime, endtime,message
time,8:24,message u half i m half in that company only in rusdia . no any position for any one . u country half n i m half in that company . u want to give whom not my business u approve my meetion bomb 100 % from russia . share half fou n u country . u give approve letter from u court to russia 100 % millty from rusdia will bomb on mafia country n they dlave country . Gosh - restarted so soon after lunch! humming sound!!! my all 2036 president law must approve all . 
8:41,15:14, Here starts the throat clearing... "While we on this two year talk shop about corruption Hundreds of millions paid out for PPE to ""businesses"" in Gauteng Produce pay slips for all the employees of these companies. Many don't have websites or phone numbers. """ NO FULL DISCLOSURE """ where my peeps "Read ""Gauteng’s Covid-19 Expenditure Disclosure Report adds murk to troubled waters"" on Daily Maverick." Here 😃 @Valencia J "This commission is a classic case of ""fiddling while Rome burns""." 
15:21,19:12, 🙋🏻‍♂️ endless procession of stooges wallowing in moolah hello @teunis and @rip Hi guys hi valencia how are you @zip this zondo commission wont change anything! He is a thief. Done. they haven't untill today removed a 
19:12,21:03, We are trying to apply for tenders and got rejected but tenders are given to politicians children "valencia miss julies @Mosima Kgomo o opile kgomo lonaka nkgonne they haven't until today removed any of the as asbestos cyril does not care about costs! "why is it then when people win tenders "The hundreds of millions and staff for this commission should be transferred to NPA. We need arrests trials and convictions @kgomo yes if you are not connected then you won't get any piece of the pie 
21:04,23:16, by now I would have paid back R100million @zip😍😍😍😍 SA should change tender process and do proper due diligence cyril doesnt want arrests. he loves corruption thats why we have this talk shop raise the price and sub contract. Easy peasy they all do it """ TENDERS R AN ' UNBILICAL CORD' 4 CORRUPTION""" But he testified earlier they did not have expertise to do the job so he ew they were going to sub contract 
23:29,26:03, pistorius knows nothing about business. everyone sub contracts SA government is already bankrupt. Cannot operate without borrowing billions. Cannot borrow forever. "dominic Big words for a relatively simple project The blame is not Mr president. The people he is working with are selfish and not thinking for the economy. Not everything should be hold accountable to Mr president hi there "What did Cyril do to prevent corruption when he was deputy president? How could he have been ""shocked"" when it seems that everyone else in the country knew more about what was happening than he did?" "is not true that president like corruption but their are stakeholders such as NPA @canis you are 100% correct 
26:33,30:11, "@makhosi nobhatyi Zuma was always saying that while working with them "there is no Moral compass ... these fat cats a 20% profit... wow... Richmond Virginia Richmond 🎥 Cyril was a disaster as Deputy Pres. He was appointed to look after Eskom. What did he do ? Show me one portfolio where he added value. You will search forever. "@ Lekgothoane Lesetja I know that the old man never be honest in the first place he enjoys his party majority to defend him in parliament when he faces tough question As much as the power is given to Mr president h shouldn’t be the only one responsible for misuse of funds. Funds are transferred to different departments and that’s where selfish become selfish president is not above law to arrest the thief 
30:21,32:11, Competitive bidding is a farce when the government only asks for bids from people who are not competitive. "how to get away with Corruption.. ""I did know""  @Dominic Przybylski Spot on re bidding oops didnt know Blame the dead! You are an active partner man "anc is done Thugs galore non compliance = compliance ? affirmative action buzz on sound 
32:29,33:30, Santa Cruz CA USA judge Kim baskett using Terrorist weapon electric Radiation waves report DC FBI """ERROR IN NEGOTIO ( DELIBERATE MISLEADING INFO ON TRUE NATURE OF FACTS)""" Gotcha on the SLA 😁 "@ Lekgothoane Lesetja President Ramaphosa few weeks ago signed declaration of agreement to arrest corrupt officials so we will see more arrests report to Donald j Trump Santa Cruz CA USA judge Kim baskett using Terrorist weapon electric Radiation waves report DC FBI "what did he achieve @craig yes they looted and enriched their families Have a read maybe contracts should be written in all the official languages.. maybe they will understand what words mean 
33:46,34:53, "@Craig Johnson what did he achieve other than a permanent place at the head of the BEE queue "cyril bribed his way into office with r1bn @craig don’t believe and fall for their bs they have the capacity but we'll subcontract.. push the buck "whats with the Judges dance of seven veils with his face mask? Its up and down like a yoyo Misrepresentation Let he pay all the money back @craig yes don’t forget marikana He did nothing to prevent corruption like he did nothing to prevent a violent end to the Marikana strike. 
35:16,38:52, How come you have capacity but subcontractor. Why don’t tenders be given to people who are capable @craig CR has no b.....s @Dominic quite correct smoke it He's lying ... "@Zip reeper no you are having wrong coz it is public how they fundraise money but Zuma faction doesn’t want to be investigated how they found money too this man is lying... I suggest they stop this tenders as most politicians are very rich because of them. Now being a politician is not about serving but quick wealth All these bald headed skelms 
38:57,40:58, Donald TRUMP has the same IQ as Jacob ZUMA All I can say is that Marikana is an unsolved crime of 34 black lives that still don't matter. A real crime against humanity. BLM??? 8 years later ANC?? Wonder if Edwin Sodi is another ANC voting socialist? Being a politician is about serving politicians. Like I said 🤣 why do this politicians get tenders in the first place.. Lying @Ndumieh Mokoena because they have access to tax money. dead men tell no stories 
41:07,43:30, "How didn’t you know your partner is subcontracting you’re lying Sir "capitalism is a game of unfair advantages Badger him more DCJ - its taxpayers money that was stolen Thats why he is no longer with us When filling documents there is a part to disclose that or you didn’t read your documents before submitting Sir he got a short and quick answer Shifting blame on a deceased partner. Dirty 😱 Stop telling about Mr who talk at your matter at hand Sir "mphambane is dead 
43:43,44:56, Capitalism is a game of competition where the people who do the job best are the winners. Communism is a game without competion where everyone is a loser i.e. equal. "why should you tender for the job that you don You know it could be done for les because you made so much in Gauteng Ok so now he's an innocent little angel You done it already @Tumi Tumi its called fraud and corruption Throw a dead man under the bus ....... Nice one! You were an active partner- no getting away with misrepresentation true 
45:05,46:23, Why do you submit for tender without resources @LowJack187 ESKOM prime example "tumi "U're right "What was your disclose on your tender documents  "mosima @Sibusiso Cilo slavery where? Soul Rest In Peace 🤣 All around the world 
46:44,48:24, First thing they do after winning a tender is to buy expensive cars "Suprised he not in parliament or a minister - smooth talker Team of engineers wow 😂😂😂 C Shifting the goal posts and painting himself with glory. @Alan more money to be made as a tenderpreneur "All this guy How much did you pay for your tender to be approved 
48:59,50:53, "mosima Did u know that corruption can be drastically reduced in SA? the US is just as corrupt he speaks his lies confidently..... Lets test the math at least he tried Qualified thugs He is in prayer Ndumieh Mokoena lol!! 
51:26,54:14, You can ask his friend Vivien Natasen how much did pay for his tenders to be approved? "Treasury could be defaulted to approve all procurement projects "I just woke up But there should be a quantity surveyor/cost accountant on the project team! "All procurement projects dia boa Better late then never who is this Guy? All SAA MONEY WAS TAKEN AWAY 
54:16,56:56, the guy is a liar 💥🤨 @Dominic employ more qualified staff and adequate controls to expedite process @Sibusiso Cilo We simply cannot survive if we assume that everybody outside of treasury cannot be trusted. Unfortunately that does seem to be the case. "sipho 🤣That's correct @Dominic unfortunately we must start with that assumption here we ģo.are u listening to this mr zwane loosen the tie "Our biggest problem is that 
57:10,59:27, he can't remember such a huge amount 🙄🙄🙄🙄🙆‍♀️🙆‍♀️ Spot on Sibusiso there thief @Sal SA Unfortunately it cannot work in a competitive global economy. The only way to get rid of corruption is to embrace a free market where people who are incompetent are allowed to fail. what also annoys me about South Africa is that the public protector is very useless.... Problem is corruption has become too powerful. @Dominic its working in other economies SAA is a classic example. This government is spending billions on a failure which will continue to fail. "ndumieh 
1:00:27,1:01:58, @Dominic other private airlines have collapsed even in SA Eh lol Billions more disappearing into all the other SOEs just because they cannot accept that their method of operation is a total failure. Businessman visiting a business partner without a laptop lol "this man knows nothing it was all about money for him he doesn't go through documents because he ""assumes "" we talking millions here and you just gon assume 😑" "If treasury were to be given oversight "dominic Families should be super proud of these Crooks "tata Zondo and his commission of inquiry into state capture won't stop corruption 
