starttime, endtime,message
time,8:59,message 👀 Volume please kuvela banike namhlenje? Welcome back DCJ....missed you DCJ yha Slie Welcome back all. molweni hi all 
9:31,14:16, Hi all alo all volume is a bit low please increase yes volume is to low CR17 / PG18 ZUPTA 2009-2016 no sound @Chiang Mai Springbok REFRESH "39 years of service ... ""EXPERIENCE""" Sound please 
15:16,28:36, Springbok captured piet rampedi....ace and tom moyane's mouth piece increase volume please 🤑 she knows her story....u will hear later....shes white and hates blacks lol Thanks Goolam Bhai volume is better now I don't know exactly why but this lady she seems to be honest Mo B u said that and im happy some 1 hv noticed that в风格健康绝口不提 
28:49,36:26, 疯狂看不见经济哈哈会不会 👍i agree Ryan Commission will not create jobs and bring back the land to the rightful owners Malema is black I am the rightful owner of my land Mr gardener @Daud Musa Technically he's brown. Trump said if you don't like it here you can leave. Malema is African not Afrikaaner I've missed you guys "Ryan u know u knw its funny how Malema forgot so easily 
36:30,41:12, people need to be civil on this chat line. it's not a rant line. Malema is SA's Trump. K "Hi guys CR17 -Malema @Thando Nkutha I have got a can of Doom in my hand just in case all else fails @Mfanafuthi Gama Thank you So call white woman can't speak English. ' the blacks rather teaching her own language 😂😂 "Wind of change cannot be stopped 
41:18,49:12, I can understand her. thx Liz j "I feel sorry for our poor communities whom r used by individuals as spin-doctors to serve their own interest  "her English is poor but we can understand what she is saying you confusing her accent with English OOF i thought this was Tanzania imagine your boss tells you to make a payment the same day for 30million rand!! wow "or you being tired smith  "@Ryan Smith Black people over populated South Africa after their mass invasion. Blacks make 60 000 children per year. I don't suffer from White Guilt 
49:58,53:23, "Guys @Thando Nkutha For telling the truth? @Thando Nkutha Cannot expect whites to pay for your Healthcare when you aid no benefit to us. "Smith do you think by being tired of our president  "@Ryan Smith Out of all of them DA did the most lol Blocked "@Ryan Smith I am also not a DA voter "@thembela makoe His corruption should make him hated @Ryan Smith Most of them doesn't understand that fact. They think they will get land and homes lol. Meanwhile back to reality there are only 25000 farms and nearly 60 Million people in South Africa. 
54:17,59:04, @Ryan Smith Indeed i agree with you "@Ryan Smith Same Bunch of racists @Ryan Smith @Viewing WILL YOU CONSIDER VOTING FOR ALI BABA? ali baba lol "Thando @Pastor J At the moment with what's going on in South Africa VF+ has my vote ok "Boere should stop wasting money on Electric fences 
59:11,1:02:52, wire* "@Ryan Smith My favorite Quote ""You live by the sword you die by the sword"" Malema will soon have lead between the eyes making his head explode. Not a threat from me Heheh...Like Mugabe......heheh all those who looted state funds must be sent to prison forever "@Ryan Smith Malema is so scared right now he will step down as ""EFF leader"" and he will move to Dubai where he spent all the corruption money on a mansion like Ramaphosa and Zuma." "Witnesses should be careful now these thugs are not only using hit man strategy this has never happened My pleasure Thando. Your narrative is riveting! 😘 no one gets jail tym 
1:02:56,1:09:15, "@makhosi nobhatyi i don't believe in Muti Why is Zuma's son still free and why is Zuma still free? Both of them caught up in Huge corruption and murder cases but they run free. "@viewing do you want to test the waters? I guess you won’t want "who was going to hold the ANC accountable if the EFF was not around certainly not theDA because they are linked in every scandal that the anc is until u proven otherwise than u can go to jail. "@makhosi nobhatyi I paid a lady to do a ""Hex"" on me @Ryan Smith It seems like no one is interested in you nonsense. yet again. You are neing ignored. intentionally it seems "@Ryan Smith Malema is the most radical of the EFF @Thando. You are free to use a dictionary. You might want to check out the word sarcasm as well 
