starttime, endtime,message
time,-3:45,message on lunch? @Thato Maleho Always resuming at 2 but as per usual i think we gonna run late 😀 so how do you see the jamnandas case going so far @fikile mbokodi i don't think she is gonna stand a chance.... same adv representing her that represented zuma at this same inquiry.... yah neh she is a victim now what is happening with this zondo 
-3:40,-0:54, just heard Zuma not coming back to commission. layers wants them to highlight the 9 witnesses. what he was acussed of He He he lawyers "@Abel Matshidiso I wasn't able to follow everything Yes for sure .his brave Seems like he's a buddy of Zwane... @Lorraine Naidoo extremely! I hope he knows he is putting his life on the line here shame if he gets killed the story is true I am going to re-watch this tonight at home cause work is interrupting me 😂😂😂😂 @rohan barnard Thats the way to go... There is noone with monopoly to oppress 
-0:16,3:35, That old looks honest with his facts... zondo is late now I k ow they do get protection from the commission "@Lorraine Naidoo definitely! but isn't there a few witnesses that was ""taken out"" when they started with this commission way back when?" I'm sure there is more witnesses "i remember some stories now we know "zondo commission sanibonani 
4:18,13:16, who is on the stand ok got it now I am correct. News24 article saying that Mr. Philemon Ngwenya was murdered because he was against this Vrede Dairy @hendrix jeranyama a whistle blower of the community in Vrede Dairy thanks Rohan @hendrix jeranyama you're welcome @hendrix knows a lot "lorraine The flying spagetti monster is GRAVITY. 
14:07,17:08, The Zuma lawyer representing the PP is talking non stop for 25 minutes...waffling is a better word @Magda Seguin he still waffling about the bush? Yes@rohan barnard...its tiring as he makes no sense at all I am giving up on that case.... I can't deal. This is much more interesting. Malume you better watch your back "Yep coruption if it stick his head out dont hit him on the hat cut his neck off I will read it in the papers 😂😂😂 The court document will be posted online "Ms interpreter 
17:15,20:15, @Magda Seguin Twitter probably? You can only afford to be in EFF till your money 💵 I Yebo baba "Yes nobody's chating "@I Am Free Wasted some time listening to Mancha on Gordon vs Mkwebane. Nx!!! "We are listening @Funicanz ngibuya lapho nam 
20:17,22:37, @Lorraine Naidoo .Sorry Lorraine. Thought you ran out of Data. Againnnnnnnn Cows are God’s in India which is about 120r a kilo in Gupta land The million dollar gates... I need and update public officials need to wear body cameras uyatolika uMo'ghel. 👏👏👏 "This is beautiful to experience I'm almost sure in India the dairies use buffalo and not cows which are considered sacred by certain sections of the population. @I Am Free Ooops didn’t want to tread on your hoofs. 
22:50,27:39, "@Mrs Anderson  big up to interpreter Mantsha is very weak and arrogant Thank you Zondo "I Am Free  surely these details have been confirmed? already? whats is the running commentary on the bottom of the page. Is it voice acivated "Yes Vegetarian 🌶🥬🥔in Polo Club Bombay great fresh.🥣 
28:27,30:45, "What the bullshit are you talking about "I Am Free: a person who believes that the universe and living organisms originate from specific acts of divine creation So carbon dating is wrong.... I think this is unfair on the witness @Magda Seguin Sorry for sounding silly but who is Mantsha? lol. he understands english. move on The PP s lawyer IM Free most cows in street seemed cardboard box was their 1st choice 📦 Thats not Mantsha. Mantsha is Zumas lawyer and not an advocate 
31:03,39:40, mantsha what a waste of time jacob zuma s lawyers skhakhane and mantsha The government still seems to very greedy Ms Gcabashe's articulation is very clear and on point. heibo Has Lorraine and Danie walked to ParkTown for some milk n meat... excellent interpreter👌 Zuma 🤥🚿ANC and Guptas milked all of SA not just the taxpayers. I'm also thirsty n hungry too. 
40:51,42:40, Miss Interpreter is absolutely amazing. I like her Wish😏😏😁@clive "Dnt mention ace for now The PP 's lawyer just finishef now his colleague is taking over...he says he only has 13 pages.....unbelievable "ace was the head of the province at the time she is amazing @Mpo Miss Interpreter 🙌👌 This sounds like they were managing a spaza shop 
