starttime, endtime,message
time,4:47,message ive been waiting for so long now is time ich one are we watching jamnandas or zondo i see everyone is gone to watch jamnandas who this man? this malume looks wild..... 😆😆😆 goverment chameleon is back this is an ace man Corruption at a satanic level 
5:51,8:53, OH took public Protecter to court pp is also a zuma agent state capture is being used for political agenda. people come with claims having no proof to produce. are we suppose to take this seriously. "lol the Public Protector will be gone soon eff supports avery ting that is non esential in thye lives of the masses shoo the bad words used by them...really uncuth @Mbuyiseni Nxasana How must we take you seriously mampara ? Zuma even ran away from Zondo lol guys am not a politician but what i understand is that DA and EFF they dont support her but defending the constiution thatha zondo nekhomishana yakhho 
8:59,10:54, The PP will be gone and so the eff will be wrong again !!!! They are a party of thugs and trouble. zuma has never stop running since he got fired I may read a artical Zuma is going expose all. on fb @Mbuyiseni Nxasana Part of the Zuma fight back campaign you @fikile mbokodi NO! The eff support the public protector fully Zuma must kill ANC to go support ATM cannot wait.tears rolls dawn when I see the poor walking so far schools in the cold sad reality that 
11:15,15:17, babize bonke bazocaza okumele baboshwe ababoshwe okay they suffered for to long.i don't know why all these parties get together nd help build a new S.A "SABC  when r they start arrest all special for anc n eff we must pray "not only black people all were stealing from the coffers os state and did nothing for those masses who vote for the thiefs "@Mbuyisni Nxasana 😂😂😂😂there is too much of evidence here since yesterday's witness till now now that everybody knows that gate is worth 1.2mil ... is it still there on the farm? lol 
15:23,17:00, cannot to jail the top 6 nd Jessi Durante got jobs for all her family ACEING we need to pray 24/7pls it is serious mamad just imagine 1.2m for a gate "Yes I said gold gates from Dubai lol "molweni 
17:06,18:58, Ha ha ha ha. "it is like abc not anc or 123 get voted in as goverment get cronys in money pockets like SOE is there any project that is not corrupt.....disgraceful @ Danie... too funny heeeee heee and love curry and chicken and loafes and watsons and guptas and be in anc goverment wooooooooo clap once operation Hlasela looted fs why should we even study further when the are ppl that just get paid njeeeeee They also need to investigate the dept of health and the Lotto. 
19:19,21:17, kleptocracy...government by thieving The police service needs a big investigation @x. .x Are you saying black people are not smart? even the judge is confused!!! "lotto already had it @Mzalwane Mzala very clever when it come to stealing and schemes at some point our country will run out of money They must Investigate.. The Community Schemes Ombudsman Services (CSOS) as a child I grew up in the apartheid government. we fought for this ANC to come into power my brother went to university with PG my qualified as doctor PG pharmacist 
21:32,23:27, @Melvict Melbourne I am sure I am much smarter than you racist This commission is a waste of time. Nothing will come of it. @Mzalwane Mzala stating facts is not racist @Melvict Melbourne im starting to think do too I think they will be charged .will take a while i work for a big comp. AMSA top position Nepotism and i fight it and as soon if you fight they give me the letter....they all is focked up ababoshwe phela abantu abadli mali yabakhokhi bentela bukhoshosho no this commision is public for the very persons who voted for them hope you are ashamed sies man @x. .x It has nothing to do with smartness of black people. 
23:37,27:28, I'm going to watch Public P court case see later yes he had a hair cut and it seems to make him feel better and now he sits with the aunty that is leading the witness listen it is the judge doing her job they must all pay back the money @Jabu Nhlanhla I highly doubt that will happen why are they hush to other witness but to Zuma they were lazy its the muthi lol and charmaine on 7nde laan is fired because she said some bad stuf of afrikaners she mast now vissit the aunty in jail who utter the K word @SABC Digital News The sound and video is out of sync 😃 one word ace aka hitsqaud 
28:40,33:00, aka Gangster we started on 450 are now on 1219 jobless are waking up yes we are waking up @ nilsen aka “Mr Ten Percent” lol many nicknames for Ace "adv is thinking twice apply your mind this lady 😑 @nosirnotme med i feel verry sorry for those unemployed people 25 years and the only people got rich is the goverment and some private company on cahoots with goverment Liz your right money will run out and there will be no more cash to steal 
33:21,34:32, Danie Fact this lady is like an Intern from school dont be sorry for them they should go get jobs or open businesses the more problems in a country the more opportunities to make money she is worse than the public prosecuter i thought she was doing dishes in the kitchen 10% OFF on Flights. Flightmateza supply the demands stop crying @ Nilsen and it seems nothing is about to change \ always nervous haikhona 
34:53,37:23, sorry to say all the curry pot eaters has filled all vacancies so they started looting the vbs and kindergarde grants wheres our man.Adv.MALEKA @Abel Matshidiso she's forever nervous! How she made it to the team is beyond me still our police force is a joke now we have more private security then police and army combined their failures present us with opportunities yes we want maleka back but for ACE AdvM.will have an ACE UP HIS SLEEVE. "these crooks are robbing us in every way possible i agree maleka is needed even 4 the no.1(Zuma) 
38:01,42:15, Highlight of this inquiry was when Maleka had Jimmy against the ropes why Mr Maleka not given an opportunity to take a stand for asking questions but Maleka is sharp as well but he seems to be anc patient an is on icu care the way he comes through my opinion though "@Danie Nilsen these days you never know Ace Magashule will be asked by Maleka that will great oooooh @nobhatyi I hope that is true Zondo is angry now 
42:16,44:06, what jst happened? That didn't go too well... yes @TheC4RB1N3 true but if you are realy independant you will come across n bit more wild as if you are angry and already gound him guilty like in a court of law as in i put it to you that you are skelm 🤣🤣🤣 and Zondo was appointed by Zuma right? So they got advice that the agreement was invalid. Still said they would go ahead. No he was appointed by the Chief Justice "Judge was too harsh 
