starttime, endtime,message
time,7:00,message what time does this kick off 10am usually ANC IS KILLING SOUTH AFRICA @Aubrey Moloi. Yet people are still voting them. "Terrible brother. our people need to show politicians that they are in power not politicians The word ANC can't kill anyone Tell ANC they are fired stop paying taxis People deployed by the organisation made those mistakes and people died as a results 
7:50,9:56, "I'm so speechless where are u know @Aubrey Moloi. They have power of the vote. 100% agree. look at the ANC now. Some people still believe that Zuma is still the president of the country. they dont regard Cyrial as our president. "@Cassius Mngomezulu  I am nowhere I am here to listen 👂 You never made any mistake in your life #Siba Mfabe Thats y you talking like that "when relations sour up 
10:07,14:26, Terrible 🤔 Where is the video? "@Cassius Mngomezulu I have made mistakes Were you judged by anyone i'm waiting to see who's face show in the video "@Cassius Mngomezulu  @Cassius Mngomezulu We have to judge our politicians - that's how we know whether we should vote for them or not. Who Judged you 
14:34,17:33, zim has no internet I'm not a politician We loosing our country bits but surely 🤔 "Thats where u wrong The country is gone with the ZUPTUS I don't kill people either "If I did save SA "You said that  
17:45,21:12, Well done Siba Mfane.. You talk absolute sense... will a judge listen to a day to day criminal saying he made a mistake... Whether a crime commited was a mistake the culprit MUST be punished Who was punished in life esidemeni and Marakana "This is ridiculous - if you know of anyone I killed We going no where i hope everything turns out wel wth dis testimony of Agrizzi... Mngomezulu is busy comparing apples with bananas. We have to judge our politicians by their action.The oath of office they take is not for show baba. "Eish today he is in resplendent  *actions Who killed who 
22:40,28:18, politician who. benefit under democracy must go to jail with their friend and their family. in the name of poor True Stephen in the name of poor I dont see anything interesting here This guys is confusing me. Unfortunately i cant probe what he is saying. the two Vaults that he is talking about. where was the money kept? which vault? "They must pay because people died for this country no1 is gng 2 get arrested u shall see.... what is Agrizzi's title or job? He was Bosasa COO @Roux Beukes Jesssiz this is some frank evidence 
29:43,31:18, What is title of the person giving evidence?  Mncube" why rich people always get way even they broke the law but if it was poor guy this was not going to happen he was going straight to jail.. "exactly This person is not rich.. it is stolen money. A jack of all trades meant he did many different things "@Maphike Gloria because they are rich load vlc! hahaha! VLC would sort that out. down with windows media player ! 
31:27,33:51, "All rich people have stolen something from someone  Why did he want them to take a video? @Andrew Mounsear-Wilson exactly It’s getting hotter Uyanyisa lo Agrizzi. Tjerrr. Blow by blow. guys help me wht gng on here Judas - just google it. a bit much of a story 😃 "He is doing an ""Agliotti"" snitching hopping that he will get immunity from prosecution." What is going on guys 
34:22,36:06, HAHA technological matters Video killed the bribery star beautiful. technological matters... an expert. @Andrew Mounsear-Wilson ROFLMAO Eish these computer stuffs eish difficult! i mean wht are they trying to find out with the video here cos they mention busasa and busasa involves matamela lol keep the Mic on plz this guy looks like a real expert! "Agrizzi had a near death experience and discussed the whole thing with his family to come clean. He received R50 mil 
36:11,37:46, """googling VLC"" >> ""Clicks download latest version for Windows""" was that Vincent Smith Download VLC problem solved "look at the size of him You guys clearly don’t have a clue what that pc can do 😂😂 you think he eats money? 😀 @Andrew Mounsear-Wilson a whole Unit thats a ROG laptop... nah @Thando Nkutha the guy has glasses...they're usually nerds 
