starttime, endtime,message
time,-2:01,message Here we go again lord save South Africa this is what happens when you don't pay employees "Angelo Agrizzi what the jamming? "probably gonna blame this on a ""internet glitch""" or sunspots lol 
-1:59,0:51, maybe the gone Hlaudi whaha Tick tock come on waiting for digital news SABC??? patiently waiting thanks i have an add and we are luve 
1:05,5:01, Luve ❤️ waiting to hear this its reported that that the sabc staff have not been paid yet so please dont be suprised Sound is so low today 👀 Thank you we have winds in CT @FF Where is the chair? 
5:21,8:02, They wanted to start early but even for later start time they start late. And resume late from tea and lunch. in the eyeconract line of the sender "morning test "JA guptas were lucky sound pleas enca is angry cz their jernos are implicated "mr chair "I have adjusted my volume to 100% but still the sound is low. @SABC Digital News please assist in regards 
8:08,11:46, please do something about the sound "Since following the commission there is a lot questioning us as people to the voting stations This guy has nothing new WHYYYY...? Guys PLEASE assist me. What is going on here??? HI ALLLLL is this guy for the Guptas ! ? a touch of chaoz oerhaps@desmond Financial Cost...tax payers money! 
12:02,13:05, Is Agrizzi still going to testify? @Desmond Masilela Gupta wants to cross examine Trevor Dean I was thinking the same Is Hellens says guptas unfairly considered? Not sure what’s going on There are a lot of hidden things that our people are not telling us. Just waiting for the cross examination I wish agrizzi continues 😘 @Yandi Masina. Thank you Yandi. Who is this Trevor? "@Desmond Masilela  we need agrizzi 
13:15,14:02, Manuel. Trevor Manuel. Wasnt Agrizzi going to continue namhlanje? agrizzi Guptas want to come back....their competition Watson is going to jail.... House keeping??? @Yandi Masina. Thank you Yandi Trevor is the dodgy guy zuma used and got out of jail for a sickness!1 Y’all think Kwesta’s voice is sexy? Listen to Zondo 😀 Agrizzi will continue at 10h30 
14:17,15:03, nah zondos voice is off @king 😂😂😂😂😂 @Jake Ellis. Thank you Ellis. they barely even started and they want a 10 minute break after starting 10 minutes late 😴 @King Vuka 😂😂😂 my Mom loves Kwesta. Okay Michael i am here for King Agrizzi So the Guptas just decided to waste our time... they feeling forgotten @rohan taxpayers money being chowed 
15:07,16:13, Enjoy Zondo’s voice because we’ll be listening to Grizzly bear soon 😂 thanks Michael.. agrizzi has lot of meat to offer in this commission This is shirt nobody is goner go to jail here mnxn Abagogo for they might be amused by Zondo's voice AGRIZZI FOR PRESIDENT!! Guptas tjanking? @Yandi Masina haha you should get your mum to listen to Zondo lol am I missing something here.... Are the guptas also linked to bosasa? ha ha ha agrizzi for premier 
16:13,17:06, @King Vuka Will do😃😃 The hatred (Zondo) commission yet again. "@Desmond Masilela  If Zuma and the other members took that's money wish is somebody must go to jail. "@rohan barnard no not really Whats going on noe now ahhh! Thanks for the clarification @King Vuka The gooooptas know when they land they will be arrested so not coming home to India I mean South Africa soon 
