starttime, endtime,message
time,4:18,message back live "correct chair vote anc out we tired of corruption we suffer because anc corruption Ola Mara my Anc Hes not so bright eyed and bushy tailed today... 👀 
5:00,7:19, Angelo looking warn out ;/ Yandi Masina hello @Mengo Andiswa Hey 👋👋 can someone do something about the volume please VOLUME These SABC streets have too many technical problems. @Yandi Masina did you greet your man "Maybe Angelo ate too much during lunch volume 
7:47,15:44, "@Mengo Andiswa He's fooling around today @SABC Digital News .iIll @Pholani O ok as I wasn't watching earlier He was on fire in the morning 😉😉 @Yandi Masina call his name Volume please "@Mengo Andiswa Yo these crooks need a jail volume plzzz 
15:57,18:44, please tday provide him with your digits so that you continue outside the internet "Camera man @Mengo Andiswa I'm 🐌🐌🐌 @Mengo Andiswa He has to ask for them first😆😆😆 "The volume is low he did sweety days back heee perhaps you weren't paying attention Volume is fine Nyusani ivolume ENCA not covering this today? 
18:48,20:42, put on your headphones @Mengo Andiswa Are you serious??? to minister of higher education can u pls close this corruption university .is destroying our lovey country.just demolish it. Zuma's relationship with Bosasa and specifically Watson corrupted the entire ANC and even the NPA in relation to tebders.Rotten to the core. "@ST James Rama They did true Michael "if the volume is not great @Michael Michael 😆😆 It's teaching crooks new criminal ways. Anyone who still votes for the ANC would seem to be ok with corruption. 
20:44,23:43, @Nolan Valensky😆😂😂💀 pricely no Did everyone see the belt that Agrizzi is wearing? LV Louis Viutton. Goes to show that Agrizzi was well looked after Its about how the NPA dicerted and squashed the Bosasa cases *diverted poor sound The ANC manifesto is a load of hogwash...promises and nothing else I think the ANC is being run by other individuals. The President and the ministers are just front men 
23:55,26:11, "On FB @ST James Rama.... it's the cheapest belt he could find on his wardrobe 👀 "etv is gone "I told him its an unspoken agreement 😂😂 "My new line ""I reject your comment""" "if u accept bribe u are guilty as the giver.punishment must be same.i mean one spoon @Yandi Masina I even provided mine bcz he said you don't want to provide him with urs so I suggested that you gimme yours then I will give him.He loves you hle Yose Human there were news24 inestigative articles for more than teb years but nobody took action...that is why the NPA was bribed by Bosasa to squash the evidence 
26:38,28:12, @Mengo Andiswa I die. Grizzly had me distracted maybe. npa shame "Jiba the Snake was just let off  Apologies for the typos prosecution 27 people did he bring the black book today or this afternoon? no wonder Senzo meyiwa's case is still unsolved Mrwebi and Jiba are under investigation currently 
28:24,31:41, thats painfull why would Xhosa speak soft to Zulus... stop tribalism pleaded Yose Human "but this guy say he didn't see jiba and mrwebi accepting any money. so it's a hearsay evidence and it's not admissible in court. it's not what u heard  Let Malema take over no need for elections. yose human I assume that u a white there are coruption in all racis in the world I cast my vote base on the performance of the political party. ANC didn't perform well in this term. then ANC will not get my VOTE we are busy cleaning the top.we must also clean the bottom.worse criminal. ANC is a corrupt organisation. SA has gone downhill since 1994. They wont stop until everything is destroyed then they will beg for money. Useless vermin 
32:04,34:03, i mean local goverment some comments sounds racist don't belong to S.A. dont take this to race plz peter sant I agree with you @Yose Human unya ngomlomo mgoku kwedini Mrwebi and Jiba was this week on the PIC hearings ....is right here on YT yose human can u pls talk sense.and introduce ur self if u dont mind.crap. never respond to a racist 
34:11,35:01, Whites will never respect black leaders as long as they can be bought . agree yose is so bitter he must be from Limpopo let's us respect each other in this platform u turn to be a fool like him 👀 True No respect for any colour that can be bought If some government official approached you and said i want to transfer 10 million into an account of someone who already has a tender can you help me... What would you guys do? 
35:10,36:23, not from limpopo say no waste of time your forefathers screwed my ancestors huh pad - student? usecasukile ubaba Agrizzi.... it's been a long day 😁 Michael Wild 10M is a lot of money why do u critise our culture to dat manner. u dnt have to . bcs it has nothing to do with it. jail is a bad place 
36:50,38:07, @yose human. your comments create racism 100 thousand rand is how much in us dollars? peter sant fully agree Before the elections a lot of money is going to go missing... Mark my words just block yose it will make your day better So there is a commission on the other guys that are involved here thixo!! Guptas were just small fishes yazi!! R7 234.50 @Peter Sant We blocked him on enca. "@Sthakathi Khumalo Yes 
38:10,39:42, will follow Sorry not R but USD. 7 234.50 USD "@Yose It is wrong to take part in any means of corruption. helping move money is know as money laundering. It has jail time too. USD14 000 ok $7234.50 i block him Bosasa paid a snake to do what? 
40:05,42:07, helping move money is know as money out of government affects the taxpayer to stop prosecution @Musa Bakiti to not prosecute bosasa paid a snake to bite or... "@Yose Check ZAR to USD rate. @🤣🤣🤣🤣🤣thilivhali naho So is Agrizzi both corrupt and a whistleblower regarding corruption? @melanated prose yes 
42:26,44:38, i was bitten by a snake and i did not know bosasa paid it to bite me.Devil fruit of the poison tree $1 = R13.8 "The ANC makes me sick. Corrupt  @Musa Bakiti 🤣🤣🤣 @Thando Yes. I just hope the African continent can stop all the corruption. It along with Colonialism keeps Africa behind. African National Corruption just think if South Africa produced goods to sell how well we would do with.such a low R. but guess what we buy more than what we make and sell. 
44:40,46:01, Jackie Lepinka materialism keeps humanity behind ANY SHOCKING NAMES PULLED OUT THE BLACK BOOK The ANC has to go. guys what is fruit of poison tree kinda boring today. little china pop firecrackers True South Africa must get their import and export issues solved. no Like isn't the NPA supposed to be like honest ? 
46:41,49:12, like I don't know lol @Sofia Sofia yes they are - that's why there's the other commision of enquiry like @Jngle Pssy lol ive just been told no fireworks because the toilets are locked out @Anne M. oooh Emtee with his smaller nyana shaft has been stealing money!! EY SAZE SANESCEFE LESFEBE ESI BUSY NAMAZULU WIGOLO WENA NHLUNU KANYOKO let justice run its course ohk thanks friend 
49:16,51:27, Yose Human.... you are Yose Animal "making ""Matchy matchy "" Docs" I am beginning to suspect that the Special Commercial Crime unit has pursuaded him to help them build a case against the corrupt officials. all the other South African cultures are so cool but joh the Xhosas and Zulus...theu just want attention shem Maybe they are fed up that all their cases gets side tracked by corruption what did I miss? Sangoma is offering a service to remove your name from Agrizzi list.Pay 10% what you received and your name can be removed😥😥😥 @Kabelo you missed millions of rands broe.hahaha Agrizzi...you being cocky again. CAREFUL !!! 
52:22,54:17, they should have a mixed race president ...that will balance the issue lol Npa Yose you are reffering to King Dalinyebo "buthelezi slaughtered ppl in Boipatong +100s "Great idea Jngle Pssy lets change the way of electing president.head of states 😂😂😂 Vote Individual and not Party @Nico Liebenberg 😉 x 
54:35,56:37, wild card no @Yose Human For the sake of everyone's sanity . . . PLEASE STOP President Zuma was a big head of state i block him "@ST James Rama Trolls are like bullies. Ignore them @Yose Human Do you think we are morons? We read your comment the first time you posted it saints lol Yose you need to rethink that sentence former head of state luck little education.means he dont understand the economy.Russians. 
56:37,58:18, Dropping names lol his mind is too FRESH!!! @Thando Nkutha Yes Where does Agrizzi stay? AWB its your chance now to buy South Africa .Afrikaans😎😎😎 Advocate Nomgcobo Jiba of the NPA I blocked him. I know I am not that clever but FAAAAK this guy is irritating musa really how does one collect that much documentation? Agrizzi is not tired of agrizzing comrades..... 
58:35,59:47, Aggrizzi is that Uncle with files for the entire family @Kids Collie Agree "no one is perfect collie he is a fool Where does he stay On the outskirts of KZN yes you a human first before your skin colour* if ever the is a he stays there. @Lesley Nkoana Yes! 
59:56,1:01:16, small firecracker ... just happened smaaaalllll one I feel more coming .... divide and conquer is a strategy of the mineral imperialiststs! its their most powerful and simplisitic tool for polarization @Lesley Nkoana Black people are perfect by me.What is not perfect is Afrikaans who don't want to go back home. this man has an elephant brain Aaaaaaah......Zumatjie is mentioned....nou gaan die poppa dance... Yoh wow 
1:01:31,1:02:24, how tight is Agrizzi's security.....I'm sure he is the most wanted man Did Zuma ever decide things on his own hehehe did he say Zuma? Agrizzi and evidence Ooooooh Yeeeeah... Grizzly has recordings! yose human: some of things you are writing its true He even recorded thing ... Yummy I like the sound of this now .... "lady 1 
1:02:27,1:03:13, "breakfast with lady1 🐁 Lady 1.2.3.4 etc yebo all ladies Agrizzi mara ke snitch yerrrr I just love it when he looks around Ho many wives does Zuma now have ? He just mentioned the for president Mr JG Zuma Angelo's dietician advised him to put himself under pressure then he will lose weight. i dont understand his motives now. 
1:03:13,1:04:03, "Eff please please come and save us 😁😁😁😁😁 he never took decision of his own.is a shame @MASIPA ITUMELENG a big RAT A real 🐀🐀🐀 Those 👀 lady1👩lady2👩 lady3👵😂 a well trained spy..... say that again PRIVATE SCHOOL SPY SCHOOL ! 
