starttime, endtime,message
time,3:37,message Ndaa! Mr Agrizzi Tony Yengeni told us to fasten our safety belts because a volcano is about to explode. He assured that what we have seen or heard so far is nothing. molweni 👀 Molo mtakwethu unjani sisi? Morning @Mandisa ☕ Ndiyaphila @mandisi ntauzana. Unjani wena? 
3:56,8:00, Morning veiwers "ndi right morning guys "morning all is agrizzi alive?😟 very alive yandi😉 hope we will have another Agrriziling week ngu Agrizzi lo abamaziyo abazange bambona 
8:23,11:44, morning guys grizzley bear is alive😀 Agrizzi has been offered R80million to quit the commission. ndosi😎 Lawful dissemination of news by journalists is of public interest no tjotjo for journalists please impartial reporting for public sake please I wonder why didn't He take the money and still come and blow the whistle even more louder lol lebo "@lebo 80Million 
11:59,13:27, Molweni SANEF is a bully He wants to earn billions not millions I cannot even imagine what would have happened to South Africa if someone didn't come forward and started talking. molo kubo Agrizzi kubo Intellectualism must suppress gossips between the comm and media by being professional in their duties He is also selling his R13.5m house. here we go agrizzzzzz 
13:30,15:14, "newspapers are worried its on vho-Agrizzi SANEF ibambe I commission yethu ngama balls hard copy is going down The longest song ever sung is now playing. Best of Agrizzi Album wow this guy is something else "@mandisi Who`s name is on the list today Mr Agrizzi? 
15:26,18:23, "agtizzi lo feat friends Guy has a black book. Leshabane pocketed the money. "you can be certain it's a white journalist as long as he doesnt mention my name.he can sing as long as he wants to we all love Agrizzi right? yep go kiss a snake 
18:24,20:51, pay attention south Africa how evidence is thrown under carpet. Lihle elinenekazi lihleli ecaleni kukamnumzana uPITOLIYASI. embedded Journalist as they were once referred to by Ndlozi of the eff do you think agrizzi is that foolish to give leshabane money without asking the name of the journalist? really? lol cele i also gt a sum of 150 rands donate we need the name of the journalist you got it Pinky Khobane 
21:09,22:50, ntuli This make one to detest the ANC AGRIZZI AT IT AGAIN they have just did it Viva Cde Angelo viva 😂😂😂😂😂 sshhhhh cele Who is Bongs The state of institutions is deplorable; no saint yep we love Agrizzi 
22:50,24:45, ATM is here to clean all this dirt "@makwa I laughed when I heard Pinky name...... "bingwa Agrizzi 👏👏👏 We are in this mess because of ANC wonder where is nozipho thembeka eating whats left Agrizzi is like a tornado...... 
25:15,27:51, """That is correct"" 😂😂😂" Narco rules .... "All this monies could have gone into making the lives of people better the people are fools Now you all of you got your eyes open as to why the eff always has problems with Journalists from time to time All cadres trained by Pablo Escobar i wonder where are the people implicated right now cheap tee shirts I do not think we like Agrizzie but we like what he is giving as evidence for he is as guilty as those whom he is testifying against 
27:55,29:42, buys votes David we must educate our people or else we are in trouble sorry let the Country rule by Zulu King .. i think its better ". what another thief fools Journalists in SA are compromised and drive political agenda of certain politicians and political parties 
29:56,33:40, suckers @Eslon Eslon Not all anyone who takes shirts and food from politicians That's wrong David our votes doesn't belong to ANC that when it frustrate us we don't vote @Cycles Of Hope It is easy to say that if you are not hungry time for winnies necklace "talk to me  the question is are planning to live the country? of course but this will make the media spectrum not to be trusted @Kids Collie 
33:48,36:22, cyles of hope. what s your point? "David theta agrzzi theta we r sick n tied of this crooks hope this goes for prosecution please. "$😀😀😀ruins people lives I like what he is saying now. He is not saying his innocent he is doing this to save our country Amen Agrizzi david cele you think? David but your party Eff is too angry too 
36:22,37:56, "At no point is the ANC implicated here i cant wait for 2019 ELECTION DAY TO VOTE EFF "just logged in eff is the answer for the people yes i agrree next vote one will asking who is more likely to cause less harm to the country "Mpho or very wrong this is not government of national unity this guy they write one negative statement he cries? if he was Zuma he would have died by now😀😀😀😀 DA is the lesser of All the evils.........us @david cele give them more power and zim will look like kids show 
38:24,40:46, eff win the general election.who will be the president??Mazzotti?? WMC!!!!!!! "The story written by one of the journos mentioned here ""Mmusi Lies Again & Again About Bosasa & The President""." @David...you been brainwashed Bra.... I thought as much he is under protection At david cele noted sir malema wow.tax free Agrizzi is not in the best of moods today there will be no south africa 
40:46,42:35, "this fellow will crack under cross examination. what do you expect Agrizzi. you live by the sword "I like Malema but he harbours to much anger and hatred if eff leader malema wnt my vote he must sell his house in sandton to donate money to poor of poorest Agrizzi he's emotional today "@david malema many times praised mogabe and his methods @Lee Majiya very emotionsl gucci at home and useless red clothes in parliament. @ Kids Collie. Remember the Dairy Maverick wrote an article about Floyd Shivambu and the VBS while the investigation in the advocate Motau did not implicate him.Its still the same embedded Journalists Which outside auditors dealt with Bossasa books 
42:52,45:08, david wait our names not mentioned yet.scared?? anti colonialists are hypocrites "@Lee "I Love YOu AGrizzi its time for south africans to wake up "Cdes "Invoices paid with no labour hey when you see people willing to place there future on malema... wow... hi hope's hey. the same guy who states white people must die but he himself has a white body gard.. wow... let's vote for him dan wait he will give us other names and dan he can take rest 
45:08,46:41, they are all forgetting that ANC/EFF are communists...... solution is grizzi tell da story as it is I like dat Why must I vote for DA agrizzi is the criminal he had confessed many times to do wrong here so it shocking to find out that he want to attend his granchilds birthday instead of thinking about going to jail "communists are ok not rthieves Cause the DA are the lesser of All the evils... "This is a phenomenon called Agrizzi Mike I think ur correct n thank you 
46:46,49:05, choma da u will earn 800.bcz musi and his group they are busy fighting 3500.he dont care. "I'm going to vote but the ANC definitely not getting my vote @Cucles....Geee...Bra...you been brainwashed... ANC needs to be humbled "cycles.... really yaaa lets him finish i also feel for him. Michael eff is too angry n promote hostility that is my fear @Enrico Abraham agree meyer come with it 
49:37,51:10, Separate ANC from individuals (members) = Freedom that and not Apartheid and not racism Abraham I love you brother is fuzile former DG?? "@makwa u r right. the harder we work at peCe and getting along ANC NEED TO HUMBLED nothing to do with anc. ANC did nothing wrong everything to do with ANC ANC DA EFF u dnt hv idea of campaign instead just 2 c loophole 2 succeed on it 
51:24,53:02, wavy no Meyer we need each other black m white but we must not leave reconciliation to politicians lets do it ourselves wht blame eff when they have not yet governed it's all got to with ANC "I love though this Italian guy suits. like many Italians This guy is ready to die but when you do everything under the name ANC.. Sorry Guys......ANC supported all the corruption....they knew ALL about it... it's all about ANC those who say otherwise are either in denial or brainless 
53:03,54:30, refusing to vote is basically same as saying no vote if not ANC. punish them and vote another party duuh """That is correct """ VOTE 🍉🐒 individuals at anc gonna come and explain themself.no blanket Who is the ANC @MIKE LOCK ? "Some people working the organisation called ANC knew  Thanks Wavy u have the facts correct @Sindisi...the Party Bra ...what they stand for etc anc officials were bribed. there are no opposition officials. individuals are of ANC 
54:33,56:41, "ANC is not individuals  "Corruption was first institutionalised inside the ANC @nkosinathi. no. south Africa we don't do that. we love courts of law. there is one law firm offering their services to Watson as this fellow speak. Barry roux welcomed Oscar's case to make that e.g EFF THINK AGAIN. Makwa thank you Zola this country is governed by ANC NOT national unity Individuals go into the ANC mostly clean but get corrupted by institutional culture of the party gangster party this time they will 
56:55,58:26, hence EFF leaders would find it hard to be corruption free because they were raised in the hotbed of corruption ANC Guys....I say again...ANC/EFF have communist agenda's......think about it ppl not voting only secures the ANC The father of of ANC was found corruption many times even Ramaphosa received money from Bosasa Mike... the 80% do NOT want capitalism. stop the arrogance lets wait for court to find her guilty.but you have a point "@Zolani Mnqika basically it's okay for anc members to steal groceries from the correctional service in fact ANC used to canvass membership on a basis that it is a ticket to state resources Chair I do not trust myself 
