starttime, endtime,message
time,10:39,message Is it done? I think it's lunchtime isukile "Guys they must come back from lunch now kfc is too nice its 206 pm.are they still at Busy Corner? probably McDonald 
11:22,19:21, African time in 45 min time its tea brake Have u The ppl will liberate themselves no one else will They are back from Busy Corner it happening in mzanzi Chairperson Zondo is tooth picking he's coming They eaWEDAsoiH 
19:40,21:56, USEZINTLUNGWINI LOMAMA YHUU "@malibongwe as simple as ur statement is "17 mins later @Marvel Ramatshela WHO SAID JACKING OFF WAS AN EASY TASK. what @solethu 😂😂😂 what now? its after lunch chats "@Chioma Jonathan yep 
22:04,24:28, Chairperson had 1hr now his intending to take 1:30hr. i missed part 1 did he bring any evidence? i mean she Mr Delivery was late.....give him a break... Who is playing idibala in the background This is why they need two years to finish the Commission..... too much KFC at lunch times "State Capture flames are now burning even those who fanned them. Nene "When chair person come back he will say ""I'm sorry i'm late"" watch the space." """Burp....""" 
24:49,26:32, "let's not forget that this commission was Estimated to cost us R230M if run for six months smallernyana skeletons we want them out hahahahahhaahah I love that chair it looks super comfy and super pricy cga ifs a joke!!!!!! not sure @Clive Sibanda they say lots of work is behind the seen he is till in toilet guys..... per case and per hour or per second 
26:46,27:52, Can the chairperson please come back data is very expensive. yes but there must be a weight on the seat. Maybe he met Msholozi on his way back guys "According to my quick maths 25 minute @Josias Ramoraswi "the chairperson cannot be late Yho...African Time "state funds are being wasted on this delayed by food of course 
28:03,29:39, "can at least shift the camera somewhere @Robert Russell nonsense being Late is not African time . if haybo chair come back chairperson SABC died off now? Is SABC being captured as well? if money cant be paid back then Assets must be seized SABC gone for KFC now SABC recaptured now hey 
29:58,31:26, Deputy CJ Zondo uzoshlekisa ngabelungu manje..he is way too late Ya the Sabc ate Zondo that’s why his chair is empty 😁😁😁😁Robert Russell @Clive Sibanda . 😂😂😂😂😂 these guys don't play with KFC guys these are Nandos guys where the chicken went to a model C school LOl the KFc though 😂😂 Already the implicated are busy selling off thier asserts and or changing thier ownership using thier cousins and what not. we won't get much from them hahahaha hahahahaha stuck in a lift 
31:36,32:57, @Marvel Ramatshela if there is evidence that anything was stolen I told you Msholozi and his crew r around Zondo was stuck in the lift Lift was also captured by Gupta 🐒🐒🐒🐒🐒🐒 whats this noise "I hope the Chairperson is not poisoned like David Mabuza the sound aaagh let me switch to eNCA SABC can you please assist us with the noise behind. 
33:08,34:47, LOL @ Lucky Mvuso Hayi Ranatshela maan nawe Thank you SABC what heppened Maria Ramos again!! We cant miss any single word from this commission. 🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎 @Xolile - lol just saying hey. anything is possible in S.A. Zuma was also poisoned in USA remember..😀 This Gama guy 
34:59,36:53, Who are those who were found guilty? Who is this Gama. @Thando Nkutha. Do you know Gama Gama and Games - same WhatsApp group.. Now she implicating Gen Siphiwe nyanda the guy who was transnet ceo @Thando Nkutha. Was he also one the Zuma? what is real as we are being made to believe so much and then they turn around and say its false we are being brainwashed while there are bigger deals being done behind the scenes @Thando Nkutha. Oh okay thank you Thando. 
38:23,40:23, which means Gama is a billionaire @Thando Nkutha. Are you on facebook? @Thando Nkutha Were you there when he gave them those contracts cronologia sistemas Americamexico en juicio actos contra la humanidad de Kingdon Europa America prision y tortura intento de asesisanato y asesinato parte de mi Familia Morning y'all "Lot of corruption happened in Eskom and Transnet. Billions were wasted and stolen there. Denel now can't pay salaries "Thando is making noise about stuff he has been reading and making them sound as evidence she is not answering the question "@Thando Nkutha then I think it would be better if you say ""allegedly""" 
40:39,44:31, Thando is right. why was Gama put on suspension? because of corruption. I do believe Thando Nkutha "if is the 1 who gave Gupta contract from transnet I can't believe that 2 little brothers came and captured our country over curry. Disgusting and sad😢😢😢 Now this lady is making more accusations.lol When supspending some it doesn't mean he is guilty he remain an alleged until proven otherwise General commander of the armed forces Sphiwe Nyanda comrades fighting dirty in public. "Eish The ""Rot is Deep""" 
44:33,48:15, Deal with it now...tea time is in 15 minutes whr there is smoke there is fire myb its a joint of weed who knows no has ever been found guilty but does that mean theres no corruption? i guess not Only politician i rememebr who got arrested was Jackie selebi @Malibongwe Mthimkhulu remember this is a commission not trial who was released on medical parole Politician get away with everythng 
48:17,49:37, "Whoever allege must prove the allegations beyond reasonable doubt @Thando Nkutha. And the indian guy of Durban I cant remember his name. including our beloved president Cyril Shabir Shaik Now I see. Barbara wanted an American company to make trains. zuma and gama said no. maybe she got commission she had to pay back. gama was hand pick by zupta to loot transnet One could make an award winning movie from state capture...the only problem will be finding the actors/actresses to play the character of everyone involved. Twitter evidence leaders must be banned.. we need evidence put forth and not hear say. Shabir Shaik. Thank you @Eugene Du Toit 
49:50,54:57, @Malibongwe Mthimkhulu Shabir Shaik @Desmond no probs my brother Ya Shaik got arrested but Zuma did not what is the name of this American company that we agreed to do trains with? Because he was the President. indeed @Chela 😂😂😂😂 "it's you now Barbara destroying people here. You mentioned Jeff Radebe this is to waste tax money coz no one will go to jail at all @noko yamebetlwa. Exactly my point. 
55:04,57:53, Only Tony Yengeni went to jail for that stupid ML bought with corruption money agree @Noko and we the working class and the poor must feed the bill.... this Barbara why she didn't speak out all this she is saying now "noko we had same inquiry of Marikana we lost more than R200 million but who went jail ?dololo "Life Esidimeni commission @noko yamebetlwa yes no one will be arrested but the citizens will vote wisely commision of inquiry add value to the decisions made by the voters "@Malibongwe indeed we will vote wisely  
57:59,1:00:45, @Desmond the NPA is captured. "Barbara and the lot well thanks for ur advise with the issue of voting "@Keryn. Look the woman called Cedani Mahlangu This TM cabaal are all at the centre of this mess and the Zupta's just continued the spree Zuma did well to chase away all these lairs as Ministers. Just listen to this woman lying like this. Sies man! @Desmond Eish! This Equiry is it for ANC president to get vote from us or what? "ANC MPs and thier executives in SOEs & Municipalities are ALLLLLLLL corrupt 
1:01:03,1:02:59, TRC and CODESA Captured is big time! think about it.. Zuma has to pay his legal fees of about 10-16 million... so have faith in the courts. She’s lying again! 🙊 So Gordhan is the one organising all this nonsense?? "KG Kagiso fill us in lol!lol! pravin is giving away states secured documents without permission.😀😀😀😀😀 no email? lomama uthini "Chair..... it's 3 o""çlock.... is this a convenient time to adjourn for tea???????" She’s lying. 
1:03:11,1:04:50, kg what is she lying about "lol Lol KG share plz "@Russel well its all abt corruption I was surprised when I see Minister Bheki Cele as deputy minister of agriculture after his corruption Who gave Gordhan is permission to share state documents to this woman?? Was she vetted?? Let’s all be reminded that Mr “imagine this in your mouth” Gigaba succeeded Barbara Hogan as Minister of Public Enterprise The will be time where Jacob Zuma will come and testify. He will deny all these allegation watch the space. and NO one will say no you liar. KG? 
1:05:03,1:06:04, kg maybe you have other information pls share with us So this is the same Barbara Horgan who’s been calling herself Kathrada Foundation🙊 Desmond Masilela the Zulu people will go on strike if Zuma come to testify "what a shame in your ruling party "@keryn thanks to u @KG Kagiso they are her OWN state documents....FFS @noko yamebetlwa. 😂😂😂😂 n our country was rooting under zuma administration 
1:06:11,1:07:54, Awelani you are too excited since Cyril became president. He’s not Musanda wa Thathe but President. Please sit down! KG @ kagiso your emotions must come down don't act like tlou wa mma "she should have come here and request judge zondo to grant order for documents to be extracted from the archives. Now one phone call""praying bring me that file"" in reply he says"" okay" Eugene why smthese ppl are all corrupt to the core thats why smt am bored to listen Why is Noko such a huge tribalist?? "KG is playing with us agreed @noko yamebetlwa lets keep out including our cultures to generalize So the Zupta's arrived late to the looting spree?😂😂😂 @Chioma 😂 
1:08:10,1:09:38, "go home Barbara WMC Cabinet wants to come back all of it. Just look at how she’s trying hard! 🙊 What if there were no Gupta email leaks..??🤔 well done Judge.😀😀😀😀😀😀😀😀 @Marvel great question "i have been waiting this woman for too long and now she's taking too long to get to the point this wonan make me wanna Dibala (dance) Zondo Commission must investigate the origins of Mvelaphanda & Shanduka then we’ll be 80% done with the real State Capture. @noko yamebetlwa. Put it this way Noko. Only his supporters will go on strike if he appear to the commission. 
1:09:54,1:12:03, They were trying to trick president Zuma😀😀😀😀 i think KG is an agent or fake account There is no hope in the ANC nor the DA @noko yamebetlwa. Thank you Noko. I believe Thando will agree with me. KG...... is too stupid to actually be stupid When is Desmond Tutu appearing?? Msholozi said he's not going down alone..... "the DA got cape town by not telling about the arms deal @KG Kagiso. hahahahahah........Shame old man 
1:12:07,1:13:22, Then its time for a clean up but who will be left to run the country? "everyone including mandela housekeepers organised meetings hahahahah lol with zuma there was no profesional when ever you meet I am a housekeeper and I am professional. what are you Ms Hogan WMC beneficiaries came here with answers already. They believe all the lies to try keep other groups from making business with Government. Just check comments. United all the way 🤣🤣🤣🤣🤣🤣 "Our State Security Agency failed to protect this country "@Eugene ""Us""  i nominate myself for president but after whoever is coming up 
