starttime, endtime,message
time,5:05,message we back Whose this now? lawyer for Mcebisi Jonas Thank you Lucky welcome Desmond Thank you Noko. lest hear what is this man saying on behalf of Jona. Jonas 
6:10,15:30, we back on "Thé State Capture Is A Hustles Within A National Capture Is A South Africa Advancement Fore Future Taxes This nonsense of postponing is started by PG This postponement annoy me. This people where told before to avail them selves. I don't understand why people keep on postponing. Hope Zondo will not grant this thing of postponement. he has granted "why they are postponing this lady shares wardrobe with pastor amorous.lol hauwu 
15:33,17:11, Please assist why his lawyer ask for postponement? i couldnt hear. Peter any relation to the paedo timothy lol that thing omotoso davis. We must find out☺☺😀 He's not in South Africa "because he is travelling ..currently overseas Thank you Sakhile and Big feet. there is power cut here😕😕😕 he is not done with training he needs to survive 
17:52,21:52, even enca is out both enca and sabc down. SABC please what is happening Zikhiphani No visual SABC please assist us lol msholozi muthi at work Why so long? So will have to wait until? 
23:42,25:23, Hayibo Mara SABC!!!! sabotage lol i just left enca for the same reason😐 this is sabotage toyi toyi retrenchment section 189 implemented corruption continues SABC is sabotaging us now No signal this side too... 
25:35,27:26, Lets go to ENCA guys same-thing even there Both ENCA and SABC blackout power failure nothing on enca either BFL this has nothing to do with sabc.. everywhere kucimile BFL Argh ENCA is being captured as well. BFL 
27:29,28:33, lol BFL "No @Unathi Notshata  BFL knows what is happening Yooooooo no power.... Eskom is sabotaging us overloading SABC take us to live to that darkness Loadsheding 🤣🤣🤣🤣🤣 
28:33,29:47, yeah no power.. leave sabc alone lol so they will blame Zuma Mmmmm...smell a huge rat here...both out Power failure "Msholozi qha lets take this commision to dubai Maybe Gov backlash... its zumas fault vele that eskom aint stable "There is a tech glitch 
29:56,34:33, it was during Zuma time. its Zuma.. finish @mr\ @Mr Q this newdawn even petrol is expensive to power up emegency generator even now eskom is running at a loss because of him.. yerr lela khehla! "Esh Solethi Matrose "I voted Zuma into office on both terms. I now understand why some people look at me and think I am crazy. If I was them "@solethu matrose Imagine if you would have to used a generate daily at home. Currently @Zwane 😁😁😁😁 
35:37,39:19, @Unathi Notshata : Nditheth' inyani mtase @Zwane i understand your situation "@Norman Zwane I felt Zuma didn't deserve my vote in 2014. I was suspicious that we're really in danger. I therefore this always happen after coups @KEITH SINDILE DINABANTU the country collapse and every propaganda zombie wakes up NCA is full swing "who is the CEO of Eskom as for me I see sabortage by some ministers. you cant work for president with full autonomy. if was making law barbara will be in jail but ke its me is it over ? Mxm!!!! this cant be acceptable 
39:23,42:58, for today ? im also lets say guilty of helping to vote zuma in. Now i have no idea who to trust anymore @Dinabantu: God's providence on you Keith for even suspecting Zuma. I suspect only those who rejected him. I got caught up in the 100% Zuluboy euphoria. So SABC can not even try to update us????? enca said its a power failure. What about SABC then? national assembly "odd imagine guptas in dubai trying to follow this 
43:12,58:16, Maybe I should have punted for an analyst's job at Jimmy Manyi's ANN7 panel (Next to Tshepo Kgadima) and earned some money whilst deluded with the Nkandla crook. .. "Guys ENCA and SABC are one thing @Unathi Notshata suxoka today we have state capture with out evidence because of made up stories And then? sound in coming back People from Benoni let's connect our izinyoka to provide power to the commission so that the Benoni born Barbara Hogan can complete her testimony. She is one of us people. Eish is Msholozi hacking the systems? lol! 
59:30,1:39:17, "LUTHULI HOUSE - ""CUT THAT FEED YOH""" Lets hope Mzwandile Mbeje will update us Zuma you are a shame to our country this is not what my father have fought for Viva Norman Good Day. The commission has adjourned for 45 minutes due to a power failure at the venue. We will be back shortly. @Thando Nkutha: I believe it is in fact electricity for EACH chicken "@Mpho Kgomo Shift the bloody enquiry to ikasi lamakasi e D-ton @ Norman you mean Daveyton no problem lets arrange chop chop @ Thando I will be happy to drive and watch with you my friend you are articulate. 
