starttime, endtime,message
time,0:45,message 😋🍕🍕 akuqalise phela lol now Ist that the former president Zuma administration has place many official and Minister's into unbearable situation. Barbra Hogan testimony placed the former president in the helm of stste capture Jacob Zuma is not the architect of state capture. the ANC is the architect. Zuma was just part of it. Julius Malema did not fight corruption. Malema himself is corrupt. Malema was fighting against Zuma because Zuma snubbed them and went with the Gupta's. not because of corruption. "the ANC lol personally i think the Guptas came with positive attributes to South Africa 
1:13,12:07, Hi all - trust people today are interested in the testimony rather their own opinions "The ANC is not on trial here but the ""ruling party is""" "With all due respect all correct wesley for Ramaphosa the ANC is more important then South Africa. He will not tell you that. but look at his moves. "vusi beg to differ But we have not heard anything that even resembles state capture! All the characters so far were government officials and politicians! lol @Thato "Thato their uniform means serious biznis 
13:38,21:38, Morning Thando We need hard evidence. The judge is trained for this. And he is not naive! Julius Malema is the biggest skelm. and I am not white. and I am not a DA member. I am South African. julius will destroy this country with his hate. Its all consuming. "@ Thando @Wesley we do understand you are white that's why you against malema let me tell you we not scared of your whiteness Tumelo dont let your mind be poisoned. let focus on the inquiry n stop talking abt Malema 
22:20,24:42, those who talk abt Malema we know they fear him "No party is clean Who is Malema? i agree with u Noko yamabetlwa 👊 lets debate aftr this "South Africa "I am amazed by some of the revelations about the somewhat trusted people of the ANC  @Louis Malema is human being like u @ Andre Malema must just work on his approach because we are stuck in the past and worse The rail deal cost SA 84 billion rand !! 
25:12,30:15, These people are scarvenger of the poor people and the looters are at the freedom of stupidity Noko oh. thanks. people make him sound like he is more than human. "@ Mopho we have to elect President that have qualifications in fact they must submit CV from next year Morning @ Sphiwe Morning and welcome. allah @Louis is just Malema is a straight talker my brother that's y most of people like him "Everyone that wasnt captured was deemed ""incompetent""?" 
30:25,35:11, "The Zuma Cabal and the Guptas yes i am sure you are right Thando but i was just wondering if the deal was worth 84 billion. Indian curry must be delicious... "Noko They speak without fear or favor (even if it is hate speech) Judgement day for the looters as they are exposed!!!!!!!!!!! Is this for entertainment purposes only or will we see some orange overalls for a change? great entertainment @Louis Eloff entertainment 
35:35,38:51, Zuma and Hogan opinions or personality is not the matter but government policies are. Here come the name I was looking for. "For now Expensive entertainment funded by the tax payer. Niel Blomkamp should take a hint and put parliament on the Hollywood map. We can make back all the money Zupta (allegedly) stole. we also need inquiry to question them why they were killing black people Malusi Gigaba .... this will be interesting. True guys & ladies 👍 Eff-ers .. court now ordered VBS to be liquidated Zoleka I saw the people who busy with that court case they r not part of community 
38:55,43:52, What’s the whole point of this inquiry? How many inquiries have we had before? And what happened after? Dune this inquiry is for taking ex President prison in Limpopo to wear orange @NKANYISO BRANDON DUBE showing us how foolish we are as SA citizens that politicians loot while we idolise """State Capture"" is self-explanatory. It is the Capture of a legitimate government by external forces! So far none of that was said here!" "@ Nkanyiso let's hang in there and be positive Noko.. what do you mean ? we hope that this inquiry will lead to charges been laid against 'corrupt' people and the law will take its course. SA is in a recession due to largely state capture and tax payers money stolen. I If you make a pact with 3 out of top 6 you will control the state from there 👍 the rest are pawns. i believe this one is different. Judge Zondo appears to be a man of utmost integrity. 
44:05,46:09, There are things that are happening behind closed doors and this commision its tying to revealed all those secrets. "I'm sure not all evidence given about zuma is lies """walk the party line"" = blind loyalty even if it's wrong 👍" Zuma must come and tell what he is and isn't responsible for. Tumelo are you still there? i want to tell you one last thing. Zuma will never appear. "zuma will get off all this stuff @ Thando I stand with you. and if you add more one person then it becomes a total coup. i agree with you @Louis Eloff 
46:20,50:42, LETS CREATE # ZUMATESTIFY #land inquiry Zuma and son will come to testify no matter what. We want to hear their side of the story Zuma will testify gathering the evidence before he rocks up is imperative the more he delays the bigger the risk he is skating on very thin ice. Correct me if I’m wrong. Seems like when we took over governance. We were not read to govern. Seems to be like a movie scrip that is constantly written by different people. "By the time they get to Court or Investigated "Exactly Lawrence Nkanyiso u r out of order bra we were ready but the mistake was done by electing criminal in power @ Ayanda hahaha 🤣🤣🤣 
