starttime, endtime,message
time,3:43,message vuvuzela blowers Volume we can’t see Bad sound Volume please "since yesterday Audio not audible "Creatures of the world "IT Technicians please fix the cables there 
3:58,5:17, SABC y’all are starting with us. volume please Sound going to drive crazy Volume we can’t see Volume we can’t see "If this is meant for the people of South Africa sound system is poor The sound is killing my eardrums yowehhhh Maybe they are still not paid 
5:18,7:51, crackle and pop .sound wise Is someone checking the youtube live chat or we just complaining to ourselves? like most things probable just us @TK I’d like to think someone is constantly monitoring YouTube live. Very bad sound 👀 Sound lapho If any of you have Twitter (I don't) maybe you could tweet @SABC and ask them to fix this sound? will do just now 
7:51,8:47, SABC ADMIN please fix AUDIO thank you.. Apologies for CAPS but you might not hear me over the static "Bad sound They forgot to turn on their mics. The camera inbuilt mic is not enough Can't see anything here i have visuals what the heck is up with the sound??? audio sux ok can some one please tell me whats going on here today??? 
8:51,9:16, "No it's something to do with the live sound because when this ends and you go back sorry i m late eNCA didn’t make such mistakes but Zondo kicked them out lol alien invasion have visuals but some sort of interference on the microphone can someone call Richard Le Roux Visuals please we are using earphones and it hurts Justice Mokgoro enquiry sound is doing well. Maybe the I.T company hear is one of the Bossasa associate company. They don't want us to hear the evidence. 
9:24,9:40, im convinced they do this on purpose so we wont want to watch and find out how broken the system is There we go @Selecta My ears😣😣😣 better Back on yaaaaaaas much better great Ahh! Yay. 
9:41,10:20, fixed! Yebo yes THANK YOU!!! thanks sounds better thnx 4 sound dennis the menace Thank you for fixing the sound. Much better there it goes again Thanks for the feedback 
10:22,10:49, haibo!!! And now who is the sound engineer today Haw mess again He says Grizzly bear was telling the truth 😃 this is plain sabotage Sound? "@SABC Digital News  @SABC Digital News the Sound my guy! 
10:54,11:48, @SABC Digital News We knew you were lurking!!! 😂😂😂😂 Dennis Bloem was Anc member to spill the beans sound on but volume low Sound engineer has been captured by Gary Watson lool @Yandisa Masina 👀 zondo not concentrating @King Vuka 😂😂😂 Sound engineer has been been bribed 
11:49,12:13, Fix the sound haybo 😩 Zondo 😆😆😆 he is tired hahaha Kynuku lol. Sound engineer has Accompanied himself like Van Tonder yday Thanks 👌🏾 nyuku sharp there the sound goes up... 
12:13,12:34, no move away from the sound button its fine thank you Done better for 10 seconds the sound engineering is Watson Moola baby!!! Nyuku 😂😂 ke cweba pretty papers Old man is suffering fatigue it been hectic week for him 
12:39,13:22, @Sicelo Roger Stop😂😂😂😂😂 tshankura Enca is broadcasting live as well Nyuku 😊 Zondo for president "@SABC Digital News  keNYUKU 😂 @Eslon Eslon Lemme go there🤸‍♀🤸‍♀🤸‍♀ sound is now better 
13:30,14:20, SABC doesnt have enough money to keep sound consistent and Thuli Madonsela for prez yoh yoh yoh yoh.. this testimony is gonna be lit.. I can feel it! We're already talking about nyuku baybee! He speaks like a preacher 😂 sound: only a button eNCA is not live😣 Nyuku ejelwe ke ANC mr bloem is a real politician..one can sense that Bloem sound like a preacher... wonder how long his energy will last 
14:23,15:24, he got that politikitiki sound from Anc to Cope Bloem is excited. Dennis is ready to spill the bins baba I like dennis He's ready this guy gonna drops bombs 😃 BLOEM MUST RELAX HE DOES NOT HAVE BOOMS 
15:28,16:35, Pitch black afro for Prez lol why is this guy shouting now??? Bloem gonna bomb the snakes sheep and snails G Mann i dont think so he too excited @ZAR he is a preacher @Mann true he's looking forward Bloem is a vuvusela blower @Mudau Rudzani he excited to spill some beans 😃 He seem over confidence this guy 
