starttime, endtime,message
time,6:06,message when they said 10am they meant 11am As we wait Is this on today? "Yeap 10am african time 🤷🏿‍♂️😁 Zondo is wasting a precious time and he will call for tea brake just now. "Ace Magashule  "someone is breathing so heavy 
7:58,12:50, kkkkkkl heavy breathing from the judge It’s Mr Zondo 😁😁 hahahaha oh ok any problem with that? "I like how this guy speaks @Modimokoane Brendeline Sorry someone's heavy breathing annoys you. @ University of Limpopo 
14:27,20:12, whose gonna go to jail after all Am i seeing Zizi Kodwa? yes kodwa is always there @samuel molope From a commission? I thought only courts have that authority. the comission can only refer the report to NPA @Ken Mojela Yep! It is him. Great spotting. bless you sweetheart is Tommy Lee Jones involved? lol @ elton John. 
20:15,28:28, At least Shaun abrahamse is no longer the head of NPA. @Paul molane That is what I've always thought. Which is why a joker like Shaun Abrahams suited Zuma like a glove. oh he's a bean counter "Hi guys "@Cool Jazz By appointing the likes of Shaun The cases were investigated abd reffered to NPA which has to decide to prosecute or not. "Yoh when did the enquiry start today "hello my bantou lawyers are not accountants as much as accountants are not lawyers 
29:05,30:36, "@Paul molane  a Caucasian being questioned by a bantu @Paul molane - brilliant observation @Fils de l'homme - so what? @Paul molane I am convinced all lawyers are the devils' advocates does this bantu lawyer lack front tooth? lol fils @fils de l'homme...what's your pluck? "this caucasian is quiet tanned 
30:40,32:10, rosetshishonga@gmeil Awe Fils...its a fish gap .. "@Fils de l'homme  "@Fils de l'homme You quite observant  hahahah @breakfast u killed me @Fils de l'homme yes he lack some of the front teeth. You on the other hand lack the whole brain. @fils. ..is jy n dokter dat jy vra? lol.. "@maddluphutu 
32:16,34:26, All we want is justice for our nation 😀 report > hate speech @ Fils..awe ma se kind..hahahha I think I must just do the same @Mbuyiselo Breakfast nice talking is the light shining on the skull on the bantou lawyers head @Fils de l'homme I think you are race baiting Fils. Guys please ignore this baiter. Just no we will be vloeking each othrer. the bantu lawyers head reflects light in the room 
34:59,38:44, "@norman Please lets just ignore him once!!! "@desmond "prod of Zim cabinet I'm not gonna respond to you. and please phuma kimi @Fils de l'homme @thando...who's accent? they had to have a Caucasian bcz we r capable of reasoning whereas the Bantu is abit slow "@desmond Thuma mina lol😂😂😂😂😂😂 
39:23,44:30, @thando...you lost me "exactly the lawyer is confused "@thando "@thando "SQL is a programming language for Database applications This is just the waste of time....Report will be referred to the NPA to open case then another investigation. so.. I'm in Australia & hear stuff is looking borderline civil war/genocide - any u guys there in S.A got a comment?? "Harry "@Harry 
44:37,47:49, FYI SQL is a structured query language not a standard query language uh huh... is censorship heavy over there...i.e like Europe? @Harry Consu You and Trump seem to hear the same thing There will never be a civil war in RSA Harry ok I'm pleased to hear things aren't bad.... usual media sensationalism "There is no civil war here The war is between Roets vs Mngxitama vs Malema "Harry Ramaphosa will likely drag the issue and forget about it after the election 
