starttime, endtime,message
time,6:23,message . its almost showtime we are waiting for the action. who testifying today Standard Bank "Not to bust anyone's bubble Waste of time I trust that banks will give solid evidence... 
6:57,10:04, "@noko No one a thing is that you are not looking at fact but evidence that tie ZUMA. How? They will just show some bank statements nje. Im telling you it wont go anywhere. No one will be arrested or charged. Its a just a show to garner votes for 2019 elections remember it part of white monopoly it have too say more wrong things Its a network of transactions that will implicate the banks themselves. There are vested interests to protect the real perpetrators of state capture which is white monopoly capital ZWANE@ DOES IT MATTER WHO GIVE THE EVIDENCE OR THE FACTS IN THE EVIDENCE. @mr moyo I agree no one will face jail Guptas are just small fish whom they want to throw under the bus. Which will not happen. This is just Generations or Uzalo with a well written script. They are all actors Mr Moyo T... kindly explain what is white monopoly capital 
10:15,13:32, 5 Minutes into the broadcast and the race card starts.... so sad... Jonathan you know very well what that is. @Jonathan Palivili WMC is whatever Bell Pottinger told them it was. "I dont know.. @makofane it does matter .wait til Duduzani come South Africa has always been about race. Don't come here and act DUMB. @Siyabonga Nxumalo now the whole world is about race. From Europe to America to SA to S. America @Jones race will always matter till the world ends if it will People dont yet realize that Guptas are being all used to cover up the real mess behind the rot in govt. 
13:34,17:19, All the big white owned firms have done much worse than what this fake commission is trying to fool us into believing Its all about race NOW ??/... so im bit confused as to how white monopoly capital affected the closing up the Gupta related accounts jonathan look at the bigger picture Closing of accounts is just a front or a ruse Yes thats what you need to explain .. you are answering in riddles ? @Jonathan white monopoly owns banks "even if that is so  The Banks are public listed companies... go and invest your black money in them and then you can own them Did you guys know that the majority of the global wealth is owned buy 5 families. 
17:42,20:25, "Please note Mr Moyo that the banks have not closed any other companies accounts  Systematized racism is half indoctrination and it is difficult to undo indoctrination. Economic endeavors knows no race. jonathan why just focus on guptas and not other white companies as well if this inquiry can quantify the money got by India family and white monopoly through state capture you real see paradigm shift from hating this India to white monopoly MR Moyo its because of NO OTHER companies robbing our SOEs and our hard earned tax moneys and did not know how to account for the stolen money look how they play victim and point fingers to zuma and his indian cronies. the commision is just a farce until it addresses the real state capture @MrMoyoT ....and I'm afraid to say you are very doff Jonathan you act naive @MrMoyoT That's true Sir. 
20:31,24:50, Robert how so You think this kangaroo commission will achieve anything More of our money down the drain Mr Moyo @MrMoyoT What is state capture? Who is captured? Who is corrupt? What do we do with the corrupt? How do we ensure jobs for everyone and free education for all youth? Who's in charge? Mr Moyo.. you call me naive... All im asking you can you explain which white monoplly capital is involved with money laundering with our banks... @MrMoyoT Specifics please and not generalities. all great questions @Monique Jones @Thando Nkutha just skip over our lonnnnngggggggg esssaaaayyyyyyysssss please 
25:16,32:36, @Thando Nkutha go to big screen so we don't see you moaning all the time. @Thando Nkutha great idea! I've blocked a nut or two time and time again "let each president give each other space to make impact in society YouTube wants us to keep is 200 characters or less so I will be going as close to the 2o0 mark as I please. .......I have insomnia so I have a lot to say....dang 177 characters! @Thando Nkutha delicious! 😁😁😱 Where's @MrMoyoT I'm still waiting for answers "you can't capture woman Monique here are some facts for you "@Monique Jones ... 
32:41,36:46, "the country’s only black-owned bank @MrMoyoT Why was VBS placed under curatorship? these are white owned and controled the financial sector contributes 22.2% to gross domestic productand controls assets worth about R4.8-trillion. meaning that R4.4trillion of that money is in white hands @MrMoyoT why and who placed it under curatorship? @MrMoyoT you are answering your own questions and not the previous ones I asked above. "VBS brought itself down "Of the R1-trillion in cash hoarded by corporates at white-owned banks "Of the R5.8-trillion private property (excludes agrarian and commercial land) value in South Africa 
36:48,40:36, @MrMoyoT 1. What is state capture? 2. Who is captured? 3. How were they captured? 4. Who is corrupt? 5. Who is in charge? 6. Who should be punished? 7. 8. 9. and 10 to follow VBS was looted from the inside "😀interesting Nigeria found out that std bank im answering your question with evidence "the problem is mind set just as well Standard Fnb Absa and Nedbank are in responsible hands or else they wouldd be looted .... No @MrMoyoT you are not answering my question! Give me 1 or 2 word answers like @Thando Nkutha wants I'm going to ask these questions in the sincerest way. @MrMoyoT are any black people in govt/private sector corrupt? Have they made millions from the state? 
40:40,43:53, 😀😀😀so the banks are law unto themselves Billions "nkutha @MrMoyoT if I see any person in government living high off the hog while any black South African lives in squatter settlements and hungry then I have a BIG problem with corruption. so all the banks did the same things so they was definetly something dodgy I agree there was collusion how can you close a account without asking the client to explain Bank legal team line of operation is of legal nature so evidence before the team directs whether to consult the affected client or not 
45:02,46:46, well done deputy chief justice @Thando Nkutha shhh we're listening so interesting to hear this nice questio from Zondo It is very interesting that banks are being exposed now. The man have the audacity to tell the judge that this is how we conduct business. @Thando Nkutha lol hey Mkhuseli......yooo Pravin Gordan has his hands in this desions "Well 
47:14,52:50, 😀😀😀😀he is fumbling now you can seen in his face that he is lying @Siyabonga Sihle he's a lie-awyer @Monique Jones 😂😂 @Thando Nkutha have you been penalized for early withdrawal? Get off the sex talk! "nkutha Explanation please m watchin m in Botswana. interestin 😀😀😀they forgot the chair works at concourt 
53:22,56:20, again well done Deputy Chief Justice🙏🙏😬 Nice chatting with y'all. @MrMoyoT still hasn't answered my inquiries. Almost 4am here and I'm going back to sleep. Hopefully. fascinating exchange between the the Judge and Standard Bank there you go!!! i love how SA conducts its business there was collusion they followed absa yoh these people may you please relax guys still more coming 
