starttime, endtime,message
time,-0:22,message "ACJ Zondo recently handed down a Con Court judgement approving private growth "hahah Nduduzo myself included Is the livestream active not yet kofi nothing happening my side although I understand that Zondo is in the room at least just been served bubbles.... Thanks 
0:09,3:28, "the pharmaceutical companies must be so p*ssed off with zondo ACJ Zondo probably on his way to the commission...had to do some great task of serving a long over justice... "concourt rules the land thando entire South Africa Thando judgement even calls for parliament to adjust their 'drug' law true @ bubbles...no more unjust profit making for the pharmaceuticals aye nduduzo "plus can the live stream start already??😐😕😥 
3:40,7:31, it has started makgoadi no more police brutality...harassment..no more unjust arrests...clear our criminal records...big up ACJ Zondo...hope the same will be done in this commission "I think this commission is going to hurt the ANC on very horrible levels true bubbles..anc must fall.. They are digging the truth we want to know to even threaten the banking institution that ANC hold the power to change laws? height of arrogance! "Weed can wait msholozi asked definition of state capture 
8:33,13:57, yes Thando Thando Nkutha mchana I did previously haha hahaha Thandp big up ACJ Zondo...big up the legal practitioner too...@beauties by nature... young & beautiful law practitioners in SA... What was the out come of the judgement on Gagga use at home today do that girl @Thando...big up yoself…. There are lot of lies from this state capture inquiry ….ban on private marijuana use been lifted... 
14:16,21:08, my apology @Jackson Mpala why would ppl lie n risk going to jail? presumptions may lead us astray at times... fariel haffagie standard bank mmm FNB legal rep doesn't look like he came prepared. Thando you want to send DM to her now 😂 Who is that? She is🔥🔥🔥🔥🔥 "I need a new tea girl 
22:49,24:34, "oooooh she 😍let's forget state capture "She has european features She probably has mixed blood which imporved her genes Dagga man Zondo @Fils de l'homme she even has racists mesmerized 😂😂 @Ndumiso Mhlaba are u still atunisa? Unisa* @Ndumiso Mhlaba I am not a racist 😂😂 
25:06,29:56, "@Fils de l'homme yes i am "@Ndumiso Mhlaba Zondo J. is the hardest working justice in the country Zondo's payment must be doubled...he just performed a huge legal justice task...& devotedly continues to do that in this inquiry... @Ndumiso Mhlaba dont change the topic @Fils de l'homme which institution did you graduate from? "UCT Eta "@Fils de l'homme that's very impressed 
31:29,34:57, @Ndumiso Mhlaba I believe that bantus need help from us so that they can improve Zondo is a fine mind suka Zupta should come and testify... "I want to help you too actually @Ndumiso Mhlaba I have friends from all ppl group. I try to help them improve themselves No view of any kind from any interest group in a state can be of reputational risk on any bank whether racist or far left as long as it is legal So zondo legalised dagga @Ndumiso Mhlaba Bantus are the least industrious ppl group on earth Mybe he smoke it at home relax after hard work 
34:58,37:00, Bantus cant build a dam This guy ke starring... Unless he will sleep during breaks. anc again the thing with weed is that Bantus have small brains n they cant handle it Legal compliance far outweigh public opinion for any business entity to conduct its operations. Bantus become violent when they take weed it will increase the crime rate Anc again... "Fils de l'homme is a race baiter 
37:08,38:35, @Fils de l'homme violent? cite the research Ngondogwane is the mastermind behind this meeting "@Ndumiso Mhlaba the townships are a place people dnt respond to fils this person is mad "Fils de l'homme is a troll Ndicela angaphendulwa uFils...akanangqondo @Christian W do u still work for that company? Fils ugula ngekhanda 🤣🤣🤣 
