starttime, endtime,message
time,16:20,message were the proceedings not going to start earlier than 10 today? Twas supposed to start at 9.30 Judge Zondo is late with 5 min Yes @Jack&Amy ISA NANAMAN TONG WALA KWENTA 🤣 "Hello to all my Bantu ya alot problem 
17:06,23:29, I like the level of intelligence in this cross examinsatin btfl ppl are speaking ya look the future Gwede Mantash Gwede Mantash😱 gwede the know what is happen He and Duarte knows everything am so crestfallen🙈 it's true 
23:46,28:49, Relax Gwede is coming to answer here lets hope Gwede is a very dangerous snake. he appears t be a very important in front of us who know nothing. so JZ clearly was not alone ANC sold out on this lets give JZ a break on this and look at the collective I hope that our lovey chair has a sober mind despite his yesterday's judgement on pot. O rite. @Tladi Maatla i think all the top 5 ANC exc. should come forward and stop acting as if they were not in this world. JZ was used cause he is illiterate and was used by the COLLECTIVE... jail the whole ANC because they protected him while they ALL looted the country. gwede is a sneaky character lol 
29:19,34:16, Gwede dont have struggle credentials joined ANC 1992 very sneaky klom skelms As per Julius Malema what is a state? ohh i like this crook JZ These two peopl r so bftl the ANC of Zuma hated South Africans so much. caucasian are so btfl He says there's no state capture guys Zuma was messing around even though mantashe try to cover and protect party from embarrassment but Zuma continues doing wat he want in the hands of ANC by defending in him 
34:34,39:12, I DONT THINK HE KNOWS HE HAS SEVEN WIVES. "Hey Cameraman He can't count to 7 guys u must know that's jacob Zuma it's a big big criminal including his son duduzane both of them they must be arrested. no ways this guy auditing banks is huge Can a Bantu lead a nation or a tribe yes @Tony Jantjies give ma succesfful country run by a bantu? "No 
39:18,40:34, He can lead both bru "Fillis @welton paulse give an example Fils of the man has a big problem with bantu zuma needsto be tried for treason !!! Rwanda @Tony Jantjies Kagame is not a bantu .... and some of his cronies in the ANC. "Kagame is a Tutsi 
40:46,42:39, "Fillis his is a decedent from bantus @welton paulse u r wrong hello some people's minds ar speedier than th processes of th commission's .state capture concept may also b used to anti-market yr political opponents on public perception without veracity. David Jacobs if you say Gwede mantashe has no credentials political if you correct what Zuma did to us as credential personnel? "No I am not wrong @welton paulse My bantu maid didnt come as she gave birth so she is on leave so its hard times please ja imc 
43:10,44:21, Hi @Thando Nkutha Inter-Ministerial Committee! I knew that and I don't even live in SA! lol Inter-Ministerial Commitee @Thando Nkutha @Mosimanegape Bapo u r sick in the mind @Thando Nkutha don't block me now "Eish then i beat you to it IMC Inter Ministerial Commitee hi @Monique Jones i saw u on twitter @Thando Nkutha I don't know @Fils de l'homme You did?!?! 
44:34,46:01, "I am still waiting for someone who will come and say Mr. Zuma instucted me to do this and that yes @Monique Jones @Fils de l'homme ok You have to remember @Kingsley Mathe that like a tree the roots dont actually connect to the leaves. But the influence is there... "@Monique Jones u r very kind @Thando Nkutha how are you this am Zuma is far from these right now @Kingsley Mathe @Thando Nkutha ando I think it means Inter-Ministerial Committee in this context @Fils de l'homme I'm black and that's all I can say for now. Shhh 
46:19,48:18, anc has been corrupt way back even in exile they were crooks were they will send soldiers inside to buy them crockets and heavy weights @Kingsley Mathe : why is that so important? viz. someone who will say Zuma said this or that to them? "i know @Monique Jones "fils your you still here fooling around @gaddafi tshazibane ANC had to be corrupt during apartheid "@Fils de l'homme @Mosimanegape Bapo venezuela is damaged @Fils de l'homme okay "@welton paulse I love bantus 
48:18,49:40, @Mosinamengape I'll gladly offer you the opportunity to kill me. Please meet me at your closest police station with the weapon of your choice. I'll come unarmed. @Fils de l'homme noo you are listening to these things of the white lies. Venezuela is the biggest economy on the planet "@Norman Zwane since the beginning of this inquiry no one have come out with concrete evidence aganst Zuma @Mosimanegape Bapo u r sick "Fils de l'homme @TheChannel but many are already saying he is guilty "@Monique Jones u r not black @Fils de l'homme man people like you really i think we dont need people like you in this kind of group. @Kingsley Mathe: My queston again. Why is that so important to you? 
49:55,51:50, "I will only vote for the CIC or Thuma Mina Baapo surely you jest ?? Venezuela?? @mosimanegapo you are brain dead @welton paulse Bantu cant survive without the caucasian oxygen thief @Frank. I blocked Fils a few weeks ago. I don’t see his things insensitive comments anymore. You should do the same. It’s useless engaging him. "@Lorna Kavanagh aii this white arrogance @Mosimanegape Bapo why do bantus in SA have such an issue with caucasians? "Fils de l'homme 
52:13,54:29, @Fils de l'homme because you have cursed us with a smallanyana white witchcraft of poverty "@welton paulse Not at all "@Norman Zwane I already gave you an answer "@Mosimanegape Bapo twenty four years that bantus are running the country @Mosimanegape Bapo I'm giving you the opportunity of a lifetime. Please accept my offer. @Fils de l'homme they give us a nice tshikipa for voting Bapo ....mmm ..it is not arrogance but intelligence @Kingsley Mathe : Those are not the terms of reference of this inquiry but whatever floats your boat "eish ja neh 
54:36,58:09, Zwane did what he did taking orders from Zuma of course "@Peet Venter you racist "@Mosimanegape Bapo u must know that the bantu is incompetent bcz unlike the other ppl group on earth "@Fils de l'homme thats where we get our power lol racist always the fall back line racist is the only line they have @Mosimanogape Bapo I'm giving you the opportunity to kill me. please meet me at your closest SAPS office. look at rest of africa - I rest my case lol hahaa bwahahaha if you cant beat them call them racist 
58:40,1:02:20, i think this platform it has nothing to do with race or colour "@Peet Venter eish this one just as I said see above EFF or ANC = Venezuela lol most of url wasnt alive during that era but url still remember the pain "@Spinderella yes brother "@Kingsley Mathe​ its okay for even Zuma to hide behind the law procedures but if you can cause amounts of smoke that he has a eye for a eye will leave the whole world blind we are here to correct the ANC that we love so much. if you still in the vir wooerd world lets start here right now. 
1:02:52,1:05:27, "I hope this commission gets to the bottom of this "@ Norma Zwane; I have read the terms of reference and they really circulate around the former president and the Gupta family @Peet Venter you must go to the europ police station liberation comes with education so thats where the starting line should be @jenelle chetty land I just saw Peniaza Lizufi talk crap on TV Zwane is a gupta stogie Zondo is a dagga smoking judge yes but education is fundamental for the future 
1:05:28,1:07:31, These Bantus have a romantic connection with racialism Zondo need to be investigated he is a confilicted man @Mosimanegape Bapo do Bantus have high IQs? @Kingsley Mathe is your view that there was no corruption? or are u looking at this saying everyone at that level is doing this? @Mosimanogape Bapo I want you to kill me as you said you want to do. Why are you backing off? "@Fils de l'homme we have the highest steven bantu biko Zondo has been captured by dagga smoke @Jackson what he needs to investigated 
1:07:44,1:09:38, @Mosimanegape Bapo do u mean the pyramid scheme or 411 scam? Peet i think he is backing off because you are old already and can die peacefully by yourself Kwaaaa @Jackson Mpala what's this guys name "@TheChannel; in short "@welton paulse yes tell this old racist "@Kingsley Mathe the reason they do it like this is to avoid social unrest if a political leader seems to be persecuted "I was always wondering why Zondo loves food too much @Welton Paulse I remain white. 
1:09:50,1:11:51, @Jackson Mpala u r a racist What happened to ANN7? @Fils de l'homme; who has given concrete evidence against Zuma since the begining of this inquiry? Mosimanegape Bapo he doesnt realiz we dont have to listen to them as we were forced to do in the apartheid years. "@Kingsley Mathe it is not about Zuma only ? when is advocate Thandi Norman SC leading evidence "@Monique Jones "@Kingsley Mathe unfortunately they will not go to Prison 
1:11:57,1:14:28, @welton paulse @Peet Venter is of higher quality than u We wuz the kangz "Is there anything special about being white? I am black and i teach all white learners and by the way they call me sir "Fils de l'homme yet he doesnt know how to die @Kingsley Mathe Even the website is missing! @Jackson Mpala is your school on holiday today? @Jackson Mpala just go vote DA like all the other cleva blacks "@Fils de l'homme "I am in class 
