starttime, endtime,message
time,1:32,message we are waiting am sure they are still looking for the ON button somewhere lol There we go... Baba Sthenjwa @SABC Digital News sound quality yenu comrades Sound is terrible?? The sound is very bad... 
1:32,5:05, "aS USUAL Sound is very bad terrible indeed FIX THE SOUND. WE WANNA HEAR THE LIES IN HD Can someone there pleeese do someting about the sound..it will make me go insane!!!!!!!!!! On eNCA the sound is better switch-over to ENCA NEVER WATCHING ENCA AGAIN LOL Sound is Terrible 
5:18,9:01, yep. enca is great Please fix the sound. the sound is terrible The sound is terreble Whats wrong with this flipin sound!! Yah ENCA is the best unlike cash strapped SABC what is wrong with the sound now? Sound Sound Sound Sound sound 
9:22,10:38, "I’m representing but not sure how long with the poor audio sounds something wrong Pls fix the sound yeses Guys switch to ENCA eNCA better!!! the sound is very bad on live streaming. NO watch from ENCA you tube channel guys. it's way better there. no ENCA live streaming 
10:39,13:10, this sound I think I'm gonna switch to eNCA I TRHINK IF POSSIBLE YOU MUST TRY SABC TV ITS MUCH BETTER "please help us  pls guys lets all switched to ENCA and leave this SABC this are the result of being cash strapped maybe they owe sounds or maybe sound is retrenched....lets go to ENCA is the best take out sound bad No sound. Let me use my DStv app "search ""State capture inquiry"" on your you tube search engen and you will see the ENCA option quickly." "the eNCA stream is clear 
13:29,16:07, "Morning All  "why is it happening today What channel on the DSTVV app? lol Ngoho zwinwe zwithu zwia bora as specially u chi toda u pfa vhungoho ha kha zwe zwa itea The sound is okay..... no sound has some noise... geez now i have to watch it through enca 😑 Wow! Courageous! 
17:09,19:57, The sound is poor! sound pls "The poor sound is killing us Sound is very poor. Please Please adjust ASAP the SOUND is poor Is it intentional to have poor sound. Tune in to SA FM to deal with the sound issue SABC sucks nxa Doesnt sound like a cure. SABC wants to know why no one wants to pay TV licenses. Quality of broadcasting is at all time low 
20:12,20:57, Incompetence at its best. "I'm viewing the footage here Ohh thank you SABC! sound please "sound better now  now the sound is okay nice if we all pay the tv licence sabc can afford better technology for our benefit shame sabc now we all have to find alternative to watch this....#Sound 
21:09,24:13, i can tell that all of us here dont pay the tv licence Do we have Vuvuzela guys checking this audio thing? We actually work and can't take our TVs with us to work Phindile. "eNCA is much better Someone is trying hard to sabotage SABC because enca are privately funded like koos botha The sound is ok now! spill the beans baba if we the so called literate can pay our tv licence .it can go a long way in assisting thr poorest of the poor 
25:12,32:16, lol I'm disappointed at this minister Why @sibu zwane "@sibu zwans not the minister the whole anc cabinet .if i may ask can u trust ace  blah blah No sound But I see everyone is reading what his saying. So whats the use of reading? Eishhh his eyes is scaring me really.. "after all is said and done 
32:18,39:26, Truth and truth alone will set you free. Also truth in this case shall set this South Africa free. Thank you @Thando Nkutha This is waste of time. what happen with Life Esidimeni @Lwandile Damane . Thats my opinion. Considering the Life Esidimini out comes. Qedani Mahlangu was re-elected at her position. And no one was arrested for the lost of our people. Ai Kanti were wasting time. Kakhulu @Mpilo Mthiyane "This time SA law will act accordingly "@Desmond Masilela  "@Desmond 
39:49,43:45, ramaphosa is very dignified .ubaba and his gangsters nearly killed the anc I fully agree with you 100% @Lwandile Damane no wonder why ace and supra are organising the mafias to fight back its because Zuma have got some dirts on him "ubaba was the best president we ever had "Inquiries are useless uBaba is an operative...a great leader. the corruption allegations just taint him. enquiry is waste of money people is paying huge money to taint ubaba image This inquiry also shows how uBaba was a REAL G😂😂😂 
44:03,48:04, The inquiry is not a court...it recommends... @Magic Thakeng but we have a right to know the truth regardless of the expenses.. @uBaba is the real OG!!! @Thando Nkutha uthini? Sound very bad! "Lol "prediction: Nene will be found to have been complicit in state capture @cecil thurston vanreenen ubaba was not and will never be the best president. They said he's all over them but yet nowhere... 
48:10,50:30, hey @Lizette van Greunen SABC cash strapped so let's bare with them lol. zuma is the worst president ever to come out of my Anc its only hitting him now that the guptas have stolen so much billions all the did is to give his kids crumps and they ram away with the real bread He was 1 of the best.. "on face value Noe we have to approach IMF... then block me Who cares about you....I dnt.. 
50:50,53:09, So thando is scared and a dictator??? "He was better than mandela spider-web :O And he's emotional??? Using appartheid tactics and has no balls??? Mourinho Out --- Agree? I dont need ur comments sir.. LOL...@Thando Nkutha Now back to business...I say under JZ there were no petrol hikes....I can barely afford.. 
53:46,56:38, Cyril enriched himself since 94... I enjoy clarity of presentation by Minister Nene the parastatals have collapsed because of him .so where must we get the money Prooof??? "We r still getting ther ask the guptas what they did at denel and the shelve company in china where they diverted the funds to dubai SOE were never meant to be profit making...their purpose to to meet the nation's needs of Employment and infrastructure without concern of profit margins... "All you guys know is the word state capture See????Phindile cant think beyond state capture.. 
