starttime, endtime,message
time,22:52,message Here wego waste of state funds 🤷🏽‍♂️ Waiting patiently 🤔i wonder wots the hold up they still trying to set up Skype for the video conference @Floyd then what needs to be done ??? 😨😨 😃 
23:41,26:57, Were they not to setup before lunch? Whats taking our chairperson so long? The last piece of steak? melktert "Peace Family is this color people time If you understand technology you will know these things happen. You can prepare as much as you like "I'm in Houston @Vukile Racaza Are you from South Africa? after all that speculation we now know what was causing the delay. 
27:17,29:06, Do white people have a conscious? why we involving the americans in our affairs 🙂😂😂😂😂😂 so help me my wifi @Millicent Shozi Are those two white guys from America? yeap @Millicent Shozi They are involved because white supremacy is global. @I Am Freedmen Can you explain to me what State Capture is? 😀 or Alaska @Thando Nkutha 
29:17,31:16, yeap they are trying to stop this so black americans wont follow the steps its the capture of the state land im guessing slowly closing in on Zuma and the Guptas 🗿 @iAmBlackHouston can you define it @iAmBlackHouston it is CONSCIENCE 😀 @I Am Freedmen What do you mean? 🤔 can someone ask the judge to stop breathing so loudly or turn his mic off ? 
31:21,32:20, Thinking @Vukile Racaza Why so rude? You might be from Zambia or Ghana? @iAmBlackHouston do you know state capture Well-observed @Thando @iAmBlackHouston I'm from Texas and I'm interested in what's going on over there where are these people from "@I Am Freedmen No IamBlackHouston: I see you are very intelligent hence I am letting you figure it out oh ok 
32:45,33:21, making sa a big fat joke infront of the whole world Wow DC in the house 😂😂 what did you expect young people will say.. some dont even know whats happening 😂 "@Vukile Racaza I don't need the sarcasm. I'm too old for that. I'll speak with adults in the future that's evidence of our education system right there Are there any adults in here? I thought we told Trump and the USA to keep their distance. @Gareth Morgan when you have so much brains you need to breath heavily to prevent overheating. 
33:22,34:11, "@IamBlackHuston @iAmBlackHouston I am white and am CONSCIOUS and have a CONSCIENCE. Thanks. Its the state capturing the land then redistribute to portion of the land fairly so this means no african brothers are expect in this? to the peopel @Vukile Racaza You are blocked 😀 😀 😀 @Madluphuthu people @iAmBlackHouston : I care a lot. 
34:32,36:22, Dr koufman is an educated racist @Ramushasha Naphtal Takalani its the chairperson "freedman @madluphuthu🤣😂😂🤣🤣🤣😂🤣😂uyabheda yaz @iAmBlackHouston if you say so 😀 😀 😀 bantus r the most racist in the world the white man its on the line from where nkukhu pls dont generise he show prejudiced and discrimination in his field of work and business 
36:42,38:23, Eish its the colour conversation again. "less typing more listening Freedmen AND HE WORK FOR THE U.S.A that should be enough how so? frénésie Some people here are not interested in talking about the subject at hand i.e State Capture. I am hear only for that not for racist statements "@Ewald Kruger Your people are the ones who oppress my people throughout the world "freedom Lol "You right i don't 
38:31,40:01, @Thando Nkutha Do you believe Black people can be racist? "Ndiyavuma What is state capture? "orefile msholozi hai you rock got the whole world rocking When they capture all the information about the country. Cute man 😀 just arrest zuma to unlock much locked "Troll alert "@Orefile Macheoane ""State capture is a type of systemic political corruption in which private interests significantly influence a state's decision-making processes to their own advantage.""" 
40:12,41:34, the word state capture is explanatory atleast to a minimum extent i fill sorry to those who are involved in this state capture thing @Ewald Kruger You want to turn my own people against me? You are a true devil. SHAPE OF FORMINATION IS KEY WORD @iAmBlackHouston I am taking you to all universities in South africa to educate our kids "lyngelo Guys who are those people on the TV? ITS THE FORMATION SHAPE IS THE ISSUE FOR THEM "oh i found a block button 
42:07,43:37, mybe the the guys can deligate FBI to find ajay for us. "in his interview on ANN7 on 13 November 2017 "@Orefile Macheoane I'm in the United States Vlerkies feel entitled 😂😂 @Keryn Those white guys are from the United States and they represent US Corporate interests in South Africa @Keryn They are here to justify why the resources in South Africa are given to foreign corporations. @iAmBlackHouston thank you so much ! I want a copy of that report for my thesis on State Capture @Keryn International experts in the subject of State Capture 
43:55,44:34, 😁 Ok @iAmBlackHouston I hear you. We are all slick in a way. But we need to rise from our ashes. We cant still be hosting pity parties in 2018. Solutions > problems yep. shaped crazy @Vukile Racaza thank you boss "i just feel so uncomfortable listening to these guys how much are this guys paid though "@Orefile Macheoane The first solution 
44:56,46:09, arghh somebody tell this guy he is here to answer question. why is he making a speech adjective adjective: shaped having a defined external form or outline. "@Ramushasha Naphtal Takalani no need to be paid "u guys r focusing on side issues like race of the speakers and the other witnesses as well are not getting money "@Madluphuthu He's making a speech because he's really telling the South Africans that ""we don't consider State Capture to be corruption""" "@Madluphuthu See iAmBlackHouston = Jimmy Manyi 😀 😀 😀 We see you Boss... is a state small 
46:10,47:33, Well political affiliations are a topic for another day. Lets see how we put ourself at the mercy of the Guptas @Madluphuthu She shouldn't let him talk so much. white people talk out of two sides of the mouth. "iamblack @Orefile Macheoane Who are the Guptas? Are they Indian? I wish I could block everyone here who is here to talk about racism. @iAmBlackHouston 😁😁😁 What do you know about them? Fill me in.. @Fils de l'homme I'm not bewitched. I'm from America and I know all about these white people and I'm here to tell you he is a liar sent in by the companies to steal from you. @iAmBlackHouston attention seeker 
47:50,49:06, "Corruption is everywhere @Vukile Racaza Why don't you ignore me? why does everything have to be about colour can't it be appreciated that these are scholars who've done thorough study on state capture and understand it better than most of us @Orefile Macheoane I don't know what the Gupta is or who the Guptas are? Who are the Guptas? corruption is there only back bone "@imblackhouston I thought you had blocked me. Ewe makathule the corruption of wanting there land back from being stolen ??? 
49:07,50:25, "@Fils de l'homme If you were taking care of yourselves Lets listen to our experts and find out. They about to unpack it for us. hypocrites "@I Am Freedmen No @I Am Freedmen That's why these white americans are there because they are representing American Corporations stealing from you. "@imblackhouston go away so far havent see one sigle impressive expert point "@iAmBlackHouston But the professors are giving you a definition Democratic societies engage in corruption too not just communist countries. all society structures can engage in corruption. democracy has monopolies influencing the government like state capture. 
50:34,52:32, "@Orefile Macheoane I already Googled it "@Orefile Macheoane Remember You are a star. (*) "@Fils de l'homme I'm a Black man "Great stuff @imblackhouston go get a job @iAmBlackHouston i get it but its dont make sense to me can you explain shouldnt we have head the definition at very begining of these hearings "@I Am Freedmen Let me give you a different way to explain it 
52:39,54:15, @Fils de l'homme you must be stupid you cant express yourself but go straight to personal attacks "@i am freedman "@I Am Freedmen So Amazing how we now call experts from countries that suck our continent's resources dry to come n tell us what state capture means. shouldn't we be asking them when they intend stopping to exploit us? Ohh realy South Africa. "@Madluphuthu They will never stop exploiting Black people @iAmBlackHouston but is the state is the black wife ? "@imblackhouston must it always end with the crying of black people it was black people that helped withe sate capture 
54:24,56:29, "@I Am Freedmen It doesn't matter if she's Black or white No wonder their president feels we need his 2 cents opinion. "@Steemit OneAzania Exactly somebody must go to jail @Oscar Mwendaz They won't go to jail if they're white @iAmBlackHouston th current prersident not the previous one How much did we pay them for this presentation? 100million dollars @iAmBlackHouston So these american corporation want the land?? 
