starttime, endtime,message
time,-8:58,message Are expecting Zondo to make him comfortable in a way that might make him tell the truth just like Hlaudi LOL LOL LOL "I meant ""Are we expecting""" He is the first person to have guts to ask questions to the commission LOL @ I Am Free me too "Morning guys Mxm family of zuma "Madonsela reckon he lied re opportunity to respond to her report. They offered to send investigator to Dubai morning all 
-6:32,-4:34, No they trying to get Zondo hand out of cookie jar Morning everyone @Yin Yang Monring I am free... please dont talk about race issues on this platform.. this is about the state capture commission. beside we are supposed to be building a better unified South africa... Love you guys Morning Family! are we live maybe is my internet playing games with me morning guys...business as usual no problem my dear... agree Tracey "Morning everyone 
-4:32,-3:27, anyone on here that is part of #I'M STAYING GROUP @Johnza gp no we still waiting @Buyani Mhlongo 👊 "@I Am Free Morning. Sorry for the delay Judge Zondo is drinking Tea @I am Free lol lol lol chief we from S.A. Kwa Zulu Durban Newlands West lol. Sigrand about that Rugby player ... Morning everyone see on the news Prof Thuli Madonsela says duduzane is lying....... #ImStaying I think the Eben Etzebeth story has been taken too far. Listen to the videos regarding the group that attacked his group about saying that they must stab him 
-3:26,-2:32, where is Duduzane @Noluthando Khumalo I thank you Morning guys Let us just stop attacking one another and stand together at least against corruption! Thuli must refute Duduzane under Oath... I'm just here for Duduzane Zuma's English... morning jaja Raymond is late again 
-2:12,-1:01, "Mr. Zuma junior is very clever... all he did yesterday was further his fathers conspiracy theory narrative i.e. ""there is a plot to discredit me""" morning guys...let the game begin Mr Zondo must be extremely EXHAUSTED #I'M STAYING .... anyone from that group... let us stand together people because we have and still are suffering because of greed... the perpetrators of this need to be arrested Dudu Myeni got no money to attend the court case Shem what happened to all Bossa money tony is my men @Reinette Raubenheimer yEAH i READ ARTICLE. hE WAS GIVEN ALL OPPORTUNITY TO RESPOND he plays victim.... take attention off the actual case Duduzane is innocent 
-0:59,0:17, Hi again DJP Zondo treated another Zuma with kid gloves. today we need another advocate "Let hope Mr Mokeona his fit today watching it on tv she says his lying "That story of Eban Estabeth is not true It 10:10 now.... There we go! Muzi Dube... its not fair at all play with 
0:21,1:56, Duduzane is as innocent as my last straw of hair nazo Did you notice his files were prefixed with LL - Liar Liar yes there we go Morning. Advocate Louw is first up this morning. A no nonsense seasoned man. Should be interesting!! dudu myeni the legend I hope Zondo saw Madonsela's comments @Yin Yang 😘 I guess he saw it 
2:02,5:07, "They should jail the corrupt people Msholozi💪🏾 Why was Duduzane reading off his tablet during testimony yesterday? It looked as if someone was sending him messages His council His tablet looked as if it was behind the folders and he was scrolling on something which looked like a tablet "Lols... you guys are mad Lorraine Naido she is lying and she is acting (Dudu Myeni) 😂😂😂😆😆 
5:23,8:25, I am not mad-JUST VERY OBSERVANT where ndunduza zuma today He is 35 and now called a poor child heheheh Duduzane is a smooth operator "Haaai maan miyeni just became broke overnight!!😪🤣😭 ​Duduzane IS A THIEF hi everyone 👋 i don't get it why you being so sure of what you saying please don't embarrass your self@sthakathi khumalo @I Am Free LOL LOL LOL LOL 
8:44,9:20, Thank you Celuthando when you in bed with guptas you can't be honest Smooth Criminal which I doubt Zondo is ready for Go and look at the recording agree @raven penny Zondo dealing we media propaganda You taught him johnny boy You taught him johnny boy "Lols Celuthando 
9:21,10:26, Zuma has totally destroyed the future of this boy😪 that true@iam free you see media propaganda Was News24 one of those? Zuma's ar going to jail No Zuma did not that’s your opinion false reporting by the media Uyadelela ngoku Zuma rhaaaaaa "don't doubt Zondo 
10:52,11:50, "But you are not listen to Zondo thank you Zondo for setting the record straight "@Rock882 Josh well obviously the Guptas did nothing wrong THULI MADONSELA - OUR HERO! The media is not free to do as they please. Capture must be investigated there as well. MEDIA PROPAGANDA AGAINST ZUMA EXPOSED Thuli Madonsela is no Hero suka!! who is the author of the document in the business day? time is now to deal with journalists like these who continue to tarnish the image of the profession. @Rock882 Josh ...not her...you 
11:52,12:59, Thuli madonsela a media attention monger "@Enzo2000 YES The Zuma surname is a damage to the ear I don't do stupidity to correct you yes I was watching yesterday that why we don't get justice it bcz of ppl like you@sthakathi khumalo Why did they move all historical news articles to the dark web? Sthakathi yes people will overlook what Zondo has just said what's the opposite of White Monopoly Capital? some journalists are also captured "Jonas must be charged fr Wasteful expenditure and negligence... how can he leave his VIP Protection Unit and go with a stranger 
13:07,13:53, "If I had a choice of who to believe - Thuli Madonsela or Duduzane Zuma Yes media CHECK YOUR FACTS AND BE FAIR @Greg Rowles is it (black) Economic Vandalism? journalists need to look at themselves in their ethics mirror "Madonsela says Duduzane Zuma lied to the commission when he testified that she had failed to give him the opportunity to respond to damaging state capture claims against him Business Day reported. Madonsela reportedly said that investigators had even offered to travel to Dubai to speak to him All SA Press Association news articles published between 1998 and 2015 have been removed from the internet to hide history. @Greg Rowles it is called Black privilege.. @Masoul Mt THEY DONT LISTEN! 
13:57,15:22, Only a fool judges a matter he has not heard in its entirety. "@Ryan SA Ah "Lols.. you don’t have to insult "Guptas @GT Well said Thuli has never and will never seek attention from the media. people hate her because of the stealing work she did during her time as PP. an auditor without a legal degree..... all over the world government's makes use of media houses @Singi Mathebula You talk rubbish 
15:25,16:44, auditors have accounantant degrees Is there an off button for Zondo? @MCEBISI MBUSI Why listen to a racist fascist? @Ariel Cohen Law Degree "Journalists have always been captured Hi everyone. What happened? What's Zondo talking about? @Singi Mathebula It's Sterling Work not Stealing Work! that plea wil fall on deaf ears @nkululeko njapha are you telling me a CA can't be an auditor? 
16:56,17:58, Today we have lot of howling "we want to hear Duduzane There is nothing to celebrate about Madonsela!! She had an agenda Rubbish is what you just said. i am not your twin as a result i will never think like you do@Jane.Blamire "Heat the English of this young man Do twins think alike This guy wants to go back now @Sthakathi Khumalo Yes - Modonsela's agenda was told hold criminals to account. What is this guy tring to do now. 
17:59,18:50, We want to hear Duduzani "@Sthakathi I am not saying English is a measure before y’all pounce on me Twin??? LOL Come on guys this guys is trying to go back "Thinking and english  "Getting rich by stealing tax payers money sure@philip Du Plessis Guys get popcorns and listen to Zondo comm 
18:59,19:43, now this lawyers wil start spinning Mr Zuma is innocent. @Raven Penny Yes "lol is going to be like his dad ""i do not know or i can not remember""" Duduzane looks very nervous.. I would like to know what powers did he have to call Ministers to meetings.. Guptas house?????? The truth shall set us all free Whose lawyer is this one? LL = Lekker Lieg! 
19:46,21:14, Is he now evidence leader? "Similar to daddy "spinning or not Prefixed with LL..... = Liar Liar You have to be a complete idiot to think Duduzane is innocent. His lawyers said yesterday they thought it would be one day only and today they have other commitments. That’s y the asked Dudu questions yesterday already.. WMC used Julius to deal with Zuma... now WMC is using Pauli to deal with EFF... Where is celumusa?? The same people who were saying the young man reads from a tablet🤷🏽‍♂️ @Heather Cotton so he has 2 of them yesterday? 
