starttime, endtime,message
time,7:46,message hi everyone Hi How are you sukile ndaba slayza tsotsi Fine self gud Who is on stand now.just arrive now? Ms Elder Mtshiza 
8:15,15:11, Elda mtshiza Lots of fancy plans...but was it all done? ok worked for which company I doubt... Other wise she wouldn't be here today Hi all!!! Who is this granny????? Has Deputy Chief Justice zondo Retired judge A retired Judge Of course they did Well done my springboks 
16:02,20:29, This lawyer is very well spoken "Who is ELDA?????""??????" Something to do with agriculture orang mana bro Estina again are we through with Duduzane now ? yes Ewe So i see this😂😁😀😁😂 mama is here to implicate Mr Thabethe more 
20:31,25:51, k thanx who is this lady? is this elder mtshiza? I guess her hands are clean @Tommy Mty Never!!!!!!! 😂😂😂 "We SHOULD ALSO ESTABLISH COMMISSION OF ENQUIRY INTO LOTTO 😁😁😁 😊😀😁 @Mbuso Ndlovu hahahahahahahaha 
26:32,36:53, 😂😂😂😂 Mbuso I'm with you there Çan somebody bring back Hlaudi! This is boring A vet from india Gupta every where @sakhele kwatshana ... ANC everywhere as well 100000 rupees an hr Yey banintsi ababantu ngubani ngoku lona🤔? Hlaudi was the best character in this enquiry. Zondo was laughing all day @Mbuso Ndlovu I agree! Hlaudi has me hooked 
37:00,46:31, *had What will happen if someone can implicate ZONDO????😂😁😀 "If only Steve Komphela has been involved in shady activities @Mbuzo Haymond😂😂😂😂😂😂😂😂😂😂😂😂😂 @Mbuzo you have made my day with that remark happy "@THABO NTLALETSA If someone can implicate Zondo engliiiish ududuzani useqedile yn 
47:21,1:09:01, When Zondo gets implicated? #Shutdown the cowntri @Heather Cotton agreed 👌🏽 Agree Heather....he was handled with kid gloves! I wouldn't take adv Mokoena even if I was implicated for the death of Jesus. The beautiful one is about to start why did dudu suggest to leave jonas security behind after the meeting was was jonas taken back to the hotel instead of being given a lift to the hotel or cowtrain.surprising We have state capture enquiries people get found guilty but no goes to prison wasted money that country dont have State Capture ok 
1:10:14,1:14:42, The Hotel would have been at the gupta compund who is this grumpy looking old man Mogamat Salie Thebus ​ think the process will get to a point when the Commission will hand over the evidence it gathers to the NPA. The NPA will then determine matters to prosecute. have lot of water pls we gona gt busy not so long What type of water was duduzane drinking. appeared black or grey. So who exactly is the old white man? Please educate me Duduzani Zuma in my prayers. This man looks sacred "@DJ Ageist? he is a peron who arrived 15 minutes before his appointed time 
1:16:00,1:17:14, I'm craving that glass of water in this weather. That water looks expensive lol But why does he looks like he is fed-up already? who iz this old man Why does he need N interpretor Can he not speck English he is already gatvol for the delay Siyanda njabs eish! "what's happening yes 
1:17:37,1:18:49, "@TammyWalls think they are doing it for deaf people Why is he alone? Oh ok "kinda funny....knowing your face on tele and you trying not to look guilty his cheking th time Yes I am deaf but I can talk I wear hearing aids why was the first witness today not referred to as a Young Man? But this one is OLD. Your prejudice is showing he is the mayor of vrede is like he will finish the water before starting 
1:18:55,1:19:59, He looks very unfriendly And angry he is so scared lol yea @TammyWalla he looks rude i hope dcj and team r not been held hostage they are delaying him he want to talk We need Van der Merwe (Gupta lawyer) on that stand ! guys what stopped now Shame we judging him and he hasn't even spoken yet 
1:20:02,1:21:30, I wouldn’t want to mess with him You guys are so impatient... 😂😂🤣 this guys looks angry for What??? his dik bek they wait for interpreter he luks scared j I see no anger.He's just waiting he looks like one of those aggressive rich men who smoke cigars njee 
1:21:33,1:22:40, the dude is so so flippin nervous and I feel for him Who is this corruptionist??????😀😁😂 he is scared "Why interpreter if i was this man i could take cigar rite there for attention i hate waitn afrikaans nou gaan ons begin who is this witness the woman!!! 
1:23:13,1:24:19, This advocate is so gorgeous Advocate Bae 😍😍😍 @Tammy Walls You want her??? No indeed is beautiful I am a woman tis adv was doing her hair hence the delay @Tammy Walls She will eat you alive No joa ornaar 
1:24:26,1:25:47, Ha ha advocate can i have your numbers🔥🔥🔥🔥🔥🔥🔥 Why do they call him chair not Justice This advocate is dating Duduane I aspire to be this woman! Duduzane looks like advocate Cleopatra No Mbuso lol Duduzani is married No she’s not @ Mbuso Ndlovu 
1:26:38,1:30:08, Duduzani Zuma is handsome. @Tammy Walls Married until Jub Jub shows up Men have of late been in the firing line for their abusive attitudes towards women. The unsolicited sexist remarks towards this evidence leader tells a story about those who are making it. Sis! Wow very abrupt Why is he so loud? sounds fine Theron looks like a TSOTSI @Itumeleng Motse are you related to Itumeleng khune????? Morse tsotsi 
1:30:15,1:31:43, This advocate is absolutely beautiful Beauty and the beast. @Mbuso Ndlovu My surname is MOTSE agree Jane What's that advocate's name?? never trust a 👴 Adv Molefe Advocate's name?? Adv Molefe from Unit 9 in Mafikeng 
1:31:45,1:34:15, Thank you so much Yolo Surname Njabz "I think she is a heart-breaker when you lie you get confused Siyanda njabs pleasure. She is off the market though. LOL. THIS ADVOCATE MUST BE ARRESTED I'm a girl! "Mostly in their Mercedes Benz - ja nee *doesn't sound particularly impressed 
1:34:16,1:35:38, "Yolo My bad Njabs. Hahaha most in mercedes benz's hahahahaahahaha Why do pretty girls like advocate here have mean brothers? I hope she is an exception - hope she has a nice brother and father who supports Orlando Pirates. you can like her even if you're a girl Ok Mabuso...Why imagine marrying an adv. Everytime she talks you think she is ineterrogating you "Yolo Anyone know her name? 
1:35:49,1:37:54, @Jane .Blamire She stole many people's hearts I like this madala. He is respectful. Yolo I hope you got my point The Adv🤦🤦🤦🤦🤦 @willie maphosa ... yeey . think twice before marrying an Adv. hebanaa forget to remembers zumanism THIS MADALA WILL FORGET WHAT HE SAID TOMORROW 😂😁😀😀😁😂 "Yes babe "Yeah 
1:39:00,1:42:12, advocate is beautiful tell me about it....😍 @Pandy london Her beauty is a strategy to confuse a witness especially of the male species refiloe Molefe is her name! Got it! I'm so happy If beauty and the braind was a person........ "lol Who is this madala? Is he from the world of ghosts of corruption? Shouldn't he be resting instead of playing corruption? "@siyanda njabs Continue have some respect for her 
1:42:16,1:45:14, wait !!! this witness is old .... shame his trying . ntwana try your best to remember. We need to know the truth by all means . @Lex Luger I cannot answer your question. But I have been booked already and have been camped at the gated for a while now. hehehehehe @Pastor J Mfundisi wam. I am praying the madala is on the side of right. Otherwise I will hang myself. Advocate😍😍😍 @Ewald Kruger I withdraw😂😂 translation please "@Norma Zwane skep?? j. Zuma is a madala so never trust a madala this grandpa's are criminals 
1:45:25,1:47:12, When it rains pap.. you must do what ? Bonk ? @Lex Luger You must skep balahile @Lex Luger My Precious friend. He seems to be on the right side thank fully. These ones are a few and very far inbetween skep = dish up When it rains pap... you must Pap ? @siyanda njabs Dnot stop talking about the advocate... 👍 @Norma Zwane why shouldn't I stop lol? You can also talk about her. When its rain PAP you must bring Meat😀😁😂😂😁😀 
1:47:13,1:48:42, "Refilwe Molefe ❤ lalela!!! Dear old man of the earth u must skep the pot is coming to dish nw @siyanda njabs I sounds so beautiful when you do it. I'm not gifted that way. lol @Norman Zwane lol thank you so much! yhoo ACE 
1:48:52,1:50:28, lol... Wooooow!!!!!!! big aceeeeeee aceeeee aceeeeeee Ace Magashule surely said now here we messed up the lady is gorgeous "This witness is everything @Ewald Kruger Dear old man of the earth😁😁😁😁😁😁😁😁😁😁😁 @Jane .Blamire killed me "when it rains pap get your inkomazi and sit outside so calm in her questioning.i like that. 
