starttime, endtime,message
time,6:26,message As we wait "With cost of this inquiry Zuma plot of load shedding stopping you soon "This is just a talk shop ON TIME !!! WOW !!! @Derrick saperstein ​ With cost of this inquiry. Same but I am hping that the state will recover more than the cost. No talk shop. It casts sunlight on darkness where there was none. It prods our consciences to make better choices in future. It will in time lead to prosecutions. what new 
6:43,18:01, I think this commission should run permanently to name and shame all the corrupt cadres. There are so many people who have not come forward yet. I feel like this is dragging!!! when is state capture gonna finish? "@I am free @Zama Kubheka State capture and corruption will never stop as long as the ANC is on power. They are corrupt to the core. I don't think Ramaphosa's strategy of telling everyone what they want to hear is fooling anyone anymore. @I Am Free Those were pledges and they often don't materialise. You must ask how much of those investments went into Ramaphosa's pocket... but a few NPOs are NGOs Totally agree with you.. @ I am free 
19:04,21:32, Derek I hope that those pledges are incumbent on action on corruption @I Am Free ....you are still not free...hehehe "@I Am Free You may be right but I still think it's a semantics game he was playing. He said ""secured"" but that could still mean just a pledge." i decline. the fall of america private public property @Lady Bird You and me both. i decline Remember when Alexander riots were staged only for free ANC campaign program in the cry for help. Ramaphosa hasn't done any of the promises he promised those people. Very unfair. 
21:49,28:22, Is there not a clause in law where NO GOV OFFICIAL OR THEIR FAMILY should NOT benefit from gov. financially ? I mean come on There should be no way Gov .officials and their families that benefit from gov. grants and contracts LOL Wow BA languages on finance position @Thami Ngwenya Is that significant if she had 15yrs experience in the general area of governance? "Depends Did you know that all senior mangers of SOE must be cleared by the SSA...case in point Eskom has 121 such mangers..100 of them have revused to be vetted. The SOE have discretion to over look red flags what he did needs lifetime sentencing...he deserve it Robert Russell that is highly concerning 
28:38,34:19, hauweng!! "@Thami Ngwenya I see your point. I would suggest she understood the situation quite well but deliberately cooked the books Sounds like people with no qualifications Rob ... Yes FREE I am from RSA ...living in Israel The lady is just beating about the bush and playing safe. What can she do? "Iam not Jewish  lol your name LOL NP 
34:31,42:32, she is really taking the long route with yes or no questions. Baningi abafundile but ignored ngoba bangama clever blacks I Am Free funny Icelanders dont think they are going extinct and there are only a few hundred thousand of them in the world lol But Jacob is a politician not an official "It's either the memory is still buffering or she's playing safe Last time SAA was run with a profit a Coloured Cheryl Carolus was in charge ...Last time gov ran a solvent budget with a surplus a Coloured was in charge Trevor Manual ....I see a trend here . Yes FREEE they are . LOL I can read Icelandic .Scary difficult that THAMI . Jacob is just a common criminal ... why support New age and left out community newspaper in the province to die.... 
43:16,45:17, newspapers under Free State Media Cooperative have all died due to this New Age paper who is this lady? Yes @ I Am Free Nobody ever remembers which Gupta brother was present. Why? But they let them call the shots Finance MEC Elzabee Rockman shot @Corlé Jansen ....former Free State Finance MEC El-za-bee Rockman. They confused people for a reason @Pheladi Lamola. They never introduced themselves to anyone... so I heard. Have any of the Guptas ever appeared before this commission ? 
46:01,48:12, @I Am Free ....ppl in glass houses should not throw stones teeheee FREE . Is that so Sindiswa? Yhoo. They were very sly foxes those Guptas That’s body shaming @I Am Free "It's not shaming  this woman is not guilty.. Stoned people in glass houses....... @Pitso Mosetlhe That is so disgusting Pitso. The Free State lost historical prints? More than 20 Community newspapers all suffered a blow due to the New Age monopoly in the Free State 
48:26,50:26, remember the quote.....as dit pap reen moet jy skep...baie @I Am Free ....but you could be totally unfit... Mine included whats the topic today? "Iam still waiting for arrests from this very expensive commission  "@Lady Bird She is here for evidence I think Norman I am very smart . "lady bird there is never gonna be arrest "@Pitso Mosetlhe Hardy bra 
50:41,52:48, So this is a sham .Thats what I figured watching from Shanghai "@Lady Bird In that case the commission must conclude before proper prosecutions will start Lol hahah WONDERS has ended this is not a court of law its leading up to court cases and prosecutions new age junk mail.... can't call it a newspaper... rubbish..... hopefully 
52:58,58:37, "@JoziTube Maybe Jub-Jub should anchor it and be sold to Channel 157 ""Moja Love""...just asking?" @Pitso Mosetlhe was there no daily in the Free State as she claims? The SON newspaper is the worst..... fullstop @I Am Free how cool is it that the united states has frozen gupta assets and businesses in america "yes @ kapn Krunch it would be interesting to learn about OPPENHEIMERS as well as to how they also conduct business and negotiations "frebriry @Robert Russell We stocked this New Age rubbish and for 2 years we never sold 1 copy. I dont even recall our local fish & chips wrapping chips with it it was so bad. @GH MG Some of us say Febluwali.. each to his own 
59:02,1:00:33, david icke believes the royal family are flesh eating reptiles i mean do me a favour But this could've been discussed with everyone at the same time. Why did they need to meet HER 1st before the Exco? "how about they come to the commission "Seize all assets from corrupt officials and build houses for those who need it or "Don’t open other things @Jozi lol..@Norman Zwane Where is the big crocodile Ace Magashule? utter nonsense @Makhosi is that wrong? would you look elsewhere if u r satisfied where u r? 
1:00:50,1:03:40, the nephalim in the bible were giants not reptiles The New Age was pre negotiated with the FS by Ace south africa is wasting time on this... @GH MG Born a Zulu with a lack of 'r' in my alphabet...quite a few clicks though yes and nephalim are the result of cross breeding between angels and women We are in Africa read the book bud David Icke tells half truths and imaginary stories "@ Jozi Tube it is wrong coz they have friendships with the premier 
1:04:33,1:06:02, So you decided to be the capital for Guptas. We all know how Guptas never used their own money to pay for anything Nonsense but Piet Rampedi did in Limpompo Guptas were introduced to zuma by Mbeki who inherited them from Mandela.... why is the focus only on zuma Are these guys paid by the hour >>>? @Kapn Krunch The bible stories are about as credible as flesh eating reptiles. LOL Derek thats your opinion "This will be the fall of ANC "Nonsense. Why would the FS want an English Newspaper so desperately when the majority of the people in FS was Black and then Afrikaaners 
1:06:23,1:07:56, "@Derek Main​ how did we come to bible stories? oh just clicked David Icke theories.....That dude will.make people nuts The whatabouting is not helping now @JoziTube. Money left our purse during the Zuma time. And we want our money back No Zondo commission come ak 47 squad You will NOT get your money back if you keep the ANC in power Sindiswa Moolman @JoziTube nothing wrong to be introduced problem is their actions afterwards looking short comings working together with President Zuma and use his Son gain access to the government morning all "if they want newspapers why ddint they use their pocket money to buy them In Fact you will keep losing your money 
1:08:34,1:09:59, I’m banking my money on Bathohi @Lady Bird. so @Sindiswa money did not leave during other peoples terms or it is not exposed? just asking because i dont believe corruption came with Zuma but the focus is on 1 Man Who is that Sindiswa ? @Lady Bird The problem we have in SA is the ANC. Get them out of power and maybe we stand a chance of recovering (if it's not too late). It NEED to be soon Derek .SOON @Derek Main u have a point. ANC is the problem @JoziTube I may introduce to my wife but I don’t make that for you to flirt with my wife why do we need government? Vaibhav Vijay Raut is a greedy dog. 
1:10:06,1:14:02, Yes The EFF is as big a threat as the ANC @I Am Free EFF are small fry - they just make a lot of noise. Vaibhav Vijay Raut is a greedy dog.odjd where is the goverment i cant see him We want our money back so that government can do its job exactly @ sindiswa Moolman Have you noticed how quite the EFF have become after the VBS revelations of leadership theft of funds @Derek Main @Robert Russell Yes - everybody knew it except the EFF supporters. They still can't see how their leadership is just as corrupt as the ANC. "THANDO  The NDPP @Lady Bird 
1:14:26,1:18:00, OK Sindiswa .I will check them out respect guptas they feed allso white 😁😁😁😁 "The state has always says it will fight crime "@ Thando Nkutha there was no move for the past 9 years from police It seems Biggest Criminals are State Officials so they must focus on State Criminals @I Am Free The EFF's recent popularity tells me that their message resonates with many fellow SAfns and I think these issues need to be debated and addressed. @I Am Free Ignoring these issues will just allow more hyenas to take advantage. "Uyaphendula uThixo ngoku ubuxoki buyavela kwaye izinto azifihlakali kude kuphele. Bebeba bagqibile bona kodwa inkosi yabuvelisa ukungcola kwabo "Wow 
1:18:29,1:23:21, Ninow must rot in jail ..simple "@Derek Main No one is corrupt as the ANC "2 Indians from Saharamour a village in India had guards to Capture and Rob State Billions  @Sven 008 You're preaching to the converted. "mornings Who was reading the New Age papers? Who were their target readers? "I also learned more now about it former security cluster minister know something @ Thando Nkutha SABC? what??? 
1:23:35,1:26:18, got auto-joined from another chat room so SABC is abranch of ABC TV? "mani stream media is rubbish. stop watching it people its specially designed to upset and confuse and cause turmoil and chaos like NBC? When are the coming back ? Sorry I missed it this men have finished the country Agree love live more informative SABC .-yes comrade! morning everybody......wat did i miss 
1:26:26,1:30:01, CNN is ok .Its FOX or Fake News that is scary FOX IS NONSENSE! They are all nonsense but Fox is scary insane And Trump is anti-America "We condemn our corrupt gov officials  Trump is pro-Russia Fox is fake news Fox is like ANN7 Trump is KKK 
1:30:15,1:33:05, ALL MEDIA ARE CRAP Derek Trump is just a corrupt gangster like self serving individual Trump is pro-Trump! He doesn't give a hoot about his fellow Americans! WHO IS THIS LADY????????????????????????? I Am Free I am at a loss to how you condemn corruption here but defend one off the most corrupt US presidents ever You clearly don't listen or watch what goes on around you The guy called Ukraine to investigate his political rival! that's unconstitutional! WHERE IS AGGRRIIZZI?????????????!!!!!!!!!!!!!!!! "@thando cezula The more I observe Trump 
1:33:45,1:37:48, I Am Free How do you know that ?? Trump directs staff of the white house to live stay at his holiday resorts. Clear conflict of interest Leave Trump and America alone!!!!!!!!!!!!!! Trump is under pressure! he won't see a second term! Trump=American Bully Trompie=Afrikaner Bully. Two sides of the same coin HE IS CORRUPT .It has been proven same way ZUMA has been proven to be corrupt .You believe bout ZUMA BUT NOT TRUMP ??? Trump was also fined for being racist in the past @Lady Bird I also remember a Stormy Daniels and $130K I AM FREE he was fined and taken to court cos he discriminated against Blacks regarding his apartments . Are you trying to deny this ? South Africa...what a planet... 
1:37:53,1:39:54, I AM FREE you are being a hypocrit I AM FREE you watch much FOX NEWS ???? @ YIN-YAN what does Black Racism respond to? I AM FREE YOU ARE AHYPOCRIT That all started under Obama! CONDEMN CORRUPTION AND RACISM HERE ....SUPPORT IT OVERSEAS Also the highest debt ratio ever recorded Oooooooh. Trouble in the Camp.hahahahahahaha That is what you show 
1:40:03,1:42:26, I'm telling you it started under Obama! it's a fact! Well Lady Bird said so. So what is the IF about? ah sorry - yes we label it here General electric USA Chev USA Fender USA no globalisation more employed in last 2 years! Clearly you don't know what racism is! I Am Freedom you showed yourself . Under Trump it's the people on the ground that are being taxed most whilst the rich enjoy tax breaks @thando cezula You are correct 
1:42:50,1:46:08, NO I Am happy to see your defense of racism and your Hypocricy on corruption I Am Free @ Yin-Yan...that statement is pontent with anger... You're clueless I AM FREE very easy to call someone a racist I Am Free A pure hypocrit Hypocrits are never phased .... Yes DCJ. They fled Yes Thando Trump's tax records will have some interesting things to show 
1:46:14,1:52:58, sanral must be next please @Thando Nkutha or Flew or Fly Trump's corruption is for Americans to solve WE HAVE A PROBLEM HERE I always take your word for it my friend and today will not be an exception. thats true love 4u @Thando Nkutha my brother Thanks Yin-Yan. for clarity...... whatching from #Zoar #WesternCape #SouthAfrica Makes no sense at all judge. hello i am free Trump is mentally unstable - the very last person who should be in charge of nuclear weapons. 
1:54:04,1:57:38, @Derek Main It seems so. Helpful This White Woman is corrupt😂 "@Derek Main "with trump "Pray for our farmers  Tony is die diknek gupta this inquiry is just about wasting money @cupido jaftha ...You are right my brother 
1:58:19,2:05:23, YES Cupido Japhta GRAB THE LAND = Taking food out of our children's mouths @I Am Free ..Who did Hilary Clinton Molest?????? @I Am Free Trump is the US's Zuma. "@Easy D ""Better the devil you know"" - That's what the ANC supporters said about Zuma." Load shedding about to start. Will have to catch up later. @ Derek the net is closing first to Gupta's and then their associates.... "Soon Trump is going to hear the words: ""You're fired!"" 😁" WTH is with the load shedding !? Did they mismanage ESKOM too . THROW THEM OUT OF GOV SA !! 
2:06:23,2:08:36, Can they not manage anything !? Load shedding! Eish! Thanks for that all you ANC voters. "Trump made decision on Gupta  US Congress made that decision not Trump @Easy D We can only hope. Better to have load shedding before we didn't even have that electricity But it is easy for a criminal to point fingers too . They have no consciense Who are the real share holders of Eskom .name them! Electricity was fine before 
2:08:55,2:12:07, "@nonhlanhla ntombela Seems to be the ANC strategy - if everyone doesn't have it @cupido jaftha ...Taxpayers What do you mean when you say before you mean before democracy Was gonna say that Slindile lol Yes why you must be the only one who have something others don't "@nonhlanhla ntombela So instead of striving for everyone having something PRIVATIZED ??? Yes lets give it to some compony of Patrice Motsepe and his sister @Academic Editors you speaking my language. Unfortunately it’s not that easy The only way to strive is to share 
2:12:30,2:14:40, First in line for tenders ANC members and their families @nonhlanhla ntombela Your share of nothing is still nothing. But some people they decided to have it all and left others with nothing LOL Truth Derek this lady is babbling it's obvious she was captured also.. NONHLANHLA those people are the ANC !! yah neh geld word ge eet myb but not only ANC and white monopoly capital who refuse to share what we have as a country "What a way to improve governance and leadership! If current newspapers are critical of your leadership 
2:18:12,2:25:08, ok If I can give you an empty shop n make sure that there is no way you can put stork on that shop would be able to run that shop n succeed "Media says cows are dying and the SPCA email saying there was no cause for concern "@nonhlanhla ntombela NONHLANHLA No you dont . What are you talking bout . Let a Somali show you how to do that shop thing babe Graphic design.... Evidence Leader enjoy listening to herself. "@nonhlanhla ntombela While I'm all for addressing the inequality issues we have What we see here is a form of job creation ... 
