starttime, endtime,message
time,39:49,message welcome "This lady She is being caught "If she approved the finances for Estina 😂😂😂😃 @ Derek main she was told by her boss that project will carry on this lady is lik duduzane..guilty for listening to ter bosses and doin wront things to keep ter jobs @makhosi nobhatyi I think all FS officials fear for their lives when dealing with Mr 10%. "😂😂😃😃 hey these guys they don’t play tjoo @ Derek main 
40:04,44:50, "kuzoba lit @makhosi nobhatyi I don't blame them - people have already been killed for exposing corruption in FS. It's been run by a true gangster for years now. It was very nice when they were doing corruption but now it's very difficult to substantiate what they have done with the taxpayers millions. this lady is beatin around d bush. answering things with confusion. no oversight "I am praying NPA Exactly @ Diana Sekatane "@Diana Sekatane​ im glad this advocate is dealing with this Estina issue..she is So On Point and Chairperson flows well with her @Paul collectively yes... 
45:04,51:23, "Makhosi We want all thugs to go to jail doesn’t matter how big you are @makhosi nobhatyi I'd rather they take their time and get it right instead of having the cases thrown out of court for lack of evidence or bad investigation. @ Jabu let's have a bit of patience the puzzle will unravel itself. "@Derek Main​ Investigators must be under raps because this fightback will be dealing with them. "@I Am Free "@ Heather Cotton I don’t worry much about them sitting there at ANC headquarters but we will get them "@Jabu Malinga I stand to be corrected 
51:55,54:52, "Anne "@Anne M True @Anne no.. this advocate knows her story very well "The NPA has put in an extradition request @Diana Sekatane What prompted the States to take action? is the grin on miss Rothman's face nerves related or what? @Anne remember USA is acting as the police of the world Where is Agrizzi? 
56:05,1:20:58, Remember those who worked for these people senior and investigators are still inside the department so first clean inside then run trials this dairy project is a headache "@Diana Sekatane Yes they are why USA didn't close ranks on steinhoff if their serious about fighting all corruption @Anne the capture was everywhere especially the law enforcement. and Eskom scared of implicating herself? lol Definitelly scared of implicating herself 
1:21:32,1:33:47, haha yeah Magashula's queen bean curry Even Zondo questioned her about the way she drafted her affidavit. She didnt talk about crititical things that happened when she was in that dept Zondo! Jump in! Zondo afrikaans pls Nowonder Duduzane is doing business with whom coz I believe they were targeting government now his dad is out "yeah 
1:34:26,1:39:04, "zondo your sound quality is fading when truth is been told ......She knows nothing about what a cattle-farm consist of and was placed in that position to effect an illicit cash flow. The ride should have been nice at the taxpayers' expense. Looks like she ate all the cows from Vrede "education and health mambo ni motto lol dudu zuma gave jonas a lift from the hotel to guptas res.jonas security was bypassed.after meeting dudu walked Jonas outside to give him a lift.dudu offered lift to the airport or cowtrain. why did dudu nt give him a lift back to the hotel to his security. surprising. and somewhere in between Jonas got offered R600mil 
1:40:02,1:48:58, of our money "USA are stricter on the Guptas than our ""ANC"" government is" yeah it's about time someone does something about them lol hopefully UK will follow and UAE? Let's hope they do more than this lady did "and ICC should nail them UAE yeeeah lol "...I have the best excuses and if you pay me  
1:52:10,2:02:11, hi I'm new let's play roblox THIS STATE CAPTURE IS BULL This woman has that stealing and crook vibes under those glasses LOL Sthakati wth iyo my white friends our quet today y ? "corruption knows no colour She is lying now 
2:02:17,2:06:58, she had been doing well @Diana Sekatane I agree - corruption knows no colour. The guilty must face the consequences. couse if is black on stand yerrrrrr i read lots coment and something like that 😁😁😁😁😁😁😁😁 @Phill Rambau I'll take a guess that she is an ANC member. @i am free what are trying to say? @victor she's been lying all day long Derek ooh ok "@Carnoth Ngomane I have not believed her either It was clear that she was corrupt the minute she said that the New Age subscription by FS government was above board. 
2:07:04,2:12:00, "@i am free numbers don't lie @Norman Zwane the truth is something they are prepared to take to their graves ...Corrupted minds consider themselves as what someone suggest they are and form groups of separated ethnicity. This is the psychology for controlling the masses. Those who are found to be wanting must face the full might of the law period. this lady she's clever she always smiling and saying nothing believe me she taste curry big time 😁 @Diana Sekatane what money was owing? Does Apartheid era gov corruption excuse ANC corruption ...? thanks - how silly The was money owed by the S. A government under apartheid which was to be serviced by the democratic government. 
2:12:14,2:14:57, There is no denying that there was corruption under the Nat government but the ANC have taken it to an entirely new level. They have perfected corruption. what for power stations and railways? One so blind that don’t want to see Corruption @lady bird no. They have Derek "Diana you could have fooled me  😁 her eyes are burning shame "@Derek Main In my other life I use to run a business. I often found that after sacking one of my key managers "Ms Rockman will be heading straight to the pub after this session of questioning 
