starttime, endtime,message
time,-3:35,message Zuma is here hehe people are clapping on EWN Lol I see ya'll been camping here Qina Msholozi Qina The Zuma foundation has beencasking for donations to ferry in his supporters Zondo is always late jirrrr SABC ya baiza mos so might as well let it roll 
-3:31,-2:58, kushubile yah capturing everything now EWN is live is not live People are scared ubaba might close this country 😅 Fighters !!! stand with Zuma People are screaming Zuma on EWN hehe "switch to ewn today we gonna know what is the word state capture stand for first in our constitution . i don't believe there is something called state capture 
-2:46,-2:02, Already live on EWN zuma will be giggling the whole day and not answer any question Going to EWN NEWS24 is live... bye SABC EWN is working - bye! Bye SABC will wattch EWN "He He He "mshini wame Dear Mr Zondo. Please ensure Adv. Vincent Maleka SC leads the cross exam. 
-2:01,-1:39, "We are going to stay with SABC I can't wait not to understand Ubaba lol.... EWN is live not this SABC guys ewn is live BLF is planning to disrupt the proceedings cant wait for zuma to throw himself under the bus EWN Live! log out an in it will work i did that m watching it live now Who is going to be the leading witness and why the live feed is not on yet here? 
-1:39,-0:29, @Nkosy Blessing readvtge World Bank 2002 definition of state capture online. "2 State Capture with Msholozi soke sizwe today kuzokwenzakalani Qina Nxamala Qina waiting... all 6 BLF members will disrupt this BLF is coming where?? Let's go! Where he at? 10:09 what is happening ? @Michael Wild 😀 
-0:18,0:20, What time is it starting? We love SABC and we are not going to EWN let whiteness go there @Michael Wild sup 10 min late Hhayi lo Zondo wenu mnxn supposed to be 10am EWN is showing JZ at the witness table reload your pages Msholozi there we Go 
0:23,0:33, H:ere we go Here we go! "Here we go live we are on There we go He's already standing with his hands behind his back 😀 Yay @Mgda Seguin . i think here is south africa they used it in a wrong way packed room 
0:40,1:00, "Shoe Ditlogile bjale he is not used to day light thing he used to shuffle @ night mus wenu uyang bambezela theres your leader south africa da se It's fastened azishe We on like donkey Kong !!! 
1:01,1:13, Baba Msholozi lizwe lethu fully packed your leader who failed you adv grind him till he sweat Aah there we go. Sound is so bad 😀😀😀😀 no prayer opening 😂 Full house He is smiling as usual!! 
1:14,1:39, Peoples president😀😀 smug ahole!! @SABC Digital News Sound please Sound volume sound I hope they brought Adv. Hofmeyer "Hhayi maan south Africa is a dying nation 
1:39,2:26, Don't worry...the Hehehe...will come... 😂 I said a white Adv will abuse our leader 😂😂😂😂😂😂😂😂😂 "just sit and relax nice Volume Stay strong Mr President Udliwe umuthi la zuma go to prison! 
2:30,2:53, volume bho uBaba Ka Duduzane @Tikvah Olam 😆 nxamalala it's like a dream come true eish mr zuma "This man is very intelligent you will see After this week South Africa will no longer b the same 😂 Zuma has a lot info dat could damage a lot of pe 
3:01,3:55, @Musa Bakiti He is a witness not 'our leader' please so Zuma wont be the last @SABC Digital News There's no sound. Please sort it out. Emmanuel i agree This is the man who held you South Africans hostage Oh....yeah.......go for it CJ... SC. Pretorius or Maleka against Zuma will do. a lot is still to be heard and discovered testify in Zulu language 
4:04,4:37, who is the lawyer who is going to question him @Norman Zwane He is our fighter "sad day for zondo is its hofmeyer Msholozi im listening "for the fact that he is available "Kuyoqhuma nhlamvu my leader ✊🏾✊🏾✊🏾 Nxamalala baba 
4:41,5:08, de Klerk must also appear to this commission and tell us why they killed Black People during apartheid. pretorious please my President testify In isizulu @Musa Bakiti He is just a witness here please. What fighter is a thief? Adv Pretorious is leading evidence "Funny how ANC NEC has 80 memebers south Africa your corupt leader I hope the leading witness will be sharp smart and faster shooter enough guys everyone will respect zuma after this commission 
5:11,5:49, Victor you are a joke Vincent maleka Adv. Pretorious is leading evidence today. South Afrika will be given life again de klerk will say he did not know just the same answer as zuma will give lol both nee orange suits lynch zuma @Awelani Mukwevho do you think he is the right person? @Norman Zwane Zuma uyesu wethu😂😂😂 Should have been Maleka. This Pretorius is weak.. Maybe Maleka was not available. 
5:54,6:31, isuzulu will do.. same whatup group with Bathabile Dlamini Yes sir #RememberKhwezi Does anybody have sound? i thought Mr Maleka or Mrs Hofmeyer will be evience leader baba must tell us the truth and stop act or playing victim status Facts will be out of the fiction.. @Anne we have sound "Zuma is not accused of anything 
6:32,6:56, we want trutj lets hear uBaba answer already @Musa Bakiti Uyesu wenu bahedeni ndini @Anne M. Try refreshing @Bohlale Matubatuba ...spot on Bra HE HE HE HE HE is there any 100% Z boys manifesting outside? "The truth 😀😀😀 The Ngwenya is here to answer for he mischief 
6:59,7:34, HE WILL LIE LIE LIE LIE LIE! Zuma won't speak mxm!! 5 days my president mr zuma please thetha inyani One day of lies is all!! Zondo is nervous!! 5 days? "i would be happy to see him behind bars plz 
7:52,8:30, It's not african for ubaba to tell his children anything start zondo we running late Over to you Mr. Pretorius... Hey Bring da Khwezi guy....... Zumas lawyer is a clown U r Spot on Michael Mbatha Maleka woud have been more interesting. Why is BLF being stopped from entering Siseko Davani listen to Skhakhane then.. you will see he won't speak today 
8:31,9:20, the whole international community will be watching this....the fate of South Africa's true judicial system "Black fighter  Propaganda......Bull.......t Is this the thief from Denel? Sikhakhane Sc Mr president So why dud you want questions upfront? SAs are not idiots 4 500 viewers today..🤛🏾🤛🏾 I’ve already hidden my wallet now I see 🚿 Zuma again 
