starttime, endtime,message
time,-5:41,message 👬 🤣🤣🤣🤣🤣🤣 🤣🤣🤣🤣🤣 You guys should be at work.... loading water🤣🤣🤣 this is our work "@Pastor J Sorry man 😂😂😂 
-5:41,-4:30, Breaking News: Zuma collapsed outside Commission because of dehydration. Remember he finished all the bottles of water in the morning. Therefore Ladies and gentlemen there will be no state capture 🏃 kahleni webantu broadcast already zuma has disconnected the lines Makatsho wayithathaphi @Phumzile Mkhize. Hope he won’t tell us he can’t remember where he hit that report from. Lol can’t blame u for changing your AVI bro😂😂 ": poor file kaZuma ibhekiswa ngapha nangapha if there is one person flipping his/her file our former PRESIDENT Mr JZ think that he wanna make a clarification that was not alone n this things started on the time of Mandela while was at Jail also JZ was an arrested. but Nyalo uyazihenga. @Peet Venter .Brilliant my brother. You get 2nd Prize. Thando got the 1st Prize this morning @Thando Nkutha 
-4:06,-3:10, @Siseko Davani I heard he was over hidrated now he's floating around somewhere they can't find him! JZ is innocent Are they back guys ?? if they can't respect time how are they going to charge or discipline jz? "kuthiwa when zuma left his president position wath ""ihee kusazonyiwa"" but now the tables has turned" @Peter 😂😂😂😂😂😂 sthe not yet tune in the right channel @Sthe really? 
-2:45,-1:43, African time 😳😳😳😳😳😳 i heard there is water restrictions around zondo from today no maaaaan I have faith in Ramaphosa and truly hope he can turn this country around and that State capture and corruption does not happen again. : siyaqhuba thina ngapha I can't see live what is going? Zuma u not going to Jail u the free man Period He promised to tell us who else was involved in looting @sandiso nkosi. We are still waiting. What if he tells us he can’t remember... oh my. I'm still waiting to see CR being a real leader. 
-1:29,-0:39, We can remember @Simon Leepile what happen ......no live Sindiswa 🤣 He cant remember saying that 😂 Born Free don't hold your breath! He ain't turning around nothing! He's probably losing sleep over his tiff with the Public Protector right now. @Thando thanks This Zuluboy always don't remember Zuma comrades please sing for us they are late as usual guys what's happening 
-0:36,0:09, I don't know .I cannot remember when they going to start Zondo is disciplining Skhakhane I hear :Zuma ran away.😅😅 Hahaha @Henk All Rise they helping zuma with page numbers 🤣🤣🤣😃 African time "am rising also 
0:13,1:16, if JZ meanings all our former president n C.Ramaphosa must go also to jail 😁 Thank u it back "My problem with CR is he was 2nd in command for five of the ""9 wasted years"" and takes no responsibility for it." Thanks We are live the are back guys angazi He uses other people for memory. 
1:24,2:00, hez prepared now He was coached some more during lunch hour.... batshele Gedleyehlekisa Skhakhane raised this but was told to sit down... lol He did not even read minutes of meetings😂 it seems the commission has take a view on some aspects He has been advised well why am I not live? sekunjalo Mr JZ 
2:13,2:50, Is not his job to remember what he read? also create go to jail if jz goes Where the Ts were dot If your feed is not live Just REFRESH He was coached ka lunch @Neo Mokgosi ? he sounds like his lawyer now """expected to know"" !!!!" Shame. 
2:56,3:25, I don't know Whether t's were dotted or i's were crossed. Detail right there 😂😂😂😂 "But when he says no angazi msholozi Exactly @Jessica Moremong ok people this is a country and not a pvt company where u will remeber everything... lets be fair...maybe critical things yes... that really mater Zuma all the way 
3:47,4:39, "I'm no Zuma lover at all @Phumzile Mkhize we can shut it down...we know now that everything he says is exactly like that. hahaha "He was caught that he knows about Gama  "Lie someone realised that his sidestepping and I don't recall and all that will not work here - because the commission may well take conclusions based on that - and it may not be in his favour... kwaaa! This guy can decieve us without fearas at all "corrupt people Are we going to adjourn at 3pm again 2dy @Bronx Wavy Absolutely. They must amongst many others be prosecuted to the fullest. 
4:41,5:10, cal Brian molefe fo help Isn't it a little strange that other people have a memory but he doesn't? Perhaps he needs a brain scan or psychological help. am wit u bronx...... but he can remember tht who was trained to b a spy when he was 19 yrs old mxm stupid tactics 1k only the rest is not interested in ubaba kaduduzane anymor "I was looking forward to this week thank you pastor and kagiso beloved?! hahhha but he can remember spies 
5:20,6:05, "@Bronx I fully agree with you but I'm also curious Zuma is a liar @ Bronx Wavy ... i too am curious...like really how comfortable are you as a then ministr and sign 100yrs contract to mine our ALL the diamond out of the country​ "He is saying so painful plz guys watch ROGue unit Rastafarian Biso EXPOSED all the corrupt people's.... SARS .Part 1 and2 .here on YOU TUBE...scroll down.. kuyafiwa shame yhoo. .. sfiso.. precisely stroke of a pen welcome bud....... "Eish! the leniency of the Judge for Zuma 
6:06,6:43, Mental slavery and the Rule of power is affecting now. AFRICA UNITE. Your Soul and LIFE is Precious!...PEACE @goolamv serious? msholozi is innocent "exactly The painful thing for me is the reality of having been once led by a leader who is not accountable for anything! It pains me that my life as a resident of SA was in the hands of this lumatic "White people still owe us why theirs so many complains theirs so many ppl who hv been here "Your problems never go away I think we need more mental hospitals for those who support this man 
6:47,7:37, innocent is Zuma's Xhosa name We back! Zuma should know how a guilty person behaves afterall he was an MK Interrogator. @Bronx are you a fan of Julius Malema? I do not know what is to interfere Breaking: Minister Lindiwe Sisulu has just announced that the Dept of Water & Sanitation is in a state of collapse @goolamv . I believe u bro. everything about the EFF is fake. phumzile tell us you don't like money? He is now part of his legal team👏👏👏😀😀😀🔥🔥🔥🔥 
7:41,8:52, he get angry laaaag over him chair You dont understand!!!!Its always the case you never understood 405 TV ON cry Zuma cry.i cannot recall has caught up with him Zuma is gatvol! "kasi zuma ulava yini lani hiku iri angativi nchumu ka xinwana na xinwana loko avutisiwa now Zuma is cracking Anthony that's the idea uNgaphenduli lutho wena Zuma ithu uyazela isikhathi olala ngaso lesi abakuyeke phansi 
8:54,9:39, is really cracking and is getting angry @Bronx are you a fan of 'superior' logic & ideals of Julius Malema? He understands but his problem doesn’t go away 😂😂😂 😂😂😂 Perhaps he should spend a month at Valkenberg for psychological evaluation. the vultures are circling ubaba😂 Wahi hlamarisa.A vanwi pfaleli "this is waste of time and money for this With a surname like Beakus I think not 
