starttime, endtime,message
time,-10:21,message wiNdoda Zuma wiNdoda Msholozi ngeke bakuqede mnxn Secrecy Act..The former Head of Intelligence will never spill the beans! No surprises here - you remember the taped conversation btwn him and the former Public Protector - which he had always denied did not happen? Well take your pick. @Siseko Davani but we must also be careful because all other South Africa n presidents were darlings.Why not any attack on them? Zuma The King nobody will touch him thank u sit doan I feel that Zuma is making a mockery of the Commission. Zondo is treating this man different. @Naledi Celma Are you saying it's totally irrelevant that the man is a crook? Don't you just love it when the comrats are taking chunks out of each other. 
-10:17,-3:53, ZUMA WE ARE WITH YOU ALL THE WAY. Fear your Lord Zuma "Judge Zondo has seen all this ducking some people act as if spies/enemies were never there or given post before Zuma became president.I wonder National Party members who end up being part of Anc.Under how's watch did that happen? Let's start Zuma will continue to not remember Really I don't know "Mr I do know  Am here to support Zuma and let's State Capture beggin 
-3:35,-2:16, what time does it start zuma must die in jail ngu 10 ngoku kuqalwa nini? We waiting 🙆 ...bring it on. lets start Yesterday a law professor said that Zuma was asked 15 times to appear at the commission.His lawyers are just wanting to discredit tge commission Let the lying continues....this man is competition for the devil himself 
-2:11,-1:31, waiting 🤥🚿 Waiting Stop the bad comments...and focus on your people's need requirements....... zondo Lets get started lets begin dimwits azishe phela handei tione 
-1:28,-0:35, Zuma is wasting our data sabc sucks mxm Angazi Lutho!!!!! Hauweng!!! eish engabe abamsabisanga yini ubaba izolo akesizwe. Zuma is on AWOL patiently waiting Jacob in Peniel. Hope this process turns him into an Israel. "Hawu it's way past 10 
-0:19,0:24, he is keeping zondo hostagee 🚿🤥 23 children + 7 wives still alive. I’m still paying Show is off go home guys. the Zuma effect..now they all forgot they should start at 10 whatsup yes Lol South African time 😂😂😂 There we go! nazoke 
0:24,1:07, yes yes yes thanks let's move to enca come on already i think they are still forwarding pics to daddy... "@fefe jez Given that the ANC is so corrupt Here comes nothing! 😂😂😂 we on "I don't know 
1:11,1:42, Even this Zondo commission got African time I wasn't there Watson time to get my pop corns I think so let's all move to enca this broadcast is delayed....sabc is broke lol I'm not sure If he say I don't remember nothing please believe him time to listen to lied 
1:44,2:23, let go....... Zuma remembers all what they did to him for 29years but not what he did😏😏😏 Zuma wont even remember he was on this commision i can't recall... i had zondo is in the toilet I dont remember time... 6min late.. we not gonna finish just like yesterday he is wasting our time this one if I'm late from now on I will blame it on Sabc 
2:23,2:54, 😂😂😂😂 African Time "mr no  Zondo u late mnxn @Talent P Sibisi I don't believe Zuma as far as I could spit at him. He's proven time and again that he is a consummate liar. "Let the whole room start shouting ""pay back the money""" 7 min not bad Giggles start after coughs 🤥🚿 he was busy praying why he can't remember everything 
