starttime, endtime,message
time,11:25,message "Thanks have they started? still waiting 👍 Still waiting. smart guys 👍 time is money guys when are you going to start wt going on? 
11:57,21:39, live 404 @SABC Digital News Please go live I will try but how? @SABC Digital News Your live stream started 15 minutes ago but it's not broadcasting @SABC Digital News Thank you volume please "Thus why do these people mess up their audio settings when going to a break. why not just leave as they were. 😩 Because Hlaudi is no longer in charge 
24:05,35:54, Is the sub titling for the benefit of the deaf? SOUND PLEASE "@ wim louw turn caption on What a distorted version are they getting of what is being said ....I am not deaf What is Njenje's current position? Win Louw he was fired by Duba in March. "Well I think is a director somewhere Mr Njenje ....or maybe still at Harvard 
36:39,39:46, "Perhaps like Hlaudi Wim Louw because he was a Director of Bosasa I don't trust him completely. But I don't know. 🤪😱😱 something is smelling fishy here Zuma 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ "Dudu for Minister of Public Enterprise What have i miss😀😁😂?????? "Tom Moyane for Finance Njenje From spies world. "Salim Essa for Trade and Industry 
41:34,44:32, Carl is CIC of Umkhonto. He won't step down. Likes the uniform too much "Pravin must be the Minister of SOEs and Finance. He can do both Who is this corruptionist???????????????????????? I heard Pravin is Mo's uncle Ndlovu u r captured. "Njenje is hiding a whole lot of things but its understandable Intelligence requires you to hide some things Khumalo u killing me Correct. Ask Vytjie 
45:07,49:00, if Zuma is innocent then I will head back to being dumb. VBS owns the mines Zuma is corrupt just like all the ANC comrades but you just have to find evidence to pin it to him which is a difficulty at this point!! Mshini Wham Mmm unamanga lo baba 🤔 There is a lie somewhere here he seems to be speaking lies "No lies why is the witness so incoherent? 
49:04,50:32, There’s lies mixed with truths here wasn't this guy in the intelligence? Definitely more than 3 of them were present He was @Sekgololo. . . "@Sekgololo Johannes I just love that word -- incoherent ... In intelligence but not very intelligent 
51:23,56:02, "If President Ramaphosa is serious of restoring dignity to Anc he will fire those involve unless if he is involve as well And guess who owns Arcelor Mittal? No prizes "Wiseman Mabasa HE is part of the issue 😁😂😂 @ wim low NO DAWN the level of disrespect from these so called officials it's owned by Lakshmi Mittal Steenhuisen for president ;) Well done Nhlanhla 
56:42,1:00:01, Well done redriger Heartwarming to see how informed my fellow South Africans are! Lakshmi Mittal is a self made respectable man from my understanding Mittal Steel who pillages the pristine SA beaches Jindal Steel All operate in Africa Pity we don't do anything to change things @Khanyi. AgeGracefully Are you a lie dictator????????? 
1:01:57,1:04:36, "How did Ramaphosa become rich?????""" he won powerball How is that relevant? McDonalds @nhlanhla nkosi 😀😁🤣😂😁😀 "The same nutcase who gave Guptas access to Eskom how did he get 300m macdonalds I am beginning to wonder just how many millions rands the ANC cadres and ministers and Guptas could have made with insider trading knowing in advance who was to be fired and appointed? BEE company. he won the franchise for SA and maybe large parts of Africa 
1:05:18,1:09:00, @Michael Wild We all eat Mcdonald but we are not rich😀😁😂😁😂 "Mike Clark you est. he earns from that eat @Michael Wild We all eat Mcdonald but we are not rich😀 He must be investigated as well McRamahosa triple Marikana burger special! do you understand what I said. CR owns the rights to McDonalds through SA. each time anyone eats McDonalds product. CR gets a little of it. work out how many items are eaten a day in SA. We will die poor 
1:10:23,1:12:34, .......or New Dawn double with fries! @Michael Wild Cyril made deals under the table behind our backs now he is rich @Mbuso Ndlovu Have faith we can solve the problem Black Friday special at McRam's! Apart from his own outlets.... CR gets 8% of turn over from every other outlet every month....work that out....@Michael Wild That could be true and if so I hope it comes out too. Mbuso can this one be concluded 1st before we look at other conspiracy theories This is going to be interesting! While some fellow South African sleep in shacks with empty stomachs 
1:13:38,1:17:00, who's fault is it that they sleeping in shacks 90 percent??????????????????????? @nhlanhla nkosi Those greedy bastads Guptas were acting like boss now their stomach was bigger and bigger We should all get a slice of the cake not a few wat was stolen in the past 9 yrs could have solved that if the thieves were stopped in 2011 as per Mo same forcing process used to take over the coal supplies to Exdom. until they had the full supply line of coal to Exdom Mr zondo is a real judge "Guptas skellem 
1:17:26,1:22:48, @Mbuso it's fine go to mc and buy a big Mac I guess that's bigger than the slice u want @Muzamani Ronald what u mean?? Who is a fake judge??? 😂😂😂😂 My best advice is...Do not Start anything that is Corruption..even if its as small as a salt grain...ey "Bonke has anyone been able to find a link btw these Guptas and the Gupta involved with cricket match fixing - (Hansie Cronje)?? Bro..it catches up with one later on Guptaz raped us as a nation Guptas is a common surname in India. 
1:22:59,1:27:19, We pay taxes to the Guptas in this country! sickening something smells fishy with this man🤦‍♀️ I know...@Michael Wild but maybe? Two lots of Guptas pulling the wool over our eyes. Stop complaining. Pay your taxes and your TV licences...... it's the right thing to do! could be true. I feel sorry for R Kelly Notice how All these ANC big boys.....All wear Russian/Commie spy glasses........heheh Stop tarnishing Zuma's name!!!!!!!!!! "Whether we like it or not 
1:27:47,1:29:47, Viva Msholozi! @Tumi Sereme ....well...that's the ANC Gov for you.... "Tumi Sereme​ NOT only GUPTAS Duduzane lied when the ask him why was he scheduled meeting @ Saxonworld he says nothing special about Saxonworld @Spykerhond Mandela and Mbeki """Colourful character""a.k.a. thug" makes you think They called the Spy Glasses Clan...heheh Ilizwe liya kwantshabalalo kancinci kancinci. Le state capture inquiry soze iphele lide ilizwe li collapse 
1:30:33,1:37:09, @redriger I had one - it caught alight. Not joking. now you sound like Steve Hofmeyer Sahara is an international company - the Guptas arrived in SA and named their company after a reputable global brand Sahara is also a desert "@redriger yes In the fire pool at Nkhandla SHAME SOUTH AFRICANS Is Mr Wtson really dead??????????????? "Shame yourself  
1:37:52,1:42:14, Zuma utter the same explanation to the ANC when he was asked to drop Guptas 🤪🤪🤪 "I can imagine Nxamalala saying Wim Louw please don't be personal # Zondo Commission MUST FALL! Carle is crooked like his ex wife drug mafia wim louw reason it must fall mr pretorious must be on his feet right through while everyone is seated? "Lucky  What if Zondo is also corrupt????????😀😁😂 
