starttime, endtime,message
time,15:10,message hlaudi no jokes today? not guilty at all "if Maleka was there 😂😂😂😂he can't wait himself... can someone tell me what happened to adv. Maleka "what you call Adv Maleka is out there making money 
15:43,17:41, Never mind his English at least you can understand what he wants to say. Maleka left the commission for greener pastures. "Hlaudi is making sense in some issues "yep 😀 Cheee-person🤣🤣 Does it mean Mzwanele won against him? talking rubbish now hahahah @Lekau 
17:47,18:52, Hlaudi is given an opportunity here to state his side of the story. @Khanya Nobumba ndiyamazi no Cheeee-person. 😆 "Desperation "Hlaudi is right very true Hlaudi wn u pocket 11m must be put under the carpet.nonsence This guy is a real clown "Lekau Phalama no can't understand the questions Chairperson! 
19:15,20:19, "But u hlaudi played part in not viewing Eff events 🤣 Ok Expilit "So hiding the violence he need his lawyer he is lost. Matric would have helped ! EXPILIT VISUALS 😂😂😂 EXPILLIT 
20:41,21:38, "Amen ask him were he is.tarvern or watching rugby Eeeh chairperson @Rob Nel even some european countries limited coverage of youth suicide Expilit. You see the relevance of matric!! when is HAWKS invistegsting him?? True @Mokone only him telling the truth about sabc Both.... @ Michael Michael 😂😂 
21:56,23:13, Suicide is not same as burning shop #Rre Wa Mokone . "he acting like a young zoomer. talking in the 3rd person so when they lie it is the ""3rd"" person not themselves" Lihlanya eli. "Adv Maleke Heeey! What's funny the only reason to hide anything was to keep away from the voters. not to maek the cANCer look bad "Muthambi needs Hoffmeyer Moody the man cant c the difference between wrong and ryt?? "@France Maphosa ask The English to just say few Sepedi words --and hear how they will brake them...so 
23:24,23:39, how Dow I answer that 🤣🤣🤣🤣🤣🤣🤣🤣 😂😂😂😂@ Yoko more dr hahaha Hlaudi is always high 😂😂😂 wa kula wena lol Doctor Hlaudi DOC it's funny that this man sees no wrong here! ichuuuuuu 
23:45,24:18, Thanks for multi choice for rewarding him 😂😂😂😂😂😂 Dr Hlaudi Dr😂😂 Lol doctor Dr loool dr hlaudi😂😂😂😂😂 "Yolo more Dr Who's Doctor.. 😂😂😂 
24:22,25:08, a doctor not even an animal doctor hahahah I don't mind having Hlaudi at a braai for the whole night "fearless one "mad man on the stand "@Rob Nel suicide Berry funny.. what is a test. not I never do any tests What visuals is he talking about???? "the doctor is talking 
25:08,25:28, boss doctor objective or subjective test!!!!! Chef DR HLAUDI😂😂😂 shapa hlaudi as a black person CHEF😋😋😋 eh eh eh eh eh (thinking of lies to tell) eh eh eh4 LOL HE WANTED TO SAY CHIEF """ I am very tough"" 😂😂 no lies detected here" 
25:31,26:14, Dr HLAUDI MOTSOENENG chef from doc Waste of time really.nothing gd u can get from this. hlaudi mara😂😂😂😂💔 HAHAHAHA wonder if he will be feared in prison Dis doctor Hlaudi mara Let's eat... The chef is here😂😂😂 The World according to Planet Zog....shame....he is mad. 
26:17,26:56, why are they wasting time with Hlaudi hai 🤣🤣🤣 @MSG no one is going to jail here... only those who stole chocolates "@Rre Wa Mokone  waste of time indeed. 😂😂😂😂😂😂😂😂😂😂😂 hlaudi is here to make jokes phela😂😂✋ "This is a waste of time lol unento lomuntu 
27:00,27:34, This Hlaudi guy is a joke....I dnt think he understands what he is here for.... @rox choclates you say. he going to be selling choclates in prision uthwele lobaba hahahaha "YOH This commission is a telenovela... Trevor Noah should feature this man am telling their comedy movie video But who can take Hlaudi to jail. He is a Life Esidimeni case this one. waste of time and resources nje Hlaudi is just making jokes 🤣🤣 Phd in SABC research😀😀😀😀😀😀 
27:43,28:53, i can just deny SA government is wasting our money. this commission is a waste of time. is dead dead end Hlaudi is actually likeable as a person on the street. Chair persen😂😂😂 "hlaudi & the truth "hahaha @MSG no jail for these people he thinks denial is that reeva in the egypt after the commission if he is found guilty he mist be admitted to veskopies @Thando Nkutha: Not only Cyril but every black person needs a little bit of this self confidence [without arrogance offcourse] 
28:59,30:45, @rox yes true. so sad there is so much evidence here from the horses mouths but nothing will happen Hlaudi is talking like hes having a braai with friends in his backyard. "By the time this commission's report is implemented 😂😂😂😂😂 He is a likeable hlanya. all the tons of evidence is miss leading and lies chair that paragraph is misleading😂🤣😂🤣 "hlaudi mara I like Hlaudi 
31:00,32:16, ow no...plz...not prof maguvhe loving this Inquiry Hlaudi yooo Hlaudi knew his job. I wish he was still there "Shame "If he did the job as COO I can work with someone like him "Ho thaaaaaaaata banna Dr hlaudimotsoeneng WHEN HE IS LOOKING AT YOU HE IS ENIGMATIC 
32:23,33:20, hlaudi ke monna @Thando Nkutha who is a strong leader then? MONNA TOTA RSG explicit Ntate Orania PATHOLOGICAL LIAR bull scheizer liar Hello 
33:25,34:15, That Jimmy Matthews was a problem Afrikaaners I tell you limpopo love hlaudi eee eee eee eee eee eee eee forum "RSG I support hlaudi ✊ South Africa Thando Nkutha He believes himself. Phsycopathic Liar. Better as president CR Thando Nkutha 
34:37,35:39, I luv this man... he's not even intimidated even a bit Tshepo Louis Radebe I agree every radio station has an agenda Jeez SABC are pathetic I like his style he now overstays his welcome.... verbal diarrhea........ Dankie Hlaudi!! just like the newspapers 🏃🚄💨💨💨coming! 
36:00,36:20, eeeh eeh eeeh eeh eeeh eeeh eeeh eeh eeh eeh eeh eeh ..... chair eeh eeh person Mr wrong or right HAHAHA Hlaudi turnout to be a very skilled as a leader sifike njani na apha? I like this Hlaudi guy read the Sowetan and Beeld every day for a month and see row row Rau rau raorao 
36:20,36:34, fight raurau Rau Rau RAURAU 😆 Rau rau where is ADV kate hofmeyer rau rau Lol I think this Guy is honest. I like how he's confident about what he is talking about 
36:37,36:56, What is he Rauing about now? rau rau😂 heee raurau rau rau "@Thando Nkutha you said CR is weak rua rua Bjale ke Rau Rau - Skwatta Camp rarao this man is a joke crus this guy is classic 
36:57,37:21, Kkkkkk Rau rau 😂😂😂😂😂😂 "DERRICK YOU MUST SUPPORT AND JOIN EFF to much eh eh eh eh eh eh rau rau my man lol Rau rau it's Chaos chair😁😁😁 Raurau🤣🤣🤣😂😂😂 My view was sounds like my viewers 
37:28,38:24, He is super honest shame!! RSG operating as an Island hehe Ireland 😂😂 Is he responding to a question now? I just joined and I’m lost eeeeeeeeeeee this one. lol island Raurau is chaos chair person 🤣🤣🤣🤣🤣 Dr Raurau Motsoeneng 🤣🤣🤣🤣🤣🤣🤣 
38:34,39:03, Now that is a solid statement right there!! true.. western news censorship 🤣🤣🤣 Hlaudi u r the man again eh eh eh eh eh Hlaudi 101!! @Joseph 😬😬😬 that is raorao 😬coming 😬😬😬😬 😂😂😂✊️🏿 "Sindiswa Moolman there was a question 😂😂😂😂🙉🙈🙈🙈Dr chaos minded 
39:09,40:07, Raurau😂😁😀 "HLAUDI 101 Thanks @Yolo More we we we we we are @Thando Nkutha yes South Africa and yes I agree 😃 struggle man iiiiiiiii hehehehe.......racist! he doesn't Bragg about it✊😂😂😂 
40:15,41:06, Struggle!!!! Huh! Story teller This guy is high... I'm starting to like this guy Stooory stooory!!!! 😂😂😂 I like him already Might take over from Trevor Noah the new song eeeeeeeerrrrrr This guy is talking sense 
41:06,41:33, I like this guy... "The ""language "" 😂😂😂😂🤣🤣🤣" Hlaudi we have been given a bad image of you by the media!! You are a true character!! Honesty and for the black people 101!! 😂😂😂😂 🤣🤣🤣🤣🤣today is the day for #state capture inguiry for laughing enjoying the best ever comadian man called hlaudi motsoeneng 🤣🤣🤣🤣🤣🤣 He has been unfairly portrayed by the media dr issue motsoeneng Sounds like he’s answering his own questions not what he’s asked "History will judge him harshly. An embarrassment. Doesn’t understand Afrikaans 
41:46,42:31, "he is lying to defend himself lock up all the state capture guilty people and party's. they don't got the right to walk around. and a person that steal 1 bread for their family sits in jail. Begin by the president Have been since 😂😂😂@ andiswa you you you eeeeeeeeeeer Prisdent; precedent OOOOK He is telling the truth though. He never disrespect Ramaphosa as well. "The media has misled us about Hlaudi please count us out @Rob Nel news about burning were not stopped- but images were supposed to not be shown... 
42:31,43:18, eeeeeeeeeeeeeeeee......Chairperson This clown made up his own rules that were in conflict with the Act. He exceeded his fiduciary duties and created chaos in the SABC. 🙈🙈🙈🙉🙉🙉🙉😴 Story telllllllllllllllller EEEHHH CHAIR PERSO😂😂😂🤣🤣💋 This guy is a product of Bantu Education AND HE COMPARES HIMSELF WITH RAMAPHOSA 😂 this guy is dillutional. he lives in his own head.. it's scary. "Yo 
43:18,44:21, Rau Tem rap eeeeeee yoooooo "Would not trust trust this guy to switch on a radio without breaking it How can you say this guy does not have matric while he were occupying such high positions even during Mr Mbeki's time😂😂😂 A Narcissist @Reaobaka Motshelamadi You go ahead - can't be worse than the ANC. "@Rre Wa Mokone so on TV you just play the audio OH COME ON...is he still here "he was the image of sabc without knowledge and he call himself the best while some things were done underground without being informed 
44:22,45:26, Hlaudi For President 😂😂.. Silence them All Mr President we dont want apartheid program on our TV's "💪💪 viva Hlaudi @Thando Nkutha maybe but not everyone agrees with his religious approach does Zuma have a matric??? what is viva in eeeeeeeeeee He is comfortable and knows everything about his statement hehe Zuma has a Standard 7 no @Thando Nkutha ......But..... I thought we discussed and agreed on the next Cabinet. 
45:27,46:36, I am the most cherperson 😬😬😬😬😬😬 Zondi doesnt know what's happening.Hlaudi got him shook This is the real Agenda of the Zupta and EFF Gangs. No rainbow nation in SA. It was a huge lie. This man is a leader..... "This advovate is poor. Hofmeyr or Pretorius hlaudi ke moetapele Like Robin Hood? just logged in what did Hi miss? No @Born free. Zuma confirmed that he has standard 2 or grade 4 in today’s terms 
46:52,47:37, oh come on @Nel This is Zuma's lost Son. ja just follow over the cliff Karabi Mojela HLAUDI WAS ON FIRE... hides and runs away!! mr rau rau motsoeneng....... Oh wow so he is not as educated as I though This man can remember the resent things not older @Thando Nkutha I can't argue with that I have to agree but Zuma is more intelligent than u with your metric 
47:37,48:44, "Rob Nel I just got back. Are they still on the same violence censorship topic? SABC records and Archives are sold out to Dstv when hlaudi was in charge ......The was a studio to build... Hlaudi is having a nice time there RIP Zuma the dumbest ever eeeeeeeee is still xenophobia E E E e E E 
48:48,49:54, is still available xenophobia in south Africa today as well Hlaudi is not as stupid as we were made to believe @Sbo Gumede....you can't compare Lionel Messi with Christiano Ronaldo This guy is worth 10 Naija drug dealers alone. He always says he was taught by the struggle and no classroom teacher can claim that they taught him @Born free "if Zuma ""the dumbest ever"" became President what does that make u 🤔🤔" how many fifa @Lex Luger YEP. problem is cadre depoyement sounds like a Ak 
49:54,50:57, 😂😂😂😂 😆 He is so full of himself "true lol Lol Zondo @Tebogo Makoro I agree. Hlaudi should have stayed as regional radio manager in Free State promote violence is better glama 
50:59,51:45, don't ever confuse education with intelligence. This guy is intelligent We are Glomarizing today 😂😂😂 full of eeeeeeeres 😂 He's got Zondo saying glaramarise now Honestly South Africa needs a benevolent DICATOR because we are all pulling in different directions. @Thando Nkutha I believe that our nation has been deliberately abused for political reasons. We can be a great nation ENGLISH is not our tounge!!! This glamouring is difficult Point taken chair... Cos he seems to forget easily 
51:48,52:18, Maybe they want to say GlenMorange Zondo is also having fun now.. how did he fail matric if he can read the policies and Acts and still understand 👻 Now he is starting to sound like Trump!!?? @Zama Kubheka Still funny GLAMORIZE Hlaudi is clamaratizing Zondo 😬😬😬😬😬 not your tongs His former bosses and handlers must be hiding under the table in shame and embarrassment listening to this man. 
52:24,53:56, What happened to Hlaudis political party? Since morning @sasha😂😂😂😂 ENGLISH IS NOT OUR LANG WHEN IS ZONDO NEH?? IRONIC Dis advocate is weak you guys forget that this people were not able to go to school during apartheid time when they were fighting for the rights we have. There’s no shame in that group @Ben Cole This is not politics. This is politricks . @Thando Nkutha greed has taken over our leaders 😓😓😓Dear Bob! I appreciate you. 
54:05,55:09, Welcome home Bob Yes she is weak that is why Zondo is taking over @Zama Kubheka that true is not our tongue it a language.... #I am joking lol😂😂 "zama kubheka you are correct @Thando Nkutha how do we cure that? You guys need rau rau i won't even say anything about Bob "That advocate is acting like a cleaner I agree it is very sad @Thando Nkutha 
55:17,56:25, What a free comedy at the commission nje Qwabe @Sbo Gumede agree Dr rau rau son of glamorizing @Nkululeko Malapane OKUSALAYO UYAZ UKUTH NGITHINI LOL @Sbo Gumede true "If this advocate dankie Mangethe "i do not agree with those who say @ Rob Nel 😂😂😂😂😂😂😂 
