starttime, endtime,message
time,3:17,message . It's 10:2 can we start please honour to the Honest people gud morning guys Morning mense Fuzile is here to testify indeed Morning morning 
3:36,6:50, Morning everyone Morning morning Morning Morning Morning morning all. looking forward to today's revelations guten morgen Morning all 
6:58,7:57, Morning Mr Fuzile testimony sounds very interesting Bonjour Screen went blank Zuma and malema did something why it goes off Kuzoba🔥🔥🔥🔥 "@Vele very interesting testimony enca is on Eskom black out 
9:04,13:56, Avuxeni why does this lawyer look so skelm? Morning guys DCJ experienced He is just so knowledgeable and strong minded and alerted brain. INTELLIGENT BEING indeed Black Friday mxm look confident Mr Fuzile will see when go SABC black Friday!!!! 
14:59,19:23, SOUND PLS awu what happening now POOR SIGNAL @Nelson Musolwa he is indeed an intelligent and principled guy. He is well equipped SABC is disappointing me... "not just you 5 min adjournment lost sound on enca as well they have adjourned.. no lost sound 
19:46,23:07, "no NO You came late thats why.. you didnt hear what was planned "No sound during break. listen please OOOOOooooops!!!! my bad soundddddddddddddddddddddddddd SABC sound please sound please and u guys thought i was cray cray 
24:08,28:11, SABC stop it!!!!! Lots to learn about economic matters from Fuzile testimony appeal to all to listen attentively and jot some words down for later scrutiny for future reference Mmmmm.....i wonder ANC/EFF ...ghost in the machine.... who is going to be accountable and sent to jail after all done give us the numbers let's hear All involved are headed to prison @samuel molope no one will be sent to jail this is an ANC hoax it is a market uncertainty. Rand went horribly high a few ago.explain that to us then. 9 billion rands a week borrowed???? 
28:28,31:30, @peter pott Rand has been tumbling "strange to hear it from him Brilliant in explanations! brilliant @Quinton Van Den Bergh Quinton boet hw was jy "you are both anc deployees eNCA back on line whats the name of the lawyer adv maleka 
31:38,36:12, Adv Maleka thanks hes very methodical in his approach "Maleka and Pretorius are astood lawyers very aunthetic @Quinton Van Den Bergh Het jy gehoor wat EFF-mikrofoonmuis gister gesê het Ramaphosa to announce cabinet reshuffle at 3PM Blaze are you for real? who this guy asking these questions he looks sounds Zimbabwean "yip 
36:33,37:40, not a midnight shuffle lol "is it going to be live here lol "problems with comrades like this is bringing emotions into politics. you gain power today saw it on enca lee royal so what you didnt ask about the white man paul "@Sam Vanguard daardie idioot wil 'n burgeroorlog uitloop in Suid-Afrika There will be a cabinet reshuffle at 15h00 this afternoon. Things have really changed. No more midnight resuffles they should not take it personal 
