starttime, endtime,message
time,6:04,message hello why this video doesn't work Kule ntsindabadala yeGupta nceda usikhulule mfoka Jonas. Lasuka lahlala Mcebisi is a pathological lair. He doesn't even have evidence. How do you know that he is a pathological lair Tshepang Tlhapane go and tell those who are about your ill-informed shallow opinion...... guy lets wait and know. but this commission are wasting of resources "Dennis Tsotetsi 
6:06,9:44, wait Tshepang The thief who looted cash from PE looks scared 😳 HE SHOULD HAVE TAKEN THE MONEY BECAUSE EVERYONE IN GOVERNMENT IS CORRUPT He needs to provide proof of evidence on what really happened at the Gupta house. He doesn't have a witness. He claimed he was offered R600mil for position of FM. The money was in a black plastic bag wait for testimony @Tshepang Tlhapane Take the money and not take the job 😃 Butternut must come and account What I need to know from Mcebisi what legal steps did he took before going to media to report this Gupta crime Tshepang is a Gupta 
9:45,16:00, He must be quizzed about how he donated vast tracts of Land in the Eastern Cape to REIPPs & facilitated Multi-Million Rand Deals for them through the EC Development Corporation which reported to him. A WHOLE R600mil? 😂😂😂Not even their mines are worth that much. "I need to know which evidence does Mcebisi have in writing He is a liar the date he mention he was with Duduzane nd the Guptas was wrong Duduzane was not there nd he has proof of where he was in that day @Tshepang Tlhapane imagine mfethu... "this guy saved us from Zuma Hi Guys. Is this guy going to read all this document that he have? @The Edge Search Mcebisi did not report to the media# Why didn't he report them to the police?LOL 
16:00,22:09, How can you be so sure if Duduzane is not lying? Criminal always defend himself or herself aiy no this Leager is not srs "State resources is being abused here He shows us proof of he was not with Mcebisi in dat day Mcebisi claim he was with them in the ANN7 i why is the judge speaking english instead he should speak the language of the land which is Afrikaans troll alert everyone Afrikaans? just block 
22:16,23:37, Ronaldo u know its true Who's this?? The one who is speaking!!!! I want to hear Mncebisi not this man yes arnoo hoekom jy nie Afrikaans praat nie? "Jonas kodwa lo tata ngathi usityisa amampunge. R600million hlompi ek praat met die bantu hierso its so true yojad to say it in English OK papa an opportunity to learn LAW OF EVIDENCE for others marete a go monna 
23:41,25:27, Kaya uzocacisa namuhla R600 mill ngeke sbale Afrikaans marete Namhlanje uzochopha ayichaze... 600 mill @Celiwe Mbalo R600Mil sisi It’s 600 000 not 600 million 600 mill Really how do you pin the fmr president to this allegation. This kite won't fly in court of law 
25:39,27:50, @Muziwakhe Skhosana R600Mil chap and you say No. Didnt know Jesus has risen. Oh tjo! "Gupta removed minister 3 times in a year It’s R600 000 first up in hand then once he agreed to take the position then 6mil be paid later stage mcebisi 'Pathological liar R1 000 000 000 000 000 000 This will sound like a hearsay "he told Zuma on national television Mthobisi do u think old man like Jonas can lie?😂 
28:04,29:27, Am not surprised with you mthobisi Zuma he should speak in afrikaans uZuma lied everyday nje Mcebisi Jonas made a statement under oath in front of the Public Protector. Now the inquiry start "Fils de please stop with Afrikaans unoath is only binding if it is taken in afrikaans "ndlovu How can the prosecutor dont know? 
29:45,30:50, Ewe Fils stop with afrikaans Bra please a true south african must speak Afrikaans "this is circus we taught the bantus how to write GUPTA spy that one is sent by pravin to keep jonas in check "diotlo cecliwe jy moet Afrikaans praat "live tribalist they will never tell the truth 
31:01,32:44, @Fils de l'homme low effort bro Fils de l'homme what you on about? so low effort ;/ why do young bantus like speaking english n not their own Afrikaans Elizabeth he is just trolling everyone. Ignore. "Elizabeth Elizabeth just ignore this idiot don't ignore BLOCK "5 minutes is up 
32:45,33:55, I think we should block this idiot how do we block? i will gladly block him "ek is n rooinek Elizabeth u are in a hurry like me. while we are here can I make it be known the we will take the land. "me and you fighting to get back the land go to his comment and click on the three dots then report him "Uit die blou van onse hemel "Sometimes 
34:02,35:07, "Adam "how I the world does someone just sear next to the witness how long is 5 min again? " we will also remove that Afrikaans part from the national anthem african time Gupta 5 minutes It is Gupta to interupt why can't Malema & Juma reunite and take the land back 
35:36,38:14, tell him Philani 😂 "John block run away after long court battle LoL Phila And it has began.. Who is this fella? has he revealed people's name guy? South Africa right?? this Jonas is sweating and shaking already p 
38:27,40:31, "They said it was Jonas lawyer "zee Jonas' lawyer is the Indian guy not Advocate Mokoena.Just for clarity @Elizabeth Diotlo clean your ears "i see that Zee "its not a lawyer John was saying the Indian guy is jonas lawyer not Mokoena that was his handler no lawyer """with due respect"" stop pulling that smug face and start being serious and nail the perpetrators" 
40:45,44:07, this is just a waste of time "it's weak really to identify so many mistakes now because he is scared "@peter pott this is common btw "They got to him "Not at all Sizwe "badkamer jonas captured himself we'll see. Not sure why these guys get a special comission... The rest of us just get jail cells until we prove ourself in court. 
44:11,47:15, """am sorry Mr cimmisioner"" you are delaying this enquiry with you're am sorry..." I am seriously concerned that such specific details have incorrectly been represented and changed this morning. Its these changes that will weaken the case put forward by Jonas @Sizwe Nkambule you shouldn't be concerned. corrections are commonplace humans make mistakes 😃 Who want to kill him Michael? @Michael Holmes hahahaha @Michael Holmes why dont u go to police since it seems u have proof that they out to kill him Politicians in this country always get special treatment when they have to face the law for their criminality. Ordinary citizens are sent to jail before they could even say their names. Not fair. Can you prove your allegations? 
47:15,50:25, "Michael is right That means people must approach media houses for evidence This is just a waste of time and money. Even these Inquiries are a waste of time cause no criminal charges will come out of them... "NPA has all the evidence to persecute these clowns. SARS how is this guy questioning M Joans? Where politicians are concerned no criminal charges shall prevail. yes Marvel NPA do have evidence but they are sitting on it not prosecuting anyone "Holmes "LOl 
50:35,52:52, Hahahahaha Jonas found out on TV that he was fired. Hahaha Imagine knowing that you've been fired through the media😥😥 "Romeo we are today because of news you are talking about Eish Michael it is so sad hey Jonas has now relaxed and he is becoming confident... Marvel just said there's evidence by the NPA.Angsazingeni "Ramatshela Think about this....if his life ...and other's were threatened.....then they have something very big to loose...don't you think guys. They wanna die martyrs 
53:36,59:45, next time take pictures jonas! you see Amarosa recorded the President and certain staff members zuma is a dangerous man It looks like Duduzane was powerful during his dad tenure as president "Now it seems most of these politicians are corruptible "hate him or love him "jonas is skelm too Interesting revelations "weakness too Yena Ayakwini?? 
59:55,1:02:31, "lol maybe its Ajay as deputy minister you exchanging sms and calls with duduzani Zuma LOL @ talking like a radio "Wow he sounds like Dali Mpofu he soims How do you as deputy minister get in a car not knowing where you going how does he remember all these? Interesting. 
1:02:33,1:04:02, "did he say he sounds like Dali Lol Gupta's have information on him and the one's close to him they prepared it b4b "Buy why did he go there from the 1st place he is reading his statement "Zee he has written them down lol What makes some of you think his lying..don't provoke our sober minds 
1:04:03,1:05:45, "@Marvel Ramatshela they drove in Duduzane's 2 door mac. Not a state vehicle. Rewind "The ""old man""" In control of everything? I know I mean when he wrote his statement how did he remember all the details It seems like at first he wanted to work with Guptas but something happened and he changed his mind .. why is he smirking the whole time. i like him a lot but the smirk kind of bothers me or smile. maybe he's nervous "600 million was offered rha imali yethu R600m 
1:05:48,1:08:09, "Lol yes Michael we will varaza it did he record this somewhere on his Cell phone or his just saying with no prove? "Now Mr jonas "R600m "How does a man oh high statue like him "Desmond Masilela it was gonna be cash @ general When is the Main Actor going to take the stand? Thank you @ Chris Pretorius 
