starttime, endtime,message
time,4:16,message I am certain that this witness will boost my confidence in this inquiry after a disappointing two days testimony from the previous one. note its still early more than 30 witness are lined up. So one or two should not spell doom. Possible Former Minister Mbalula will take podium this afternoon so as Pull a Williams "Others on the are current and former ministers Yaaa neh... @Thiza William We are now about to start. Sello woman again 😩😩 Mental case is such a drama queen. State capture is fake 
5:46,9:10, my lady Mentor I was ur body guard last night Jackson Mpala idiots like you should actually keep your thoughts to yourself as you are brain dead Thank you for your service Noko. you r welcome Mr Venter Kazi yozala nkomonina Morning All getting interesting hey when are Gupta and Zuma taking the stand why only the Boers are so excited at Mentors fake testimonies 
9:49,13:15, Lol @Jackson Mpala Already she is contradicting herself I dont think Mentoor is lying they all lie Hi ALL "this is a smokescreen Why did she need to consult for her to maintain her statement if she telling the truth Le izophuma nodlolwazana "Why would she lie 
13:38,17:27, "fat lady needs a few years in jail "Usis’Mentoor lo ubetha abanqandelwayo @le roux dont be so quick 2make that judge @ Ganasan last time i checked your girlfriend was fat Jackson Mpala because we see the truth and not lies that your people tell under oath I see all these hearings and enquiries but no prosecutions. It's just a massive waste of time and money and to fool the ppl to think we dont like corruption "She was fired klk lonto ezityand'igila She thought it was going to end o facebook. On facebook she is a sensation and big celebrate amongest the boers because the goal is to weaken the ANC and strengthen the DA Le Roux - the ANC is the African National Corruption party led by Cyril who made millions from government contracts 
17:45,18:57, Stealing is stealing "@jean I can't wait for Zuma to take the stand! @le roux bye man and stop waisting our time the demeanour says it all. a spade needs to be called a spade Phof Zuma is too much of a coward he'll never risk cross examination! The boers gave her large sums of money to lie about the state Our Country is about to be removed on some People 's hand. is interesting. 
19:07,20:45, You're talking nonsense Jackson! do you think guys is making up all this??/ Jackson Mpala prove it idiot JZ and his son will do well in jail She's not like Zuma who sold our country fora plate of curry! they belong in jail thando - looks like she eats a trucklaod of curry every day DA dometsic workers and gardeners are braiwashed to defend their masters "To my perspective 
20:59,22:55, "@jean if these people can just call malema to sort out this whole thing will take him only one day Marvel I fully agree with you "@Millicent Shozi  Mandela's legacy - a party and government that is corrupt thru n thru. He must be turning over in his grave @Thabo Kganyago I think at least 52million ppl in SA think that most Zumas and Mandela's son must be in jail to me this state capture will expose the whole ANC. it is clear that zuma was captured and mentor and company are using that to fight their own battles. This makes me questio the intelligece of Madonsela "@ganasan 
22:55,23:53, "eyesight??????why must she read Do they not fear their lives ? who wouldnt be nervouse on this spot? Jz nd dudu can't wait to see them at Matatshe prison' "Jackson Mpala you have no intelligence  So even if she is lying she is BRAVE! "fat people are a blight on society. Lazy body Now she claim eye sight but she is ever chatting on facebook "Mpala! our challenge in the country is that we allow many to get away with a lot of things 
24:01,25:25, @le roux you racist "@Jackson Mpala  madonsela was never fired Fakey is back. day 3 "I understand why she's nervous The anc government should be ashsmed of what they have done to this country. corruption everywhere Is she wearing the exact same ring that vyltjie was wearing yday?? !??! "kganyago 
25:50,27:32, i dont understand why would people protect corrupt people just because they belong to their race Lorna - agree 100%. ANC has destroyed your lovely country "@J Ganasa 🤣🤣Zynab sold our country for a of curry 🍛 "@peter pott  yes i agree with u jz and his son they must report them self in jail This country is not destroyed @Ganasan - May I kindly suggest that you withdraw your view about full bodied people. I don't think it's Ayoba my guy. Zuma also had to manipulate NPA by appointing someone who will delay prosecutions of top officials..Shaun Abrams..that's why he had to address the parliament over pending prosecutions of top officials you stole our land yes rot in jail 
