starttime, endtime,message
time,2:42,message haai mbeceni kulindwe u Jimmy Mnyi yini Labantu akaze basigcine iskhathi nakanye what time are they starting kodwa baba Zondo ngathi uthatha kancane akashitshwe kungene ubabu Maseneke "ज्योतिष से संबंधित सुच्चा मोती "Will start at 10am It Has Started 
12:31,14:13, Ramatlhodi In The Witness Box Counsel looks unsettled mus nje she's nervous lol what is she saying who is she Counsel sounds and looks rattled.... who is she vele yerrr Ngathi it's going to be a looooooong day klaar 
14:23,16:34, She is really nervous She Not Prepared A very loooooong one indeed. Law school revisited Too much time at salon who is the lady? I'm better that her boring day "on page 6 
16:36,18:06, Not Enough Time At Salon yawn....yawn......yawn 😂😂😂 my grand mother can do better "sorry for her @Thando Nkutha true that! "yoooooh mmawe The DCJ is giving her some lessons😂 @Thando Nkutha . true 
18:25,22:29, but this one nooo you cannot practice in your room alone who is she? she must be fired ake simunike ithuba bafethu..hawu don't be so harsh..lol :p thando onya mmago wakwa Akesizwa ke please stop it. already fighting after only one question? 
22:37,28:22, hawu...no chill tuuu chill guys. pls "all of you that are insulting each other here "thando the fat chick is disturbing misogyny ...added to body shaming. @Mfundo Kunene give it us all baba plz guys stop it plz 
28:37,31:41, who is the lday? la bora maaan @ S'boniso Qwabe she is not fat she is thicc Now I see why Sipho Seepe was often defensive of Zuma in his analysis irrelevant cousel "being a woman i tough yerr "i agree with you counsel is nervous but let us give her a chance "Ramogolo Abel please be honest about everything I love listening to the struggle story. 
32:00,38:59, Ngoaka s history is very rich. "@Thando Nkutha i wouldnt say they are stronger "@Thando Nkutha but yes Father Zuma ??? "this is important evidence it shouldn't have been lead by this woman order @Tobo Lwandile she is also qualified to be in the space...allow her please to practice "@Thando Nkutha well @Tobo Lwandile . but DCJ is there to assist DCJ is there to support her 
39:36,47:08, you see now dcj is taking over remember they are all asking and responding the DCJ she is beautiful no doubt she beautifu she knows we know she is lol "@Thando Nkutha yes they are strong @Thando Nkutha thank you Come out with all of them baba. 
47:11,50:20, Ngoako is exposing Zuma Ngoaka is speaking nothing but the truth. She is my sis and i am proud of her but i feel she need to add some oomph to her voice to have that conviction. Yah he is nailing him... i am raising this because i did not observe these comments when maleka and the other male advocates lead. it just not on. zuma didnt attended gupta wedding we had no complaints sindi Gedleyihlekisa was Guptas puppet His Imppression? 
52:58,55:39, When Zuma goes down a lot of prominent figures in politics are also going down. If they don't protect him they are going down SHOW OFF! ahwa...DCJ must allow my sister to work here "JZ is a great politician i wonder if Zuma and cronies ever think of whacking each and every one of the witnesses It was clear that the Guptas were leading this country. JZ was only their proxy. the guptas took an advantage of our president. honestly!! kulungile mfanakiti The evidence leader is nervous 
56:50,58:19, @Singi Mathebula . the question because why were they taking advantage. what is it that gives them that hold over him and the witness knows what he is talking about. leave the evidence leader alone. @Singi Mathebula You Cannot Buy What Is Not For Sale The look on DCJ when it was mentioned that the Business indaba will be held at Gupta home. Rama is exposing them tjooo🙄🙄🙄 Ngoako is spilling some serious sauce here EH! Guptas mara Iyoooooo Guptas they really had a plan and ANC helped then 
58:27,59:01, This man ain't holding back ish! there is a canary in the seat.. he is singing Ngoako Ngoako In their home? A government thing? Shhhuuuuu!!! 😂😂😂😂😂😂😂😂 those reactions 🤗 Mokwena i hope that you are not endangering your life here... Viva Ramothlodi! he is on fire 
59:03,59:28, thats great of him RAMA there is something that gedleyihlekisa took from them of a deal of some sort was entered into At their private home I salute Ramatlhodi Former minister telling as it is. "NOT SUMMON "@Tshepo Mahlangu. It was just a fallacy propagated by ANC that JZ was a ""Politician"" before his association with the Gupta. The fact is JZ was a headache for the ANC in exile!" """ my people perish because of lavk of knowlege"" so say the Lord. thus is the only reason why the guptas took charge ." he's brave 
59:32,1:00:55, Guptas were Some Rockafellers some sort. For what? Judge Zondo Lol ZUMA actually zoomed the country into the guptas ADV IS A Wow Hahahaha DCJ Zondo is SHOCKED! please check his pants 😀😀😀😂😂😂😂 Zondo 😑😀😀😀😀😀 "we arent stupid @Star Shine . of a worst kind 
1:00:59,1:01:59, He was waiting for this moment to spill the beans His got Guts Summon President yerrrrrrrr Thank you Adv Ramathlodi 🕺🕺🕺 "Uyacula straight u Adv. Ramatlhodi and he is now going tk thee public and disguise as if he knows nothing. "I have just started watching from the beginning @Mfundo Kunene @Sne Mdletye Ive done reseach and most of the institutions in south africa are white owned and labeled @Valencia Makola Indeed 
1:02:03,1:03:40, @dave east. Correction! Only Zuma supporters were stupid not to realize that they were being led by a deliquent! "Mantashe went to Saxonworld twice "If true Mantashe is weak @Job - It's a pity most of them still believe he did nothing wrong. What is great about that cause the guy is weak Kwasuka lokho camping. lol @Job Mokolutlo ANC today made deals with france who owns their train manufacturing company gibela at 61% 
1:03:47,1:04:07, "@dave east and some of these institutions are sluggish in transformation 😁😁😁😁😁😁 bombs!!!!! Camping there Demmit🙊🙊🙊 Guptas ministers 🤣🤣🤣 just dissolve the whole of the ANC and EFF! Lets start again! Hahaha Ngoako uyabatshisa hahaha Gupta Ministers 
1:04:11,1:04:35, Eishhhh this old man is divulging everything here. please honourable ZONDO. please pray that ZUMA GUPTAS be hanged. because everyyhing from him will be rotten. Naye uzotsha Disclose I like this man bafethu 🙆🙆🙆 Ziyabuya hierso vandag.... Uyacula Adv. Ramatlhodi "Yes Zuma Was Fishing "look at his lips Zuma just wanted to be the richest man in the country.. especially through his son (the youngest billionaire in the country).. 
1:04:36,1:05:09, yhooo kushubile🙊🙊 no sugar coating anything woooowwww he is on fire Zi'BONDILE There you have it guys! JZ ministers were proud to be called Gupta deployed Ministers! So this is payback hey lobaba ngiyamnthanda yazi The investigation is something that is very important of the country. CIC has made it possible for us to rise our voice. Adv Rams is even helping this lady because he can see that she's not asking relevant questions 
1:05:11,1:05:59, "On fire for embarrassing others WOW 😱😱😱😱😱 ei Ramahlodi spilling the beans. yo Wow... now this is true testimony We still need Mr Ramatlohodi in the ANC Zulu or not... ABA'SHE "from Adv Ramathlodi's evidence Zuma is not the only sell out i think drugs are dangerous this witness need help Zuma was returning the favour 
1:06:07,1:06:52, now we are getting somewhere even Zondo speak fast today he is lying. @Mfundo Kunene yep "l think zondo must end the commission  "the NEC sucks Hahahahaha we would close with a tangent uBaba Rama is on 🔥 THICC he is spilling the tea 
1:06:55,1:07:58, this lady is boring man she needs to speak up It seems some people don't want to hear the truth. 😂😂😂 @peter pott . who is lying they were camping lol President s powers of the ANC are too much if that so but I know is the last speaker in ANC event or meeting. 😂😂😂😂 Thank you Mr Ramatlodi you actually make it easy for us so I WONDER if there are practical edidence so that we punish people and save our country and organisation zondo seems furious 
1:08:07,1:09:03, Rama ke bosso🤗🤗🤗 "@Singi Mathebula @Singi Mathebula. I concur with you fully here! Zondo might as well close the inquiry because the verdict/findings are obvious! zondo understand and knows that the eff is going in the right direction i like this man Rama on fire Zondo loves this "@makola @dave east he should be "He is SPILLING EVERYTHING today 
1:09:03,1:10:16, Rama dnt want to leave any stone unturned this chief is my hero he got no breaks he tells it all @Ayanda LOL 😂 the tea is SCORCHING HOT "Ramathlodi is actually directing the whole process Yes But It Takes Big Bait To Catch Big Fish clear concise convo Rams was sacked because he didnt want to play ball with the guptas Rama reminds me of Malema... explicit and straight to the point thixo "i'm glad that impeachment is finally constitutional. you cant give an individual absolute power 
1:10:28,1:12:16, "Adv Ngoako has nothing to loose very interesting. is manyi learnig something from this witness? @ nkosi nikiwe this man is on fire...he's saying it all "@Sthakathi Khumalo the problem is that Malema doesnt speek from a factual point Come running 😂😂😂 🐍 Eish...Ramatlhodi's testimony...lekker...But we were not there so a lier detector test will do I just love his beautiful illustration we might as well conclude after this evidence it's explosive 
1:12:27,1:13:41, hehehe python This is what the late Honourable Chris Hani talked about when he walked out of CODESA. The Gupta family was brought by Mandela. That's when this rot commenced. But I am glad Rama is speaking out. can of worms "Mfundo Kunene but his evidence needs to be tesetd by the way. With Malema just a wooooooooooow 😂😂😂😂🐍 sing baba sing 🐉 If Only Pravin just spoke like this one here!! 
