starttime, endtime,message
time,27:32,message 🔥 well don S.A take your optimism elsewhere rEEEE did he get a lawyer so almost 80% of ANC leaders will go to court after #state capture bcoz most of them are involved icluding our puppet president There is no gaurantee "@fikile mbokodi Yes 
27:34,34:08, this is just worst of money. *Buthelezi 8.2Approval of expenditure [Section 38(1)(f) and 76(4)(b) of the PFMA] 8.2.1An official of an institution may not spend or commit public money except with the approval (of a properly delegated or authorised officer. 318m to maybe get back billions. Fair State capture for me it's just a gossip place where they want talk about each other..no results..just creating hatrage. Not worth the shame Why do people say it is a waste of money to find out what happened to taxpayer's money????????? @Themba Mdlalose exactly 
34:46,37:59, has this commission cost more than Vrede? i like the evidence leader she is a viper shes getting to something nd trying to push her point through shes getting somewhere GET REKT RICKTY RICKED hai dont play games vitness shes smart 
38:38,40:13, even mr zondo seems to no what is in her mind NO HE BROKE THE LAW @Roza essack he seems to have respect for her yes he does "@Nathan Janari hes haggling not like the poor evidence leader earlier this week for sure come clean Thabete!!! 
40:19,43:04, admit it was a bad idea or else forever seem stupid @ndzalama ngobeni they tried rthe hide the name of the recipent of the funds. sounds like laundering yes he no.s what hes hiding does anyone know why there was no chat this morning? yes and rackeetring @rosalind gerber he took this thing to india coz he did not want to show what they were stealing hmmmmm ja hmmmm ja 
43:12,44:09, 😂 now the auditors are wrong Rosalind Gerber I also want to know "mdlalose ;people who talk like that  this woman is BOSS "...Everything established by the Gupta s and goes and goes and goes in the Gupta s pockets. A monopoly is said to be illegal AKAHLEKI LOSISI auditors unqualified🤣🤣🤣🤣🤣🤣🤣🤣🤣 She is well trained excellent 
44:32,45:46, This man is trying to be clever This Thabethe I have a huge problem with him 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ embarrassing his situation he clearly showed to be puppets YIYEKE ZONDO SUYCACISA What prevents this man to come clean? orange over-alls SUYCACISA the lawyer could pick up the stealing nd a auditor could not yeesh!!!! SUYCACISA MHLEKAZI YIYEEEEKE! on coming clean 
45:49,46:48, unqualified jus means not done to leglation come on Zondo... lock him up "Don't worry hehe this witness is full of holes... HE GOT HIM YIYEEEEEKE TATA! THERE'S A BIT OF HOLES THERE mr thabete stop talking u putting urself into jail 
47:47,49:03, i want a hole in Ace people must know that orange overall is coming He thinks we are playing marble here. miss lawyer go for the jugular now this stupid says he's not too sure whether this AG report went through all the channel and then he say on that same reports the AG say they got clean audit how did he get put into that position without knowledge of anything Taking himself to jail by protecting some people. His evidence displays so much dishonesty. "Lolol "Lucky123 Thwala THATS WHY I SAID ""HE GOT HIM""" 
49:23,51:49, he's systematically throwing himself under the bus. yes she sharp as a tack this leader is BOSS "PEOPLE FORGET ABOUT JAIL MAAN "siya siya lets hope they go to jail otherwise R50 bail remember that these people do fake qualifications. no wonder they are like this Vrede has cost more than the commission? 
51:49,54:14, unqualified "Siya "@Person of interest AFTER THIS WE ARE GOING FOR A RECONCILIATION COMMISSION every head of all these entities should be suspended they cheerful coz they know they got him. Hawks must fetch Ace. 280 mil could have build so many houses for the poor people sies man dont these guys have a consience Siya Dilimeni this commission and findings might be another TRC without Desmond Tutu as Chair. @rosalind gerber but we have recovered lost money so it was needed. "@Roza essack 
54:14,55:27, "no Nathan He is likeable but he must go to jail for protecting the crooks @Faith mathebula its acountablility. yes not yet @Person of interest 😞 He is likeable but he must go to jail for protecting the crooks I thought some monies are already recovered 🤣we must be patient likable? 
56:01,58:52, Yes he is😂😂 likable because he's 😂 laughing nervously @rosalind gerber I think it was the Regimens money that has been recovered hes likable to a point of trying to hide everything Mr Thabethe will always assist I wouldn't I'd employ this clown Person of interest😂😂something like that. why did.nt i meet him b4 maybe he wud have thrown a 100 000 my way likeable by who guys?We don't like that person he has let us down in many ways. 
59:03,1:00:25, 😂😂😂DCJ @Roza essack exactly - and you would probably have done the job 🤣🤣🤣🤣🤣 "Zondo can be relaxed with this leader adjorn jirrrre before we even get to the chicken well at least i would have got a few litres of milk from those cows ...The Gupta s usury was intentional which is theft of Government Funds. 
1:00:26,1:02:43, zonbo interfering... "@Person of interest Yes "zondo and the lawyer are smarth "don't froget the so called ""white monoply"" capital" """Round tripping""? New term for me this!" 'indian monopoloy capital' @Faith mathebula IYAFANA NJEE.. NO HARM IF THE BUS WON'T MOVE Solomuzi mazibuko he is a nice person who was tempted by the devil😂😂😂 "Faith 
1:03:17,1:07:29, he'd have to look hard to find a moving train in SA even by throwing himself under the bus hes going to get up unhurt Thabethe must accept they made mistakes they knew exactly what they doing and that's just for one deal You're right about that Roza - out and out theft hi baby what up it seems like the chinese fish-farmers had more success than these clowns "MONEY IS THE ROOT OD ALL EVIL 
1:09:21,1:14:54, let these that are implicated face the nation publically nd let tge public decide what to do with them "First let the Asset Forfeiture Unit do it's job Thabethe after Gupta's they give Etso civil to run that project who pay them vang hulle uit "And im waiting for municipal inquiry @SABC Digital News Please check the sound - there's an echo. @Lee Hendrix ??? "the State capture is unraveling too quickly! We as a people have to give our environment time to recover 
