starttime, endtime,message
time,10:22,message where is everybody? here @Sindiswa I’m asking myself the same question Never loud enough!!! why focusing only on one person? morning everybody sound Do we have sound here or am I deaf? 
10:24,11:36, sound @Sindiswa Moolman it back now check your volume sound check I think iam deaf turn it up1! lol @Luckey Binali i have ear phones in and cant hear sound is ok Can't wait for the outcome ! 
11:40,14:10, "check one  sound problem need to be a professional lip reader to follow whats going on here sound is bad Thank you..the sound is on now sound is to low Had to have my earphones on to hear @Antonio Joao Maiela Nhambirre watching with interest SARS i was waiting for you 
14:24,17:54, welcome Miriam reminded of ancient egyptians holding the t what does she do? Manyi who carried out the instruction Maseko refused to is here. @issaac I need to buy new ears 👂 @Luckey Binali u have to LB we'll see if indeed she will She is holding the post Maseko was fired from 7 years ago @The Consigliere tell the truth 
18:34,22:15, "i swear that what i will be posting on this platform shall be nothing but truth @sindi.....thanks @issaac i guess so Long service with GCIS... "Jimmy Manyi @deon that's right id waste of money why cant we adopt the british way who dont own IDs "all least her English is not broken He is an interested party today because he was implicated yesterday@KEITH SINDILE DINABANTU. Hope he will give testimony later in this inquiry 
23:17,27:04, @Sindiswa Moolman I can not wait to hear from him my dearest! He can talk LOL @Thando Nkutha exactly xDD She is talking alot sjoe "all this talking She is a Communicator by profession @Johan Le Grange. These people can talk and not communicate. mr v for uou Phumla Williams is clear and precise. To those who think we don't have brains in our government who is the lady asking the questions ? @Sindiswa Moolman He's accredited and lets hope he'll have a chance 
27:12,30:35, "Johan she was asked to explain what is GCIS  yohhhhh she will talk-o She is Adv Kate Hoffmeyer @Mr.V Joel Netshitenzhe is another intelligent fellow. @Sindiswa Moolman thank you ! 😃 @Sindiswa Moolman Who's a communicator by profession? i find this hard to believe been round deepest rural areas never have i came across these people I have noticed that female witnesses are led by female evidence leaders and men witnesses by males. "Yes she is clear nd xplaining her role in the govmnt nd not reading what they wrote 4 her  
30:56,32:40, she looks strong Yes @Sindiswa Moolman i think it is to illuminate the intimidation issue @Sindiswa Moolman And Mentor as well? Wasn't she examined by a man? Did the GUPTAs give her the job? She understand Y she is her A person trained to Communicate a message or information@KEITH SINDILE DINABANTU guys pls school me here how did the guptas get to that stage of having so muvh power on government @hilton modike you can have anything you want in this world when you have enough money ! 
33:10,34:42, "@Vukile Racaza Oh gosh Mentor was led by a black adv lady...Adv Sello @KEITH SINDILE DINABANTU @ Hilton u will never get the truth cos it was lies and those greedy to have it agencies rubbish cheap labour no benefits is she here to testify against guptas? bribery and corruption is what caused this county to seen as trash ! you could also consider incompetence. lets here the other side of the story which no one has in the inside of things at government level vs business before we can judge anyone No Philisiwe to tell us the truth nothing els 
35:08,37:25, "Zuma was bribed by the Guptas and when they got greedier Zuma could not escape but also benefiting from all the ""proceeds""." @phyllis what about thr billions which were syphoned off to shelve companies in china .i guess those monies could havr benefited the poor ... i agree was a guy by the name of salim issa been ever elected to b in government because a lot of tranfers were done through him @Hilton is media who told u that im not a media puppet nd bleave what they r telling us money laundering I agree @Thando Nkutha. I am liking her. i know where this is leading At the end of the Day the Mob Rules and there ain't anything we can do about it.... 
38:06,41:52, @phyllis there is a proof from prasa that monies for trains were transferred to shelve companies .would u may b advise why ?? "i think thy had a clear mandate but could not excute it Just another hearing which will end up a waste of time and tax payers money..... @Hilton what about the money they told us about the treasury hulisani fully agree "@Amery! you sum it very well. who knows @phyllis corruption is bad from both private sector and public sector .we should never turn a blind eye becos of the crumps which we gets from tjis cabbals .becos its the poorest who will suffer I am afraid of this lady! ☺ you can tell she is a no nonsense boss as DG☺☺☺ yes always the poor suffer 
42:52,47:21, All we need in the public service @peter pott "@Sindiswa Moolman Thanks for some interesting "Agree Lorna she 's poewrfull nick at least they still get food parcels why is this lawyer moving backwards quastion has been answered Maseko did say February... "who is supplying water South Africa needs young leaders of all races with vision & a purpose to achieve in order to move us forward. The continual looting & corruption of the old boys club has to end before it is too late 
47:38,50:10, the issue of he and she though😅😅 it's a cultural thing well said Nick. what are you asking? he went to another department without interview. Mr Maseko is as corrupt ola bom diw brasileiro solteiro oiii she intoruduced himself "Thando hey! we don't have time here. we are in a hurry. ☺☺☺ 
