starttime, endtime,message
time,11:06,message I hope this process prevails justice for this country. Prime Minister by default continues with his testimony at Zondo comm Morning all ✌️ Morning Darren he looks like he's on meth ok o berco do vudismo a m 
11:17,19:46, correr na lei what put eff and blf together against pg yet they were enemies "Let me watch for 10mins and if he continues with preaching I hope he clears his name today "Tday we watch state capture b/couse of Mr Nzimande ramaphosa involved? am curious! Owen nyibilika that's true @Owen Nyilika WE WATCH STATE CAPTURE BECAUSE THULI WANTED TO SETTLE SCORE WITH FORMER PRESIDENT "This state capture we are watching today is because of Blade 
21:54,25:30, "They not get tenders in eskom  @Makwa Are they the ones who told Zuma to allow Guptas to use him? Zuma’s 1 decision costed the economy 100s of billions of rands. What a joke what happen to Omotoso? "Steinhoff too Will take 20 years to recover for south africa to normal place in business "Omotoso lesteriosis Vavi malema blade and others played a prominent role in zuma ascendancy to power bt t consequence might have less to do with them Owen "I was very busy with wmc 
26:16,30:31, why is he talking 2015 economy we want state capture not history lesson Enjoy beautiful people.. Malume Joshua Door is just on his preaching spree! I am not missing my lectures today🤙 Who elect a president such as that one to lead a country such as ours Pravin is trying to explain economic vicious circle SA was subjected to by clumsy zuma decision as he got no clue about economy The fundamental question the ANC must answer in this inquiry is what did they aim to achieve by deploying an illiterate person to be the Head of state! Job u have the fact I agree with you PRAVIN GORDHAN IS THE DEVIL """Foreign money is neither sufficient nor even necessary for economic growth & development. Foreign money pursues foreign interests.""" "@TRUCKER Careful 
30:32,32:51, "I give it to Mr Pravin Gordhan he is a smart guy he knows how to tow the line strategically @Job Mokolutlo do you seriously believe Zuma is illitarate zondo has two years to uncover state capture....i think the extent of state capture is beyond everybody's imagination...so lets wait patiently and see load shadding again These power outages when crucial information is given it's deliberate. @Mfundo Veerasamy We are not here to connect dots. We want evidence. This is not a playground. Produce solid and concrete evidence and go home. Drives me crazy. @tebogo ramakgolo very true we should brace ourselves. @Trucker if pg is devil what is Zuma and Malema? 
33:15,36:59, @Peter Sant Zuma is a champion of the people. @Mfundo Veerasamy true they say the DEVIL IS IN THE DETAIL "Pravin is not a lobbyist😂😂😂😂😂 Politics is a calling to him not a career @Trucker he is indeed the champion of corruption @Trucker you mean Guptas what the f@#K is he talking of now? "@ Mpho Kgomo PG said Politics is not a career! I hope Municipal Councillors are listening to this ethical leader very attentively! why PG not giving evidence 
37:12,39:43, @Job Mokolutlo they are not listening they have GRADE NINE Am a Zimbabwean but I like the way SA holds people accountable for their deeds "M NOT A COMODITY FOR SALE In a move to start the state capture the cost to us was over R100 BILLION????? """I am not a commodity for sale"" Pravin" we do not care what he fears or if he is for sale or not we want evidence to state capture Zuma is not Gettting any younger We all know @dave east is a moron Do you know more than Pravin Solethu? deffinately worth a watch since we all are paying for it 
39:56,41:42, PG says he is not a commodity for sale! How many of the ANC deployees can say this without contradiction! dave has captured this platform that's why he's still here "@dave east if I knew more-than him I will not waste my time listening to State capture. whats your point "we not interersted in nuclear deal. we want evidence of state capture if you want proof i can send and make a video about it Eish @ Dave hold your horses you sound impatient with his approach. Guys the DEVIL IS IN THE DETAIL this is already evidence 
41:55,44:53, The Millions of Rands that have lined the pockets of the Tender preneurs and Zuma and Gupta contacts have deprived millions of our country men of homes and basic services. "People are waiting for Bombs "Oh GOSH so he is the lawyer now  @Nkutha. Talk and sloganeering is very much critical. How else did Zuma become the President without any formal education? "dave @Athmanand Singh can you point me to evidence of those tenders please dont pull a fakey *Mentor* on us @Mfundo Veerasamy TRUE and THANK YOU "👍 @Mfundo Veerasamy​People are waiting for Bombs keegan what background do you come from and do you want proof of my facts. YES OR NO??? 
45:08,47:51, PG is giving evidence that will show that that the state was captured. South Africa is on a decline curve that was initiated by Zuma It is obvious that Collective Leadership history in ANC never saw the light of the day during Zuma era. It was only about him and his friends guptas included @Mfundo Veerasamy we do not have 5hours of how things work. if he just gave evidence in a well prepared manner he would have done so by last month @Athmanand Singh YESSSSS "so minister no evidence here but rather shows Zuma was incompetent nje "Yesterday Mr Pravin explained the structure of the role players of the state capture and now he is dissecting the nitty gritties "This man is politician 
47:54,49:31, "@peter pott you picked it up jah neh this is dangerous what talking about ? @socabonita the ministers are outsourced to do that guy do you know that the IMF is telling the South African government to stop expropriation of land without compensation "No one can do a thing to Zuma talking about Discovery Peter what or who is HQ?? The learned Judge will draw his conclusions why are you guys getting edgy Some people dont understand the finer detail of state capturing. Rather listen to his evidence. 
49:33,51:17, "@Louis Eloff me I am lose now "Dave I am fortunate enough to share an environment with all races Invest offshore in Euro 👍 He's connecting the dots everyone in South Africa could only speculate on if you actually listen "@ solethu matrose @myburgh☺that's is head quarters. hence he had to finish his term as head of the organization this man mix everything "@Louis Eloff  
51:27,54:02, indians have a caste system and the darker uou are the lower you should be in indian and thats FACT. Do you want proof @dave east No we are not interested. "@nhla xwale  mob psychology is at stake here. Pravin never pronounced before hand that he is coming with a bomb and every one must take cover. Its us not him😂 Pete pott. i agree. Jacob Zuma did not create the state capture concept. the ANC did. Zuma is gone the State is still captured. "@Mfundo Veerasamy the is a investigation that will be done by commision I sure the evidence will save lots of DATA u cant expose corruption if u are corrupt "Attican must be carefully do""nt trus india" we need to stop pretending that these values from india arent brought in from india. we black people need to deal with this NONSENSE 
54:06,56:28, so now PG is saying Zuma appointed him even though he(PG) was not fit? "Yes we all know indians have a caste system which divides the indians in four groups if I am not mistaken @dave east The Indians you so blatantly discriminated against were brought here as slaves and still they outwitted you. What does that say about you? @Thando nothing new thus far "Trevor "Pravin Pravin.. Jamnadas New for Zondo' s commission "@Houws Houlinou Jah I was about to say africans never enslaved black people but indians did particapate in the enslavement of Africans and thats a FACT. DO you want proof 
56:48,59:00, sometimes it's useless to use racist statements to defend corrupt people i don't think the EFF has got something on Pravin. they just have a grudge against him. So ask yourself this question are all dogs violent? Or for example will all men go BOLD when they are older - The answer is no - Stop Generalizing. I am not interested in your proof as it misguided prime minister of republic is not making sense at all. @Mpho Kgomo I am getting sick of this Dave racist "Nuclear was Mbeki's project and it was going West "Dave indians worked with the british in the enslavement of sfrican people and i can mske a video of it eith proof can somebody please tell me where do the people suck all this crap out of 
59:06,1:00:42, @Thando Nkutha we can afford nuclear we can pay Russia with enriched uranium Please do not comment about the Indian cast system if you do not know about its origins @dave east I don't think you are capable of making anything. lol what must i do with my electric car....we need nuclear @Aaron Human drive it' "@Houws Houlinou  I am trying but f#ck it is difficult @Thando Nkutha You don't even know why upu hate Russia. 
1:00:46,1:03:49, "Dave is really speaking facts @Thando Nkutha stop it with west propaganda russia is one of the country that are(is) unlikely to screw you when you have a deal Thando nkutha its true he must be blocked there is no coal mine in cape town. they are on nuclear power plant. are they paying less or more on electricity? "@Houws Houlinou @peter pott government is a scam the energy is regulated so that everyone pays the highest price @Thando Nkutha You're one of those people that read opinion pieces from biased media houses and swallow it up without questioning it. No critical thinking whatsoever. @Thando Nkutha If you're going to speak you must substantiate. Don't just dismiss without presenting any useful facts. @ Houws Houlinou See the 3 dots on the right next to a comment? Click there and the last dot says BLOCK. Click there and Dave East will be gone from your feed 😃 . 
1:04:01,1:05:56, "there is where the point is: SAA will always seek for funds. leasing of ""our"" fleet is killing us" @Trucker Says the one without facts "@Thando Nkutha I can tell by your comments. ""Russia is the last country you want to do business with"" But you haven't even bothered to say why." were the airlines leased to guptas? "Dave if you have missed this "@Thando Nkutha Yeah whatever guy @Dave! You must serioursly self-introspect on the hogwash perception you hold of Blacks against Indians! don't walk away Dave needs help "SAA is paying R283m a month 
1:06:12,1:08:11, "ANYWAY...Pravin claims to have exposed corruption PG has been a in the struggle long before some of you who are making comments have been born. @Thando Nkutha LOL whatever guy. You're still clueless. Does anyone remember under whose watch the SAA fleet was sold and why??? keenan im not soeaking to you move on and stop being needy. move on "mr know it all  @Athmanand Singh even if he was on struggle before universe came to existance all we need is evidence that guptas captured state @Sandile. Go ask Dudu Myeni Dudu Myeni 
1:08:24,1:10:00, Many years ago there was an American who was the CEO of SAA and at that time SAA was making a profit. "this Trevor Manuel he is praising got us into this agreement. tell the truth minister. and from whom are we leasing from? SAA can tell us this cabal is fooling us. Trevor Manuel must be called too here along with his wife bkack people are in this deprieved positions because you love to play too much if you want proof of anything ive said ask me "@singh @Thando Nkutha You're saying a lot but you're not saying anything. So Ms Myeni wanted to buy aircraft for SAA and why is that so wrong? @Singh. How many Black Africans benefitted from the profits made by the US CEO? 
