starttime, endtime,message
time,7:33,message 🙄🙄🙄🙄 😳🙄 PG 🔥🔥🔥🔥 Now files are coming out 5 5 009550388310 
9:09,16:28, yebo Iyoooooooooooooh 안녕하세요 arrest him full stop lets clean this people out. full stop let him resign Let him go to jail point suunyboy "when you lie under oath  
16:33,21:10, interesting revelation truth or not join the dots cant say anything politics is not my cup of tea We want to reclaim our country from thieves "bhekisisa madida Nothing bro Hahahaha prime minister 🚓🚓🚓 arrest them one by one CR17 Let him tie himself in knots. we expect his resignation after this testimony. "JOSHUA DOORED  
21:52,27:05, there are so many clever people around today PRIME MINISTER OF RSA MUST GO. HE IS MORE DANGEROUS THAN ELECTRICITY what a waster of time. this prime minister of republic ( joshua Doore) is talking nonsense he runs around the country like he is the head of state. "thats why he is minister bec he know the facts hAS pg REVIELED ANY INFORMATION ABOUT MEETING THE gUPTAS GUYS? Yeses! u dont understand what he say what's the eff and blf protest mean to achieve? Isn't their move a political opportunism? 
27:19,30:27, Has minister Gordan said anything about his meeting with the Guptas? why ishe laughing?. prime minister will go whether wmc likes or not. we are ready to take to the street to demade prime minister to step down. eff must go and charge pg Eslon Eson.....they want him out. They say he lied just like Nhlanhla Nene lied. Denied meeting the Guptas. "if they have facts "pg must go. he is problem in this country "This is not your stream we will make our own opinions!! if you don't like them unvoted Prime Minister of SA Jokes now PG !!! 
31:25,33:30, The EFF and ANC might end up forming a coalition government next year. if he lied go and charge him "The Prime Minister doesn't have sense of occasion hw dd indians from india gt to control SA while we had south african indians who lived for more than 158 years in SA. give us the evidence of state capture his excellency prime minister of republic paraffin GORDHAN. "exactly Enough with the 'due digilence'. We get it! Gupta vs Gordhan lol WE KNOW THIS CABAL WORKS FOR RUPERT. HE NOT TO BE TRUSTWORTHY 
33:45,36:11, this guy is reading his answers the names are cuming up "@Thato But this force is key though Judge Zondo seems decided nje. he's rolling with PG Pembani Cyrils comapny right? he is protecting cyril lol yes @sthakathi Khumalo i agree 
36:32,40:34, he cant remember when it comes to Ramaphosa did you note he didn't read the entire guarantee letter. fact is he gave this guarantee letter without binding conditions. "he can't remember the full details zondo understands him "Remembers everything about some and doesn't remember anything about others for some reason he keeps saying other people can elaborate further on his evidence... 🤷‍♂️ Interesting indeed "Sne Mdletye Connecting DOTS and nothing but DOTS!! I am tired of this also Now they got him 
41:02,43:10, Cyril does not need any protection from PG! It is the Zuma cabal that need to think seriously about their surviving upcoming litigations when this inquiry is over "he must provide evidence of state capture When a thief came prepared he look like this Gordhan JUST PLAYING MICE CATCH WITH ALL PEOPLE AND WASTE OUR TIME He is reading answers though "@Elson PG will not survive a serious cross examination "@Elson "@Elson "@Iqabane Khumalo  
43:55,47:02, i think eff they have something to hide nw they use language of the blf white monopoly capital interesting Zuma no ways "The evidence is alive and kicking "PG is afraid to implicate himself. He talks like a journalist. we want more Pravin Slam Tactics by Gordhan Half TRUTH HALF LIAR @Siba Mfabe I am not sure about the former president. But PG thinks he is in the parliamentary committees where he ridicule people PG still has another day to testify.... more to come... I think perhaps some are being impatient. Job Mokolutlo please share the evidence He think this is gupta house 
