starttime, endtime,message
time,-29:00,message Morning Guys Is Gordhan still drinking tea kwaaaaaaaaaaaks Sanibonani endlini Dumelang Heita We in kulungile sizolinda nje ukuzwa ukuthi ngabe umphathiswa usilandisa uthini ngololudaba lalezinsizwa zakwaGupta 
-28:24,-9:58, I see on Twitter Min Gordhan is unpacking his tea silindile Today must be interesting. i'm simply confirming that we are eagerly awaiting the appearance of the minister on the issue touching the Guptas but we cant wait for too long "they must start now Why is BLF protesting tho? "there has been a lot of lying amongst the top leaders in ANC "It's not the people "Please stop telling us about DA 
-9:36,-5:40, Morning guys. this is not the platform never interpret anger towards ANC OR EFF as a way of endorsing DA morning everyone. 🤣🤣🤣 who do you think we are Michael Holmes... we wont dare vote DA... WHAT IS THE DIFFERENCE BETWEEN ANC AND EFF I wouldn't vote for the DA if you paid me too. did privin Godan appointed by Gupta family to become a minister of finance COME 2019 WE VOTING FOR ANC 
-5:27,-1:27, A very important moment. Gordhan is the very important witness to both his enemies and friends alike. More so to South African. African time 10:30 Lets address the Land issue first. WE WANT IT BACK. corruption is the same as Racism @koena mabotja But why though? This whole CoI is because of the ANC? Even Ramaphosa has admitted now In DA are too much whites...... in EFF are too much... black..... ANC mix Martin lol!!! @Desmond Masilela There is a difference between African Time and The Time in Africa; which of these is 10:30? Vote ANC in 2019 
-1:26,0:18, "We have Moyane's lawyer DA doesn't want transformation...they are a white party qha qwaba... 90% of the ANC minister are appointed by Gupta family Michael DA wants black vote withwhite rul. not gonna happen. EFF they ignore everything I wonder whr do u get your STATS from Joseph @Norman Zwane. State capture time. "@Michael Holmes: Transform the DA?Waste of energy I am from SABC and we are starting now 
0:32,2:05, there we go! it has started already Thank you @Bheki Mdletshe Lest hope Mr Gordan is not carrying lies to this Commission @sandile i get it from EFF @Desmond Masilela It's not. It is 10:07 by my watch. Lol "THERE WE GO Parvin will resign in few days time "@bheki mdletshe thanks 
2:29,3:49, @ Manzi Iznam I am an Online Editor Pravin is a tough cookie @Martin phiri Zuma's government was most stealing one in the country @Norman Zwane. LOL That look from Pravin "@Martin phiri : Don't get your hopes up Is Pravin here guys? "Nice to see a lot of black advocates @Siya Gladile I will be here and due to the volume of people watching on youtube - we are trying to ensure fewer glitches 
4:03,5:12, "PEOPLES ADVOCATE IS HERE The peoples Advocate. Lots of leagal eagles in the house....wonder how much they charge per hour. Our tax Lol Justice Zondo couldn't remember Moyane's name @Manzi Iznam - I will try to be quicker for you sake. But I am also working on the side The peoples advocate representing the corrupt exactly Pravin please don't give us anything shocking Bring it on EFF Chair and cross examine this holier than thou bloke 
5:13,6:53, Eishhhh....@koena mabotja. money money ive had faith in you ... u break it and we are over ! Hey...I am related to they guy talking right now!!!😃😃😃 money makes the world go round @rono @ronin 187 So what? So do ask @Desmond Masilela guys is it just me or is the picture quality poor here? 
7:11,9:14, nope picture is fine @Manzi Iznam - the volume is too high and we have our own accounts to link up Pic fine its your data broh ok there it is fine now...probably I just had to move around the areal 😀😀😀 The video is fine on my side. 😂😂 @Siyabonga Dladla try to change your position lol I'm using fibre too but its fine 
9:15,11:39, "but council babe is such babe "@Glorify Gumede hahahaaha ja its fine now where is Pravin? His sitting there "@James Ndebele  ubane lo counsel babe @Tshepo Mahlangu Go to settings in YouTube and change your picture quality there. LOL how many people are going to be cross examining this lair called Pravin? Angimazi mntase kodwa our scorpions in here will help @James Ndebele 
11:59,14:14, Zondo is too stiff too serious for our this reality show lol i will listen on the radio @Tshepo Mahlangu 😬 all politicians are lairs. even Julius is liar. zidedele zibulalane mnumzane The whole EFF is full of liars. Zondo qeda baba agree with you Wesly. @Tikvah Olam. 😂😂 
14:24,16:15, uyanensa liar. @Tikvah Olam 😂😂😂 lol Gwaaaaaaaaaaaaaaaaaaaaaaaaaa Tikvah. true. lol!! Halloooo registrar "is the name ""jimladas""?" "HE HAS ALREADY LIED UNDER OAT TO PARLIAMENT you guys like EFF you just include it everywhere. the guy was saying Pravin is a liar... 
