starttime, endtime,message
time,8:34,message Themba we.r waiting for ur truth i will b back There we go.... what a cool guy themba and truthful sound is horrible We are listening carefully Mr Maseko we are behind have a courage to tell truth we only need the truth nothing else.. mmhhhh 
9:45,12:14, chair is slowly today strong man n courageous is Mr Maseko @Abdul ..i wish people were saying the same thing about Mentor Ronweni mbhele Lucky for the country numerous government officials will face criminal and civil charges for their actions and to recover the stolen tax payers money before Inquiry is completed. Will Zuma come to testify? Will Gigaba come to testify? "If subpoenaed  yes he will 
13:18,16:47, I think it was mentioned that Gigaba and Pravina will appear here either later today or tomorrow @siphiwe mathibela I'm not sure Guys cant wait for Gigaba Why did the president agreed to this inquiry... waiting to see Gigamba😁😁😁😁 Is he testifying today?? Gigaba I mean??? "your president is implicated mos  Mhmmm Gordhan that father is so brilliant Nomthandazo Ndlovu​cant wait for Gigaba yea... 
16:51,20:23, 😂😂😂 lol yes I want to hear what he has to say I think this inquiry will course peoples lives? What do you think @siphiwe mathibela The inquiry is based on the recommendations from the PP which are enforceable. The President had no option grigamba is coming too???? is mr Melusi also featuring here? I'm from KZN and I am a Zulu it's not nice to hear people mocking Mr Zuma about his heard. where its cigaba born we mocking his head not Zulu 
20:44,24:02, how ones appearance has no space and credence in this world of today "Yes Ajay Gupta though abdul who is grigamba boss colonil mental inculcated into poor africans by their masters as way of dividing us Melusi the home affairs guy "They say he was born in KZN...but we don't believe it Former Minister of Finance grigamba ia a racial foul word whose hidden or open meaning insinuate hared and rejection along ethnical or tribal lines.i guess so 
25:03,28:55, @GEORGE SOLOMON BANDA do you watch Izikhokho they usually joke using that word Guptas...are controlling the country guys...WOW NOW WE KNOW.. "ooh no Every department there's a Gupta brother.. melusi Gigaba is the blood of this country n he deserve respect no matter he have made some mistake Zuma n Gupta's ya neh @noko yamebetlwa...What RESPECT are you talking about baba? Gupta's. family was governing the country n appointing ministers We are not going to respect criminals 
29:47,33:14, siphiwe mathibela human being deserve respect bra no matter what they do Ajay even promised Mentor that sge will be the Minister "Yes @noko yamebetlwa respect I agree but they have cases to respond too regardless of position they hold in gvt he is not a criminal boss he made mistakes The truth will come out very soon... @noko yamebetlwa respect is earned bro is not something that you can demand. You get it through your conduct yes Abdul they will come answer the question I agree @abraham rambuda @Mohammed Abdul tell them guys!! 
33:58,35:56, corruption is not a mistake @noko yamebetlwa Noko ukhuluma ngani? Does that mean we people kills and rape we must respect them because they made a mistake? so everyone In jail is not a criminal bt made a mistake???? @ noko come my guy anyone who holds a higher office must conduct him/herself in a justified manner "These Ministers and other government officials who signed any documentation that allowed corruption and fraud with state funding to happen Nothing can justify corruption mathibela this people were used bra n u can't tell me u never make corruption on steal in ur life bra our people lived in shacks long time but all of a sadden ANC government spent millions of billions at GUPTAS Anc must fall Why do you allow to be Used on that office? A mistake is you do once not for all these years and then you tell us they made a mistake?mistake my foot!! 
36:37,38:26, ANC renewal wasting money at end no one will be prosecuted watch the space!!!!!!!!!! "corruption is corruption its not a mistake And go to jail there is no one will have criminal charges here is just inquiry thw biggest mistake was the ANC running this country... The IFP or any other party would have done a much better job... @ nomthandazo true that imagine how many RDP houses would b built with all that money "JZ was and is a gullible to be fool on everything from woman’s body Abdul over my dead body no one will pay here boss 
38:27,40:18, "another day We must strike..shut down everything if nobody is going to jail Imvuselelo ANC yes Nomtha @noko yamebetlwa with guidance from the PP and recommendations from the judge they can open a case my guy "I think only men can help this enquiry this guy has the most awful teeth - yuck msholozi is going to Jail..this it too damning for him to walk scotch free.... People stop undermining Mentor..she tried her best 
41:18,42:42, @J Ganasan ....so much humor..lol somebody give Maseko water...he is struggling Mentor testified about things that happened 8 years ago and others are testifying about things that are more recent. corruption e tlo nna ele teng mo south africa it doesnt help to cofess @Mzala ...thank you very much.. people much listen carefully people are going to jail Mzala - tru. 8 years ago Mentor had the body of a supermodel Imagine such audacity from the Guptas "She tried speaking controversies 
42:42,44:31, Maseko is mentioning Gigaba... meaning this thing is new @J Ganasan No comment 😀😀 All of this is about 8 years ago "Gupta behaved like many rich fellows Abdul boss this is south Africa that I know man this won't go anywhere man if they wanted to arrest people they should have lock all this people who involved n take them to court not inquiry can anyone tell who is in jail right now as a result of sittings or enquiries Maseko was GCIS CEO when Mandela died and that was not 8 years ago. no one Frog hahaha Segwagwa After the enquiry it's gonna be court proceedings. The enquiry can only make recommendations and by that time maybe Zuma will be dead 
45:17,46:50, @noko yamebetlwa I agree but rightfully a criminal has a place in jail or payback the money eg check the Marikana Inquiry "Why the ANC was sleeping all of the days Maseko is trying to tickle our ears with some additional information here aw Philani Madlala true though maybe the old man will be death than QUE PEDO LOCOOOOOS! """ministers surmount to saxonwold"" lol" @Ibo Thabo Seconded....why "Me acuerdo de ese wey que está hablando XD 
47:12,48:59, Marikana commission was worse coz they wasted the millions after it government had to pay those families the question is -How was Zuma Captured??? "@ Philani I want Malema to cross examine Gigaba after his whitness🤣😂😂😂😂😂 if you are politic lover be prepared to be played Mr Jackie Ramaphosa how a u n Ndaa how much did Zuma get ? Greetings sons and daughters of the land @noko yamebetlwa so you agree an inquiry produces some results 
49:06,50:59, He got Nkandla😂🤣🤣😂😂 What people here think for those South Africans still standing & supporting JZ? "Gupta must be feeding Zuma and his ministers lots of curry and whiskey. And when they leave  adv maleka is seeking a newspaper headline ajay guptar its a stering Abdul inquiry is a waste money bra while we know who is guilty nobody will ever know exactly what was looted and what Jz got. naive can our judges sentence Zuma Please 
