starttime, endtime,message
time,6:05,message pulllo is the sound working ? yes the sound is working another day in the life of a great white man i started my bantu language training I have a feeling that Mentor is gonna drop some serious bombs today you change the hair style.....my sister bonani don't use words like B.omb 
6:21,7:12, I can't wait to listen to her... hoekom? nicky this isnt Indian hair "This thing of inquiries really Brave people will take this country forward and they should be recognised later. "Yes nicky the sound whats wrong what time are they going to start 
7:16,8:51, Lest hope its not constructed lies... Kuzonyiwa vandag!!! mr Gomba I am also waiting siphon tries to speak the language of the land which is Afrikaans Really bazookaa amapyina Sipho "Truth will prevail spot on Charlene No prayer 
9:15,10:45, I hope is going to be a nail on a coffin una mahanga man eh wena watching from the Gulf "nicky Is there sound? Let me role a joint for this one. watching from geneva o wait I can hear ! too hot 
10:47,12:02, Sexual harassment allegations against Zuma will certainly be raised by Aunty Mentor Yes there is sound Sofia from UKZN crispin is a congolese kwerekwere Thanks @ Mfundo Durban hey the sound is back She is mixed Wonga. Half Xhosa and Half Coloured lol 🤔🤔🤔 
12:09,13:17, 🚓🚓🚓🚓🚓🚓 Can someone give me an update till this moment .... PLEASE I guess mixed of all Wonga Just started Sofia isn't the commission resuming with Jonas's evidence... so she is 75%black we will get shocked today I am shacking as if I am the one seating there guys does her ethnicity really matter? 
13:39,15:21, This one is just here to embarras herself. "merle ryan not at all Marlene who's Miss Mentor? Sofia finally chickens now at homenis a rooating time Remember Mentor is the same person who claimed we already signed nuclear contracts with Russia... OOOOooooo Who's paying for all this? 
15:21,16:14, ziphi I file why Fils? missing Files are on Facebook. What's wrong with raising the left hand tax money payers Dissident...impoverishing the poor further by wasting scarce resources... Files are missing now The people are being taken for a ride I don't have sound 
16:26,18:31, Why r the mics not the best Ms Prosecutor???? Sip😘ho "merle Guys it really is not important if she is half coloured half Xhosa...what does it matter? We are all just people/humans... "sub-standard mics y is her voice so low Marlène would u let your daughter marry a Bantu? 🤗🤗🤗🤗🤗🤗files are submitted I would like to know something all these witnesses just stood and looked at injustice being done without being part of it ... ? 
18:55,20:39, Can't wait for 2019 EFF umhlaba ngowethi You know what this commission is like a movie but we will see as its goes like are they seriously innocent and stuff ? @Dissident ZA True why wonga? kkk "@Fils de l'homme you have made you point and is enough now We need to get rid of all these relics of a bygone era tshwano what's ur pount 
20:53,22:37, Okay wonga The new struggle is at hand Why call you? sipho dont call me She must just testify and not mention the name of the old man Mandela sold us dreams while his comrades were murdered and gave away the country on a glimmering platter that would offend count dracula lol guys stop this drama man 😂😂Lets just relax and watch Sis Vytjie lol the old man u speak lik mafia Can they start HOW ! 
22:40,24:05, You fils starting what you do best making people emotional👆🏽👆🏽👆🏽 wonga i can't leave my number for long u should have been quick Old man may be left behind Bonani Hello Nicky Majiya kay kay my dear how are you? "I’m great thanks Fils sipho is a gay bantu "Just saying hello lol 
24:08,24:51, When you speak Miss Mentor. Just remember that the truth shall set you free. hello my brother Fils??? Blacks fascinate me. It's almost as if we have no concept on longevity. "not yet kay How can you say that? Old man must just enjoy Bells in Saxonwold... "stp waisting time we need results "dissident 
25:01,26:02, you know guys i think we should give Honorable malema for this whole thing he's the one who saved the world about revealing The guptas "Everything seems to be about ""me this is not an easy task guys madzana@Nicky majiya hey give him credit I wish I was attending this session.... wonga yes u r right but bantus dont like to work be silent Wanda....you didn't see me here 
26:10,27:21, she sounds nervous .... poor thing "Mentor is nervous Frederick me too I wish I was there "see You cant be nervous if you know u gona speak the truth sipho is a gay bantu "He Madoda malema saved the world the truth is too much to bear and even harder to tell it in front of the world 
27:22,28:07, Nervousness is normal and especially when the whole country is paying attention to you This Fils person is a strange ccharacter It is only human to be nervous. malema gave us zuma Yes that's true Madikiza Too many spineless people hold power eish Liwa true "Ignore Fils and changed is mind 
28:16,29:37, agree Sipho ☺️ 😗yeses shes nervous "Sofia Sofia. It's odd to see her nervous I like this Advo wonga if u understand it why don't u change it @Frederick Monyepao exactly ! cc imbokodo vs imbokodo She will settle once she gets going 
29:39,30:34, Ingathi uzokhala ngk uMentor uyandoyikisa Bonani But remember today she is doing the right thing ... So I understand why she is nervous lol You need help Fils she's saving fsce. face* I can hear someone breathe heavy ! she must get straight to the point I got lectures to attend and I don't wanna bunk 
30:39,31:24, Poqo "@Sipho Khanyile True is Someone snoring ???? "i need to help u sipho "sad to see what are security measures taken by state to protect these crucial witnesses... "She will be fine who is snoring yerrr "I feel you Melusi Nxusa bruh 
31:29,32:14, some one sleeping on the mic. someone snoring You can learn more from real life then from a lecture room. "I am also having back to back meetings today had the same thought Nduduzo "Nicky Ha ha ha Nicky come on!! Just paid attention to that too... YES snoring Mpoqo Fils aai uyadina yazi 😩 
32:27,33:17, eish Peter talk to him Why does this sound rehearsed... Mentor clearly more brave behind the keyboard because now she looks nervous. "kay The judge must not breath into the mike. that's what I noticed Thabang ...lol!!! he is not responding to my whatsapp message this lady is to be applauded. She is brave and honest.. after the break she will come down 
33:17,34:21, @Frederick Monyepao LOL norrr man cow breathing... then he's heavy on the breathing Hero "Wait nerves Nxusa breathing buzzzz Who is snoring? there's a hippopotamus in the house. looting oxygen 
34:32,35:04, LOL IS SHE A WITNESS AGAINST WHO ? Jay... ha ha ha 😂 we'll see "I hope there are medics there LEARN THE LAW AND HOW IT WORKS SO YOU CAN PROTECT YOURSELVES SORRY THERES SO MANY CORRUPTION CASES I CANT SEEM TO KEEP UP 😁😁😁😁😁😁 supply of oxygen should be considered in the house Please whisper to Vytjie that she will becross examined so she must be careful and sure if her story. This is not Facebook 🙋🏾‍♂️ 
35:15,36:35, @Bonganie Jay 😂😂😂😂 As for looting oxygen! Dead @Vhadau ha ha ha 😂 😂😂😂 😂😂😂 Aai nala maweave thixo THE GOVERNMENT WILL NOT PROTECT YOU THE PEOPLE YOU ELECT WILL NOT PROTECT YOI "sipho It will trust me. she safe Fils Zuma is not an advocate 
36:40,37:15, Excuse me I dont undertand what is happing mentor thinks that this is a Facebook THEIRS IS TO CONTROL(GOVERN) THE MIND (MENT) kay kay why are you ignoring me? that hurts me Sis Vytjie o tshohile left wing south african goverment allows the europeans to have those lands tHEY SHOULD HAVE ASKED HER TO TESTIFY ON fACEBOOK This Advocate is going to fry her in a small pan ain't nobody clean that all I know and if there is then once they assume power they get stains all over them. 
37:37,39:11, Prison break scenes happening in South Africa Members kindly note that the chat room is not for playing or sending lousy things but to be relevant to the matter being televised. Be matured!! "sipho "I sense that too don't shoot me: and the advocates hair? human* Advocate is strong I am afraid Let me go and grab a cup of coffee to stay awake kuzoba lit "wonga this isn't a fashion or hair show 
39:17,41:26, "The Advocate is milking her now Were Botha and Nel on this ? They were more exciting to watch .... "Advocatess make too much money to be worrying about how their hair looks "@Mn'wanati Maluleke wanati Mauleke when someone is lying picking her words very carefully "So Mentor went to China on a State visit see you all in bit. enjoy each others company while attaining the info cause we listen then type asiphazimiseki These was a love affair really. This beautiful President just loved this beautiful lady. Now she was organising to see her outside the country 
41:42,43:00, "dissident wgy's that? Mentor`s statement was strong but she is very nervous and not consistence which can weaken her case😴 Peter poot you terrible man peter tott no need for racists why's* "Fils she is afraid of somthing why she is jumping 
43:18,46:07, she is gonna complicate herself letshogo le reng MO ngwaneng Gupta stooges must rot in jail "right matamela u must marry a congolesegay gay man like crispin kayembe does* of course everything must come out so the whole world must know the true story of state captured "dissident "Fils 
46:25,47:59, I don't see where marriage comes in there to be honest i don't see this bearing any fruits.The only thing that will be different is that we'll stop talking about this eventually and life will go on for these people Judge Zondos Voice yoh I wonder how far S.A would have been without the stealing "ZA #Zondo That's true SA would be very far Jirre ANC you going to suffer come 2019 long way.... 
48:19,49:49, i wont vote ANC "Jacobs david vote freedom plus "I feel for her She is crumbling early. @Fils de l'homme Never for your info i am zairean not congolese ok ? Ambani uri hovha huchi cou itea mini caladzi vhunga ro lavhelesa zwino....chifinga chicou chimbila husi kale nicou ya u nwaa tie nga 11 "david Jacobs 
49:51,51:03, She will only fee free when she talks about the Guptas @jerry 😂😂😂 let's wait and see while taxpayers money is being spent to inquire instead of just arresting these bloody criminals. They've hurt the entire nation (black and otherwise) for personal gain. puppetry in motion @Fils de l'homme You vote ANC Why should ANC suffer in 2019? ANC voters are loyal "crispin kayembe "Fils am not dear "@ZA 
51:11,53:08, Time** "@Davidjacobs "Lets not insult each others intelligence "kay kay fils de l'homme you must be a Rwandese gay right ? Zuma was spy number 1 😂😂 crispin Rwanda???😨😨 Ncooo to come back home!! yes 
53:09,54:07, Looks like Vytjie Mentor is now the one who is on trial for corruption. "crispin China via Dubai hmmm? only first class available .. interesting lol who is fils de l'homme Corruption acts LOL Dubai ziyakhipha Perhaps i am naive(as some of you might be thinking) but the truth is we all know these people did what they're accused of just based on their reactions to þe accusationz 
54:12,56:10, @Tshepang Tlhapane I thought I was the only one who was feeling like that fils de l'homme wich is???? "@Charles Sanwold and Dubai...I dont wanna hear those names saxonwold south africa ofcourse crispin @agabacharles i am pure breed Aryan south african "matemale infortunate i am not 
56:10,58:12, i doubt he is from rwanda @matamela "I'm loving Dubai now...Ku-lit at Dubai "Fils "Via Dubai matemala don't feel offend it Dubaï To chine...? Young man LOL this person is a lair. Who is Duduzani the problem with many people even here on this video make comments I won't vote ANC but you guys don't even present yourselves to the voting station's 
58:14,59:55, binani just google it fils de l'homme your a fake man #robot# I hope the airline are paying for this free ad from parliament > transnet > dubai > china. s🤣 "@Bonani crispin kwasa kwasa @Fils de l'homme was there ever a white tribe present in Ethiop/Kush? una mahanga man. "david 
