starttime, endtime,message
time,9:51,message She confirmed Zuma called her to his hotel room but she did not go because she knew she might be eaten... Eaten? she kwn loool eaten!!!!!? 000 000 "Mudlawren1 SABC IS seconds behind Cricket 
10:11,14:24, If Atul did study in US then why do people see lies in everything. the saga continues hao cricket? what's she talking about? "wonga "Ha ha ha breathe mama!Sahara is at midrand their names are rajesh from generation this aint going well 
14:54,16:40, she could be seen to be adding stories to the events "thank you judge Not as interesting as that of Jonas. "More is coming ....? "doctor this is the worst of tax money's payer...this is not going nowhere "mama Mentor mentor is being racist by always mentioning race 
16:57,17:58, she is so focused of physical features blacks cant be racist they are Hindu "jack because she's mixing their names "No Fils is she telling the truth? this woman is a bloody lier what did the inscription say? 
18:12,19:03, we all see that. she is hiding something "doctor "for a person coming from parliament It looks like there are people who have pre-determined that everyone that will testify is lying. Well we will see. "It appears to me that respect please stummering does not mean that you ae not telling the truth Exaclty @JUSTICE K 
19:20,21:11, she said no to sex to zuma Is this happening in S.A. or ? How do we know she’s lying? I thought Guptas were the bad guys. why was she @ Sex on World☝ "people hate Zuma so much that they can""t even see when someone is lying" A N C guys how do u conclude shes lying. I'm lost "JZ was trying hard "all these Gupta r managing the agenda of the president 
21:16,23:31, "i am not even an ANC guys @makofane tshepho Why do you conclude that it is ANC guys who believe that she is lying? zuma wanted to mount mentor at any cost @peter pott. i don't believe her at all. Zuma wanted to have his half white zulu baby with mentor protecting ANC is all they do. why would she lie??????? Don't attach this to the ANC please!!! "lying person will not have facts 
23:32,25:18, her story is all over the place. it like she is bitter about something. "njalo they must pay back her story is led by deputy justice and advocate. what makes you say its facts. @makofane tshepho "deputy minister I believe her how did he know he knew the agenda of the meeting with the president. she was never a deputy minister 
25:18,26:47, she* @peter pott She was not a deputy minister she was never a minister I believe her. Mzala I also believe her i believe this woman to be saying the truth as much as she can remember People say she is lying but she knows ho wth person looked on that day and what jewelery they were wearing. NO Too many Legal Experts in this CHAT ROOM. 
27:03,30:30, she said Atul knew the agenda of the meeting with the president. the question is what did he say to suggest he knew the agenda. Answer is all over the place. If she is lying.... why would she lie?? @madlawren1 😂😂😂😂 eaten..... "Kris This one is lying shame mmmmmh. long breathe "ladies and gentlemen @Justice. 👏 I don't trust this one 
30:31,33:02, @peter ppl must vote freedom plus These is gonna be a long road ahead of us... "I love Vytjie i cant believe this one "The crux of the matter is whether she was offered a position I see lies from the woman called a witness Petronella Who is BP? "marble!!!!! f 
33:14,34:04, 😁😁😁😁 WE CANT USE THIS EVIDENCE I did not at the gate 😀 can't wait for Vytjie cross examination 😂😂😂😂😂😂😂 she has a daughter? so Zuma wanted to give her a son BP the company that coined the term White Monopoly Capital people this lady she is not lying just not telling the whole story thats how i see it "Zumas and the Guptas are not gonna be implicated in these saga Thanx Serepa 
