starttime, endtime,message
time,11:38,message Patiently waiting for Vytjie this needs theme music... "Sanibona ndaa "in the words of jacob Zuma "Eish u miss jz dancing "not really 
12:18,17:04, "we've heard those whose names are connected to state capture as per evidence thus far well after disappointing submission of yesterday we here once more u "indeed Is this man who I don't know credible? We dnt want to watch you guys We dont want to listen to SABC presenters please Imagine whyyyyyy poor service 
17:41,18:42, When is Zuma explaining himself? Thanx u No interested in watching nina tight #zymbrocacamiosis Is Fikile Mbalul going to testify???? please switch to eNCA Ah! Tar Wongaz...i only write because i see you "Aggg Theressa show 
18:46,19:58, what now hae man eNCA is covering it better. is boring now "lord Guys come to eNca ENCA is continuing with the live stream guys. you can go there lets all meet on eNCA thanks I'm switching to ENca guys byeeee 
20:04,21:03, see you guys😀 but also we are more interested in the enquiry. Can we please be respected "discussing with Brits way forward to exploiting African resources This is sabotage What just happen? this is distraction Why on earth are we watching Theresa May? eNCA are we really being lectured on Mandela by those who created and supported apartheid ? 
21:13,22:29, lets go to News24 What happened to ANN7 partners for African exploitation the theme is The Elite is in control now flip!!! Great bro! This woman came all the way from Britain to tell us about Mandela???? You must be kidding me! morover SABC was some seconds behind what is the real reason for her being here "same colonizer that oppressed us for many years  
23:14,26:23, Ufunani eMzansi you have all our mineral stash on your crown mos? "were now being lectured on how great capitalism is shes a gangster look at the chain someone shoot this chick my word biggest word salad ever Britain gangsta? that chain though May should offer white farmers political asylum تبدیلی "this an opportunity to address the terms of reference and deeds of land they bought form dutch east indian company in 1814  
26:36,29:00, "Cyril has been a naughty boy allowing land expropriation without compensation at last back to the real business call others to come back cyril did the wrong thing. as bad as Mugabe we want minister of french mirror and curry "Ganasan cyril is being influenced by the wind of some punks you see what whites do. if they don't want to broadcast they must leave. we want to fix our country. we don't care about the evaluation from UK. 
29:32,32:07, samuel - don't be racist. you sad man "Samuel is fine "indeed "whether we are growing or not spave to solve it my advocate Here she is 😁😁😁😁😁 thats one fat lady "not just punish them 
32:19,34:33, Sello's show....vs Mentor so this is so called state capture...i mean really. she is here.she must relax mbambo - u want to turn S Africa into another basketcase like Zim the correct spelling is mentoor Sello is ipantsula...checking from her posture SA would be like Venezuela!!!! "ganasan @TP Muofhe how so? 
35:53,39:21, the name is correct but the surname is spelt incorrectly through poor politic decisions Venezuelans are now suffering migrating to countries like Peru Mexico just like what happened in Zim SA will be worse than Zimshitville and Venezuela i know the mentoor family from kimberly in northen cape "@Ganasan never. mkambo - but just as corrupt jeah but we must not misuse that democracy!!! how about we give commission chance to do their job and judge their work from their final report 
39:37,44:22, U dnt wanna be subscribed to sanctions "@Tp who is this sanction by the way why should all African countries sanction by this rubbish oversea countries "so justice must be delayed once more "Ag man this is being rejuvenated by some power hungry politicians poor sound please cyril is a despot like Mugabe. Made millions out of government contracts. He will steal even more now as president "@Tp no more with errored documentation 
44:23,48:42, Its better if hes stealing while improving the country not like how other African president are looting "@Ganasan Sound sound please soud please technically team address it Jaa sound is bad here but she just agreed...she isn't sure what she's agreeing to... "@Zondi sound is kill us....can someone try to talk with the technician so we can hear clearly.... this woman is egocentricand i think she have desorder 
48:51,52:05, "there's only 1 thing that the sabc does very well mpho u made my day I think sabc people don't take us serious when we view online. we are much serious and we want to hear every single detail. they must fix the sound. i do not see even one indian person attending the inquiry why nw here go gossipin u sound quality is bad please fix She'must not scare'athough she looks like she's scare'Mentor plz today is your time is not like yestday....prove them wrong "no time of gossip  
52:56,56:25, Sound plz SOund please sabc fix the soud please Zuma chonchiler-chorwaan day 5 "Obviously if you want to defend corruption "@Jerry "@shabalala "@Shabalala "@Shabalalala 
57:04,59:13, "@Thokoza don't you think it's early days to call it nonsense PLS CHECK YOUR SOUND PRODUCER "This is how she speaks The sound is very annoying trust me dis whole commission wil b contestd at de high court wil b stuck of de roll.dis de de de nonsense Chris sounds like a prolonged fart Thokozani....that woman she'cannot lie'she's the one who waz there'lets listen plz so we can judge the way we can as plp know how to analys....but at least the nation knows the truth your sound is like you amateurs in the business but hey "I'm also African but truth be told 
59:18,1:03:31, Try watching via eNCA Live - sound is much better than this i like this woman please check sound "@Mandla @Thokozani actually I am This is the SABC we apologise for the break in trasmission "Unless you say you know for a fact that vytjie was never at Saxonworld "@Jery Operation Zuma Chonchiler Chorwaan day 5 
1:04:11,1:09:52, surely Thokozani benefited from this Gupta and Zuma corruption indlela le ayimele ngayo uba zange yenzeke how did we get to this as a country? "@Justice Agreed the Guptas are Chorwaans but they were aided and abetted by the Zuma Chonchilers "Avis Avis i disagree pathetic? I think that word is suitable for you in this case because the corruption that Zuma and Gupta did in this country we all feel it only you don't but only here the media shem poor Thokozani @Thokozani I am very interested in your views because you seem to know more than what meets the eye 😉😉😉😉😉 
1:09:54,1:12:12, 😞 😎 "Ndlovu sorry Chorwaan -Hindi for thief 😎 "@MaNdlovu 👍 wat time has it started "😂😂 ""I asked myself last night""" 9.50am 
1:12:46,1:14:43, "@Justice "@Thokozani can we assume that the less complex definition given of state capture This reminds me of American series "Even if you fart in the water  @Mbambo ...they are guilty "This whole testimony is too vague "@Mandla @Thokozani now a tru definition of nonsense is your last statement lol Mandla 
1:15:08,1:17:16, the question is have they have ever been charged "Zuma must be imprisoned can we focus on the commission "@Mandla "Foul deeds will rise though  "@Mandla @Samuel...The Guptas are the cause of this ...Not that I am defending Zuma but Guptas destroyed SA there are twelve official languages in sa but we are always encouraged by africans to speak english Innocent until poven guilty 
1:17:22,1:19:17, "I am responding to your statement that they have never been foung guilty this is just a joke "@Mandla I wanna hear about the apartheid spies at CODESA "Vytji Mentor is a mental case "@Nomthandazo Mpala Play the game not the person waste of state money just to listen to the gossip of vytie @Thokozani I will advice you that in future don't engage in debates because you don't have a brain for that 
1:19:18,1:22:52, i agree with u jackson mpala "@Mandla @Jackson....The tendencies of undermining woman must stop .This woman was threatened. you see what I am talking about sounds like she had one foot in and one foot out Is Vytjie a psychologist. How does she know Zuma emotions and feelings at tht time. "@Mandla "what is so important about the flight times This is the SABC we apologise for the break in transmission 
1:23:12,1:27:50, @Macdonald... everything is important..she refused bribe. "@Thokozani Zuma is on trail as we speak Waiting patiently for EFF press conference at 12:30. Seems Muilti Choice is in hot water. "Vytjie Mental is a facebook politician Mpala-takes one to know one "@Mandla @Nomthandazo Ndlovu this information can be ventilate in a court of law "@Mpala slalani garshler-stay well 
1:27:57,1:32:03, I'm confused r they coming back yes ..tea break junk chair -junture "@Mandla ventilate-get rid of gas I believe what Vytjie Mentoor says is true but wish she had kept a detailed diary when it happened - 8 years ago is a long time please fix sound while on break this is the SABC we apologise for the break in transmission 
1:35:22,1:38:05, You could have booked into at the Intercontinial at ORT at taxpayer expense 00 0. " . . Watching this from Kenya "metal case wanted a job from msholozi but she talks too much so umsholzi never gave her the ministerial portfolio hence these lies watching this am from venda .u r wellcome people's of kenya 
1:39:01,1:46:13, thank you Just joined...Are they on a break? @Jackson watch news more and listen yes yes "Gupta must have CCTV Cameras at sex world or whatever the name of the compound is tea and scones at my expence "Ey Ku Rough Emzansi... State Capture back 
1:46:16,1:49:15, "So far Mentor 0 Jackson Mpala you here to defend Zuma we see you Yes Zuma 12 - Mentor 0 zuma 0 Mentor 9 mentor 0 zuma 9 @Nature....yes jackson is a supporter of corruption Zuma 0 Mentor 20 ur sound is too low guys 
1:49:26,1:53:35, Zuma 0. .....Mentor 50 @Jackson. .. she was offered a position but she's handling just fine "Mentor zero @Jackson. idiot mmmhhh Guptas though. .yooh zuma and his son ??????? sello's posture...body size...outlook=ipantsula... lol and Zuma 
1:54:44,1:57:40, "Infact the real capture of the state was the media define a weak testimony Wonga i think there is enough other testimony - VM sows enough doubt I think Vytjie has some sort of amnesia i cannot remember what happened in 2010 clearly "sindiswa people like Jackson they need our hands to be discipline ...this is hard truth....compelling evidence.... Mandonsela based her state capture report based on evidence from people such as this mentally disturbed magogo 
1:57:50,1:59:28, Mpala you are so in denial that Zuma and Gupta captured us. is pity they won't go to jail 😂 Mentor is a facebook blabbermouth "women's league fill the court in Oscar's pistorius case Menor is mental challenged. Jackson wake and see what's going in this country haibo Same thing happened with Makhosi..she told the truth and was released from ANC... everyone..Malema Ndlozi and many more...Are all these people lying about Zuma???? based on the testimony of mentor i total agree with Jackson this lady doesn't make sense xem THIS COUNTRY IS SICK 
1:59:39,2:02:56, @ntokozo...i suspect so the state was not captured before Zuma? "nkutha Who knows the name of the Adv leading the evidence? Sello What is a giftfriend? send a foto 🤣🤣🤣🤣🤣🤣🤣 Jackson stop it maimane is like a dog without a tail nd one eye nd only 3 legs 
2:03:21,2:09:35, lol unyanisile #Santjie Ntuli hes not speaking his mind nd that makes him idiot in the public There we go Ajay want to cross examine Jonas and Mentor Anyone would like to cath me up on whats happening here?? Ajay must go to jail... finish they are trying to Sensor Ms Mentor. we want to hear every word she speaks. im sure ANN7 must be streaming this as well That explains.....they are capturing our streaming He is out 
2:11:57,2:14:53, channel captured now im from NCA ..same problem news 24 is okey they use fibre juge makes the sound as if he is having sex with mentors voice aah Chair is wrong .. What is happening now? What is wrong now? Now we cannot here some so they don't want us to hear all the testimony 
2:14:54,2:22:04, hear sooory ANN7 would have done a better job tham this other channels but the white monopoly capital dealt with it The Chair is breathing heavily I'm glad ..they dealt with ANN7 Pls share the link for the eff conf @Thando Nkutha Thank s for the heads up Which youtube channel please @Thando Nkutha ? there's no sound now "The sound is horrible 
2:24:46,2:38:56, News24 is better in sound is news 24 showing tye sound is horrible here "this commission must just take 2 weeks. the truth can come out. follow the money LOL she understand Omitted but doesn't understand what understand mean ????? I am going to the commission to assist my mom mentor This inquiry is going to create a lot of Problems for our country....watch the space some of the quetions Mentor is not sure salve galera to fazendo uma live do jogo the division no ps4 ajuda la 
