starttime, endtime,message
time,18:41,message Hi what are we waiting for commissioner volume please Sound... thanks Emazweni Sound very low "@SABC Digital News - Please check the sound levels 
19:10,33:27, why do they arrest people and give them bail instead of keeping them till monday let them feel @SABC Digital News - Sound also out of sync with the picture they have captured the volume Everyday there is new corruption : REAKING: Phahlane arrested on new charges linked to R86m blue lights tender Will it ever stop honestly ! "I’d really like to know why McBride was booted "phahlane with a small voice of thief @Samuel Mpofu lol SABC News we need to change your live streaming service provider www.epnetstreaming.co.za can do a better job. Give us your long term service agreement. We will pay back cash to you hehe 
34:01,47:08, "@Sofia Sofia Yes This GUPTA is lying and cooking up stories.. this Warong team haaai khona somethings beats water lols z Nghelo @Anne M. very I agree .. "This is boring Who gives a contract to sign that's still In process ? Who gave the contract to sign ? 
47:12,53:02, Y was this given ? "IS he just snitching ? Or IS he ""processing""?" This one is protecting others. Ligwala eli. why is the sound lowered?is it load shedding? "This stream is constipated once more @Anne M. I hear you but you would agree that nothing makes sense ..... Warong had captured these comrades!! jirrrrr....this guy doesnt understand the question he is Loadshedding our eyes and ears ! 
53:38,59:30, "on the flip side. eskom doesnt like competition Mr chair This comrade wants curry to be honest!! "He understands all the questions seems as if everyone at Eskom was doing his own thing blue eyed boy this one "#Welton - LoadShedding is their ploy - to get us to cough up more! They can get stuffed! I’d like to know who is on the payroll Can’t even refer to it as “Daylight Robbery”! "@ Moira T Isiphithi pithi eSkom 
1:00:47,1:26:39, "Our government needs to be taken to court ANC stop exposing each other. Where is the Lifestyle Audit Squirrel so bravely but purely eluded to - simply for lip service? Mxm Leepile you should rather say. ANC start doing things by the books and within the rules. not hide criminals. U ARE GETTING CAUGHT ! They are having a field day of this Gupta This is a just beginning of Gupta Zondo grill him he doesn’t make sense lamasela kuyafana ngeke ba bantjwe le imosha isikhathi 
1:26:47,1:31:44, thats confirmation that he is working for Eskom....no freaken clue what he is talking about This man is lying What if government had said yes to the guarantee? "this guy can't be lying if signed contracts were in place maybe I dont understand what he is trying to say I hope there is no implicated person willing to cross examine him. numbers don't lie . 
1:32:18,1:40:05, "These guys were playing about our taxes money @ 🤷🏾‍♀️ imagine wat is that @keith 😀😀😀🤦‍♀️ Eeeesh....all around the world....... Kanti there is Part 2? Need to grab some popcorns for this few minutes remaining... 😉 Mmmm.....China....Russia....North Korea....etc etc Those are our Bra's now...... cab someone balance real quick... i'm trying to catch up here... is Eskom the focus now? *can 
1:40:20,1:43:44, Its all about Eskom "@Benny Moja Yes yes Hmm... i think ama need to a cup of coffee for this one... After Eskom its gonna be other SOEs. @Benny Moja If you hear the amount of money involved you might need something stronger than coffee 😉 Liars have the words at the tip of their tongue ! Oh Yeah.....Johnnie will do thanks... The Gupta cousin is not finished with his lies?? 
1:44:39,1:46:46, "No Sthakathi Who signed of PAYMENTS ! The CFO who was Anoj Singh IF ITS YOUR JOB TO SIGN OFF PAYMENTS AND ONLY YOURS HOW COULD IT BYPASS YOU ? @Anne M. say no more... i'm listening to the figures... i think ama need triple espresso. "Anoj Sofia Sofia He is taking us for a ride.. very economical about the truth if you ask me!! Treasurer did not have ultimate signing power thina sikhathele uku faka amanye amadoda isonka empokotho 
1:46:59,1:49:35, @Benny Moja Go for it! 😁 @Sthakathi Khumalo Bloody hells No the authority was with the CFO. No...did you listen ??? the CFO is the executive and he only can sign Dankie chair!! He was suppose to follow up and what did he do? badla strait abantu aba sazi fihli basi bonisa kahle ukuthi badla kahle @Ntombethemba 👍 Can anyone say this man is a clean slate ? 
1:49:46,1:51:52, That he never did one single thing wrong ngeke amakomonisi ubenze nto Can you? He is still in the same position Yes. He is clean. If he is I am really Glad honestly @Ntombethemba Manase Not with the Gupta /Zuma captured agents... So the guy on the *Hotseat is he in the same position like Agrizzi? Is he a whistleblower or they called him for questioning? Whistleblower 
