starttime, endtime,message
time,10:50,message ? "All over the news @Carl...These skelms in charge will steal flowers at their own funeral Carl Botha looks like we have a new corruption pandemic with Covid19 PPE I think the sudden interest by ANC in investigating corruption is linked to getting the IMF money Will be just enough to get the bankers off their back but no real high up who have stolen the big money will ever answer Just saw the Car Park field Hospital and the shacks that was built in Limpopo 🤔 "Hi @Pastor J 
12:09,18:52, hy "@Jenny Whitewaves It works like that in big Corporate s as well pastorj I see Gigaba matter is also backfiring Hawks have a please explain to do @Elvis....I have been following that closely and I think the Hawks are at 250 feet and still digging bro. No sign of stopping. This is an abuse by another Politician. No warrant to seize it seems We must get the Scorpions back Elvis @&___Mr_____& ___Abhi_____hy who built these houses? "YES ! @Pastor J . Unfortunately corruption is endemic in many 1st and 3td world countries. S.A is not unique @Naledi...We certainly have more liberties and we scream from the highest rooftops. Sadly most times when corruption is endemic by the ruling party members nobody seems to listen.Arrests must happen 
19:51,23:24, "@Pastor J. I hear you If the Asset Forfeiture Unit has sufficient grounds to go for the Eskom Officials and Gupta assets why has the NPA fallen short to do a few arrests? correct paster "politicians and diapers have same thing in common after yesterday i lost hope with this comm @Elvis...There is perhaps another commodity they have in common Bro @Elvis Malakoane LOL pastorj true pastor @Aunty Roza.....send some samoosas pleeeeez 
23:36,26:21, i was always championing this comm not anymore I heard yesterday was weird what happened with the Judge ? when u come for the braai pastor il make enuf samoosas for u sam yday was a mess @Roza...I love you Aunty Roza...Always do and always did and always will "Here's the thing. Public Inquiry. All docuemtned Batohi is not going take NPA anywere elvis u right there it is ... crooked Judge 
26:23,29:25, the lady judge made sure shes djc boss @Elvis...I will always say the same thing...Batohi is the best the system will get but the surroundings is restrictive....If the ANC is all in jail Parliament will be legislated as a Prison Pastor rite now shamiela bathoy cant do nothing @Roza...She is being limited and held back by those dark forces.Give her real Independence and the entire Govt will be in Prison and she might just send Malema there too as a bonus also Pator did u notice with enca u cant post ur comments when they reporting on something "Democracy is a sword with 2 sharp edges. One cuts through the corruption and crime "pastorj south Africa needs firm and strong leadership including the president @Roza eNCA is becoming another ANN7 it seems Pastor the president gave her the position of head what more does she need 
29:38,31:56, @Elvis...Very true @Roza The ANC gave the impression she has independence but did not remove the handcuffs that they put on her yet "Pastor they need to wake up looks like they still in lala land @P>o>I Thats very true....We can do with a few clowns in that place. Or should I say a few more perhaps. "Not the best entertainment around How much of LA k of arrests is legal staff shortages to prosecute? lack.... "@Roza essack. I hear you. But ""democracy"" requres ""full exposure"". The world will continue to turn 
32:24,34:03, when the president came in everybody was full of hope but look at the situation now LOOTING LE CONTINUA @Riaan... I laugh at anything stupid as I am easy to please. So even those cheap clowns will do in these dark times all need to be fired from the top LOOT LE CONTINUA "All everyone can do No leadership LOOT LE ZAR LOOT LE BANANA LE REPUBLIC 
34:04,35:28, Naledi its democracy for 1 party thats it @Naledi......Most of us do but the feelings LOOT ZE BILLIONZ The leaders of this country are not able to lead us out of this mess!! LOOT ZE PREZIDENT "Corruption in this country is so deep rooted LOOT dom people KEEP ON LOOTING "@Gerda...did you perhaps mean to say ""The looters of this country""???" 
36:12,37:11, "ALL I BLAME IS VOTERS @Mathieuw....show me the shortcut to the Ocean so I can drown myself This is apartheid in reverse! the judge yesterday set a example for many crooks nd zondo allowed it THIS TALK SHOW IS GETTING BORING "Gerda7 No Literally Gerda 8 CORRUPTION IS NOT GETTING WORSE ITS BEING TELEVISED I was shocked @Roza essack 
37:15,38:32, 7 sorry the current party is worse than the apartheid there must be no parties in south africa @Pastor J ​ and @Roza essack . I hear you both. I have no answer. All I can say is that I believe in the goodness of individuals - NOT any government. My humble belief sustains me. carl im so disapointed @Naledi I totally agree with you. oh south africa... There are so many people still voting for ANC ...why? OH MY LOVELY BANANA REPUBLIC 
38:47,39:57, Naledi i believe in people but not in this anymore Because they get food parcels and T shirts "pls pls guys especially those in Gorvement stop looting think abt poorer Mamma AFRICA is sick voting for corruption "@Roza essack When he said he does not accept her excuses OH MY LAWLESS COUNTRY he allowed her to overide him he gave a chance to crooks to get away 
39:58,41:16, WE NEED FRESH BLOOD THERE IN GOVERNMENT "Amen @Pastor J. Small and simple. and @Roza essack  Pastor. .... I think Malema can save SA we dont need a goverment @Roza essack We don't have one OK IM MY OUR GOVERNMENT "There is zero capacity in Govt "Pastor are we as citizens so stupid that we cant govern ourselves do we look like little kids 
41:33,42:34, "That was a classic case of using the law as an excuse malema made a name for himself in Africa @Riaan... A big Amen to that Yesterday was a circus..poor Zondo!That judge gave him a hard time.He look a bit ill today. for anc free T-shirt en food parcells -Gerda I’m back Mathieuw Muyenga Malema Nogal? be serious we dont need malema or anybody to tell us what to do THIS COMMISSION WILL CRUMBLE UNDER CORRUPTION 
42:42,44:27, "@Riaan DW . The world is sick. We all need to focus on looking after Malema must go to Nigeria or Zimbabwe where all his beloved supporters are Naledi u are rite Hi @Craven Morehead . What's new? @Naledi Barron We can pray and trust ACTUALY ANC IS TAKING US FOR FOOLS @Naledi Barron not much. How’s your Tuesday going? Agree what did this goverment or any goverment do for ul come tell me 
