starttime, endtime,message
time,29:06,message the breakfast shows were very nice until we knew who sponsored them and for what end "The whites that took your Land when will South African be Human? "my fellow South Africans pls South Africa never see themself as one Africa dem be fools let's stop this killings please south Africans indeed sphiwe south africa needs more people like Dukwana the man rejected a 2million a month salart 
37:30,51:46, over R300 000 LEAVE PAY OUT Gee the people got your message and a agree. please stop spamming Zambia is protesting right now things are bad 🤔 pOLITICIANS BELONG THERE ---------->⚰ South Africa need Jesus corruption root of all problems in SA SEND ALL THE CORRUPT POLITICIANS TO -------->🏝 @Niek tabl they would corrupt the island too 😜 
52:00,1:03:18, EASIER STILL JUST🔥THEM OR FEED THEM TO THE🐯 🦁 nor 🐊 HAHA he took his UFO 2000 years ago and went as far away from earth as possible. SA is going backward to dark moment many years.. park the car on the highway and go @Daniel Kimwama fast 
1:04:25,1:10:04, the world powers trying to establish their monopolies sabc belong to the artists pls no war oo i dont want to die sa airways for the pilots and south africa to the poor "Tshabalala had registered for her BComm degree in both 1988 and 1996 look my video Tjooo kuyabheda apha money flashed as they flash toilet these ministers must be arrested watson is watchin 
1:11:30,1:23:10, @makhosi nobhatyi I feel the same please give the sabs to the artists. not these makoko shows nowadays and the sabc "Mmusi maimane sometimes thinks he is Jesus how can he want president come out and speak happening now in South Africa picture "makhosi nobhatyi the country is falling apart and the PRESIDENT is dead quiet  Eish - SABC ran out of money? sabcnews pictures 
1:23:11,1:24:47, Tea Break guys Tea break is over Stream Resumes shortly "...Excuse me hes chaffing her y cant we c @Peter Staffen President did put highlights remarks about killing and looting he urged South Africa to stay calmn they are hiding something nigerians must go 
1:25:19,1:36:39, sies man south africa is dying... The truth will come out. @Wayne Magadu It will be more noble to ask them to leave RSA in a more humanistic way showing a human face as you tell them to leave the country instead of using inhuman ways. Why is my feed not working? Anyone else with that problem @Spykerhond no party is bulletproof ☠ Black African doctor from the Congo just cured Ebola this week great job Africa keep rising @Frank Americans wont like that @Frank Mill wow that's so great. Big up to Africa 
1:36:50,1:54:19, they gonna get him to stay in US sabc for the artists not the tie men Still waters run deep. give the country a bells Workshops 😂😂 still waters run deep Yeah thats exactly what happens at workshops! Spot on 😂😂 "hi ppl sies man 
1:54:28,1:56:47, sis man Stop the blame game! @Jacob Zuma you obviously not him so please stop this! we don't need to hear nonsense! you buy drugs. its not given 🤣 us is not a term sies man zuma @Jacob Zuma if our police services were capable of doing their jobs we would not have these type of criminals irrespective of a particular population group 
1:57:08,1:59:32, Zuma is a hoax. click on his name and block him for peace of Mind. sabs for artists im wide @Jacob Zuma - 25 years of democracy look at the state of our country SA everyone please don't answer or pay attention to this guy. wide you are brown @Jacob Zuma i am white and will not keep quiet we share the same rights. You are corrupt and a disgrace to SA sabc for the artist 
2:01:00,2:03:18, "Fake Zuma Guys Nigeria's must go back Everybody must block Zuma please press 1 for a free press i benifited and are giving back love 1 @Brutality Jungleway in fact rather hand him over to his own people they will take care of him usa usa Jabu don't you mean non documented people should leave. and apply for the correct paper works and boarders updated to work correctly. creating jobs too. 
2:03:47,2:05:50, so did zuma home is where the heart is "This is crazy guys "Zuma healing healing healing I mean the truck drivers Love comes more naturally than hate. You are entertaining Zuma me I block him long time I don’t see anything he wrote pappa was poor in money but rich is wisdom 
2:06:28,2:08:22, you are white zuma with a bad motive "Zuma peace be upon you sabs for the artists low IQ no wonder country is fokt country is fine some are .. "South Africa got her independence on other African states struggles. Today they have all forgotten the history that without Tanzania "Zuma heal heal heal 
2:08:27,2:12:25, "if you fokop ur own home country but why would south african people taking foreigners pepper out of the sesterm? Ramaphosa went to Tanzania and saw many graves of soldiers who lost their lives for RSA independence and most of them are not South Africans our leaders will lead us out of this no sense "Zuma build "if south Africa don't stop this unnecessary killing foeta is an awesome witness . so honest "Without Tanznia Nyerere 
2:13:07,2:15:20, where is all this going "Jacob zuma honesty is a lonely word take this job and shove it I went to Tanzana 2010 and saw how the country remained poor just for the sake of helping other African countries. sabc for the artists hei.u.zuma.is.playing.cat.n.mouse.can't. u.c. Rad please stop spamming people got tour messages the 10th time. ok 
2:15:58,2:19:14, "All big companies and megamillion investments in RSA are all under non blacks look @ the state of SA it is dirty corrupt poverty escalating unemployment and crime and 25 years of democracy and no significant change for the better in fact we are @ junk status this is so sad "@No 1  "Hope you all are getting ready to face the wrath of Nigerians eff dont want zumas vote "shoprite Lol are they not seeing videos of what's happening to their companies already in Nigeria 😂 "at SARA AJIMA we don't need them here in Nigeria 
