starttime, endtime,message
time,-15:23,message yeah this is weird @SABC where art thou??? Let us know chair and Adv are ok at least. hau It delayed due to bad weather SABC always totally unable to make an announcement There's a pretty bad thunderstorm in Gauteng. Could be that comes are down. How hard is it to run a banner? "@Abie ah 
-14:42,-10:15, ok what's taking long "@SABC News eish HLAUDI!!! Can you come and help us please are we miss the action now ppl ? This is Goat.:yougotthis: is it not maybe ESKOM load reduction? I read somewhere this morning about load reduction in JHB "o jesu "Ms Myeni can come Can't wait to Seleka to question the delinquent director 
-10:10,-8:23, "Oh Lord B rohan🤒 @SanFran Arnold your friend is in the house!! 🤣🤣🤣🦌🦌🦌🦌 @rohan barnard oh my!!!! @ALTA You love me? PK master @SanFran are you in da house? goat .....yes will you please marry me @ALTA 😂😂😂 
-8:04,-4:44, I can only marry another goat. So you are out of luck @SanFran Arnold Why you using Bianca foto? "This ain't resuming today not back yet @Goat - she wants to be Bianca. She's an imposter @rohan barnard Are you married? "no 🤣🤣🤣🤣🤣🤣🤣🤣 @rohan barnard @ALTA Wants to marry.Are you interested? 
-4:22,-1:15, "@Goat - I can only marry goats goat rohan is my brother so blood can't marry @rohan barnard My sista is a goat.You want? @Goat - send her digits @rohan barnard I am the one with digits send your digits then 😀 What happened to the live feed @Goat - how you doing? "yoh 
-0:40,2:37, ENCA just went live @rohan barnard You want to play then we both play. But dont run off like a sissie and report me. OK? enca is live guys @Goat - LOL!!! I am not a snowflake 😛 FINALLY @SABC News Hi Guys I see the live chat option is back. what happened last week it was not available? @rohan barnard Did you do athletics or ballet at school? I am an athlete in ballet @rohan barnard Can I get a job with you 
3:13,6:56, if you can do a 100m Plie in 25 seconds you can have a job @rohan barnard I can do it in 17sex @Goat - like dudu and zums? @rohan barnard What did they do? @Khanyi. AgeGracefully probably a new account 🙄🤣 To force the nuclear idea. @SanFran Arnold Do you have a room for me to stay in? Please so Goat dribbled me 😢 @Khanyi. AgeGracefully seems like it 🤣🤣🤣 
7:20,10:28, Rohan im not ok 😅😅😅 @rohan barnard Joh. You talk a lot. Are you everyones spokesperson? @Khanyi. AgeGracefully 🤗🤗🤗 just press those 3 dots again "@Goat - Time is money it seems like Goat is behaving today. 😅 @Khanyi. AgeGracefully give it time 😅🤫 "Hi werent dudu & zuma also lovers @Khanyi. AgeGracefully I am. Its that ballet dance @rohan barnard who is not behaving. Block him ballet dancer😂😂😂 is that you Rohan? 
10:57,16:21, @rohan barnard Whats that pink thing you holding in your profile pic. A Barbie Doll? @Khanyi. AgeGracefully hahahahaha.... See my message in the other group @ALTA Do you have a place for me to stay? goat ..... lemme see @ALTA I can even sleep in the garage i saw Rohan very funny. @rohan barnard Please answer my question Seems Nick was happy to go on a wild goose chase if he was well paid. Alta before you can consider giving Goat a place to sleep remember goats climb on everything. 🤣🤣🤣 
16:37,19:46, khanyi @Khanyi. AgeGracefully I promise I wont jump on her daughters. khanyi i burst out of laughing now..... naughty girl😂😂😂😂😂😂 😅😅😅 khanyi maybe i'll climb him🤣🤣🤣🤣🤣🤣🤣 @ALTA I am goat and not a rabbit goat.... just joking @Goat - I am holding adult things Breaking up for all?? 
19:51,22:00, @ALTA Can you see rohan holding a pink Barbie? @Thomas Cleghorn bad weather oh i see a rabbit jump from 1 hole to another 😂😂😂 and storm in JHB And @SABC News wtz going on here horrible weather @ALTA Do you have a boyfriend? "Thanks to ENCA and SABC for disabling live chat last week  goat im a rabbit🤣🤣🤣🤣🤣 
22:36,25:35, @Yolo More Thank you my love. Do you have a room for me to rent? im a ghost rohan😂😂😂😂 @rohan barnard Thats a pink barbie doll you holding. Go try and fool someone else. You like that im only goasting around is Gauteng receiving haevy rain?? Okay bye everyone. I need to find a room urgently "@Michael Michael I saw reports on a huge storm in JHB Alta 😀 
25:53,31:45, yes Michael Michael raining cats and dogs Michael they say horribly weather wolfy ek gedink jyt my vergeet😊 "Lol haai nooit jy beter nie wolfy😁😁😁😁 🤣 watch using that link and pop out chat "nvm rohan sabc nou reg 
35:28,42:23, 😱 RRRREEEEEEEEEEEEEEEE Former DA Gauteng Chairperson has become the latest former DA leader to join Herman Mashaba's ActionSA John Moody joins ActionSA Mzalwane Mzala what is your honest view about Mashaba party It disrupts the DA's foray into townships @Elvis Malakoane they all have memory loss 😑 Mzalwane Mzala But do you think it will make it as a party Music Maimane should join Herman it will be a real force 
43:14,47:35, It will gain local government seats in Johannesburg and possibly Tshwane. Mzalwane Mzala I think so too . l So it will survive as one of the small parties. It will not be at the EFF scale. Mzala if these 2 guys form a rainbow exec. they will draw a lot of votes Mzalwane Mzala But I think I most municipalities eff will work with Mashaba Than work with ANC Which 2 guys @Eddie Reddy? I dont think Herman will work with EFF after the Thawne problem. Herman is very refined @Elvis Malakoane The second biggest party is the DA and not the EFF. Is Mashaba prepared to work with the DA? 
47:37,50:34, I'm interested to know why zondo is so pedantic in his questioning around the timing of zumas entrance at the meeting of the 8th Back at last There is nothing wrong with him checking the timing its his job 👀 Mashaba is principled he won't work with da 🌵 I know dudu says he wasn't there. he probably has a strategy for when zuma comes 🍄 Dudu could have misled the commission 
50:37,52:20, Mashaba is making a mistake by not personally contesting the Mayorship of Johannesburg. He can still lead the party from Johannesburg. He is popular in Johannesburg I cant wait will have to book leave 🍣 sabc must not deprive us of engaging. yes now we know that she lied. tsosti placed zuma in the meeting and now linell @Gundo agree! ☔ 🌩🌧 "so Dudu Myeni lied under oath 
52:36,54:48, 🎃👻 oh yes she did Dudu next arrest of course she did Hawks must arrest this guy tonight pls he's wasting time .it's clearly that he knows everything was happening there . she said why would the president interfere. she denied it Dudu can pick up the rand afterwards Dudu start organizing your bail "So Zuma and Myeni 
54:58,56:41, is this man in trouble Lizel of course Dudu is protecting JZ what's that called? perjury? no doubt guy's what about BRA Ace ? This men knows everything. lock him up oh hes going down. just a matter of time His day is coming we are close to find him @Khena which one Lorraine ? 
57:38,1:00:02, "Seriously we tired of this corruption  Ke le batla One by one ~DCJ Ray Zondo 2020 "going to jail at this age dudu myeni lied and lied and lied some more Now i understand why EFF called her Dudu Myeni Zuma. "@Lezi...she lied a lot This guy is also lying. Leizel to garner evidence if Zuma influenced the ridding of the exec. to bring in the Gupta men how old is Gugu Myeni now ? 
1:00:05,1:01:43, He knew the targets before meeting @Lezil they should call her back @blake I'm sure they will. to tie things up state capture enquiry is a waste of money..evidence is there already we didn't need this commission. if i was a seating President i was going to issue notices of arrest myself with no Batoyi. "That why former commanders called meeting To let her tie herself up in her own lies "Dolan please tell me who is this guy giving evidence she thinks shes smart 
1:01:49,1:03:43, MK veterans trying to distract citizens from the current issues this is mr linell dudu myeni legal adviser she still young and rich she's must prepared to go inside Nicholas Linnell Thank u zolile age does not matter when someone has to go to jail. look at Richard mdluli and his Co-accussed. @ALTA jy nog hier? "Lorraine this guy is Linell Eddie thanks 
1:03:44,1:06:24, you right Dudu they must go Linell is the fixer bob hewit correct Antoinette This Dudu hands was really all over in the cookie jar wow interference with weather they must call jabu wow ENCA is also off "And she didnt had money to come to the commission 
1:06:25,1:09:16, inoba ebenento yokwenza noBaba I have some questions for him is it not towers because of the storms or something This zoom commission is not working for me swak!!!! Haibo Is mr Linel still alive? @Elvis i think is the storm i passed Parktown and Auckland park an hour ago the weather there is so bad 🤣🤣😃😃 
