starttime, endtime,message
time,-43:15,message "In closing argument She broke the law and flouted basic governance principles Myeni is a major POI "When I look at the face of DCJ SIU is working hard at least... Masuku has been found controversial with the PFMA and the premier discharged him from the office and now? I can't get enough of the DCJ just flat out laughing that time🤣🤣 As a Judge he should have known he is illegally appointed by Mogoeng.Constitution Law clearly states only a President appoints a Commissioner ? He is a hired gun . 
-39:35,0:44, Why Mantashe Zizi Kodwa & Agrizzi &not Andile Ramaphosa who admitted accepting corruption millions . After caught lying Mentor &Jonas withdrew their evidence .why? Perhaps they made deals with the state npa can make deals with a criminal to rat out bigger fish These agendas we are being fed ...one has to apply mind to determine for ourselves DCJ didn't he said they coming back @14:00pm? bongile.... lunch maybe lekker 😁 "Staring to wonder if it's not SABC wonder wat hulle eet @ALTA "When I look at the face of DCJ 
0:47,3:52, andre nie n toebroodjie nie @Andre Gerber eisbein en chips "solank dit nie ""curry"" is nie" @Andre Gerber gekook in die Gupta pot 😅 @rohan barnard 😂😂😂😂😂😂😂 "so gepraat van ""curry"". wie weet wat Bunny Chow is" rohan agree i have respect for DCJ "Confess baba. With each lie ek weet andre is flippen lekker 
3:54,5:43, @Andre Gerber halwe brood gevul met bess/lam/hoender curry. Baie lekker. Ek maak dit gereeld vy die huis public protector has just kissed the grass again in Western cape high court interdict application my typing skills is nou net so sleg soos dudu se waarheid brood gevul met kerrievleis yummy wel hier in kleine Gansbaai het ons 1 take away wat dit nog die Durban manier maak rohan 🤣🤣 @ALTA and it needs to be SAUCY! ek koop elke 2 saterdag aand vir ete oeeeee en Durban se bunnychows was die lekkerste 
6:00,7:46, hahaha @Alta en n Gatsby lekkkkerrr Ek's terug. lol @Elvis halloooo naledi "come Monday dieselfde take away maak Gatsby's ook Rox that lady must be having nightmares about judges by now "Haloooo @ALTA Sorry 
7:52,9:05, andre.... regtig? naledi 😘 Well said chair. This man is top notch🤸‍♂️🤸‍♂️🤸‍♂️ @Rox those zuma rats are paid to support him 🙄 ja hulle Indian van Durban @Elvis unfortunately those ANC clowns at Parliament will reject her impeachment... Any news on Ace's arrest? Latest news here says that he's happy to cooperate. Rox watch the space zuma is playing 🤣🤣@Rohan 
9:27,10:11, @Rox want to see how many end up arrested andre net Durban kan wragtig lekker curry maak yes chair even sars was 1 of the best because of apartheid they would say. "Rox I hope not because she is in a corner now yes rohan they can even listen to each other Actualy it would be nice to have Mogoeng Mogoeng Mogoeng on that seat questioning him @Naledi Barron nothing new that I heard of on Ace Mieliepap goodmorning fellow south africans 
10:12,11:32, @Roza essack Yes! Pravin Gordhan was the best thing to happen for SARS. Heya @fuzile dazana Grab your coffee. "once powerful premier league is now crambling @ALTA my tiener jare daar groot geword. was in Pinetown op skool Thanks @rohan barnard x how are we Saleka the Chair has promised his wife. maak klaar. just come in watch happening we hope nd pray that everything will be what it was 
11:33,13:02, yebo naledi andre ek in Bloemfontein in einice nonneskool @Rox the clowns supporting Zuma are just crowd for hire and remnants of the Guptas "Heya @Solly Makola Hot chocolate and rum Hahahah @Hlagala @Roza essack Mr Tsotsi finds out today that Eskom was capture while he was at the helm. Tsotsi was a regular guest at the presidential house it seems @Roza essack That will be a very long and deep prayer unfortunately. But pray we must cant wait for the Hawks to catch the big fish mr big head zupta 
13:08,14:16, "Anne M That is so i still remem when foreign entities wanted to follow sars example Zuma must be paying the hooligans from hidden Libian money @Pastor J.J GTSY my dear!! You have your weekend reading ready?? Pastor we can only hope nd pray Yebo Solly. Baba butternut uBaba likes tsotsis mos "Hahahah DCJ had a memory card on his head mafuta😂😂😂😂 
