starttime, endtime,message
time,7:42,message who is winning EFF who you vote for I vote EFF vote rigger's ANC EFF is winning? wAHOOO I won't anc not eff 
8:16,13:12, that hilarious is wrong is there any live stream of election results ??? im tired of wtching this nonsense yes its there BLF is out and crying to fraud! That is amazing. ok thanks guys sabc we need elections. all smaller parties crying foul of the election are just dreaming because they should have known that the terrain is rough and only thick skinned people will prevail Who is these? Why do you need elections ? so you can spam your party you voted for non stop ? 
15:27,19:21, ANC wins this must be no fun for you because you dont understand ya'll voted the ppl that tried to sell the country back into power 😕 yup SABC put elections back on we dont understand this nonsense the sabc is hiding away the elections cuz they are corrupted. why dont the IEC think of electrontcal voting system with finger print scanning? then all the corruption will be to the end. your finger print is with your ID so then there will not be any curruption I agree Hi All This thing has been going for a very long time no arrests had been made its just a waste of time and money mxm Staightback to state capture braodcast after party responsible is back in power 
19:53,20:49, commission of inquiry "People has spoken and choose their choice And the people vote the ANC in again Phambili with arrests Cyril phambili!!! Cyril will be gone the real entities will replace him now ndaa! what ANC was waiting for Nda Who is on the stand today? 
20:52,21:46, Ramaphosa is our president not for long for ever Who says... let him touch one on the list then he's gone Kyoze kubuye uJesu I think the ANC today is not the ANC of the Zuma Era ... Lets give CR a chance .. I was really not wanting them to win BUT Lets hope CR reshuffles all the pro Zumas out after he wins Well we can wait and see 
21:52,22:41, he cant he was used You dont know for sure I just say we will see when we all lose our pension and provident money to the government who will vote anc Lets grow South Africa togather do not talk politics while we need service business as usual remember that catch phrase Smaller Parties are chance takers let them not being bad losers. @charles venter indeed he will get thrown under the bus like Mbeki 
22:50,26:47, yebo aibo we love him if you cant steal with them you must go ANC for National and DA for Provincial it's painful to watch The ANC takes Eastern Cape with 69%. Issue of pension/Profident fund for government employees is a world wide issue do not talk for SA ONLY you must aline yourself with the world Economy Listen to Robert kiyosaki Rich dad on pension fund @Mzalwane Mzala They stole from the SOE's as well small parties may be annoying but have valid points some of us we did experience free voting but fair I don't think so because indeed many people walked in and the voting station closed at 8:25 
26:56,32:01, state capture is here to stay unless the New Dawn loses the Zuma shackles Viva ANC Viva all these inquiries will come to nothing it will be swept under the carpet. it's all smoke and mirrors. "HOW MUCH WORTH NKANDLA I WANNA BUY IT MONDAY AT LEAST MOTHER 40 FAMILIES WILL RESIDES "the real culprits here never get punished "With 91% of stations declared All African leaders must get rid of corruption in order to be respected and improve the economy and lives of the people but I fear this will not change. "Blind faith in a party that betrayed the nation is astounding African leaders are self serving 
32:13,40:36, Counting on CR to change the status quo with a magic wand is like believing in fairy stories.The looters are still in control. after them come the people "@Val Speirs Not all viva anc viva anc corruption no election live streams? Andile Mngxitama...is a joke....pappagaai..... @Donald Geyer he wa just bitter with leaving eff..he is not going anywhere ploitically SARS is investigating tax related claims that were made in this commission. 
44:46,52:03, brian molefe messed up at transnet and then went to eskom and mess up again..i dont understand black governments "To all those who were saying their parties will be running the country after these elections: I hope you know that you need 50% +1 to run a country " Andile Mngxitam is a.racist and do not belong in the NEW SOUTH AFRICA... 🖐️Cheers! 10% The new South Africa is 25 years old. All citizens must ensure they stand united against corruption and racism. why to we still have this why do we still have this 
52:32,59:28, we reinsteted crooks moc Andile has been disqualified by the same people he always call my people @Mzalwane Mzala cogra to poverty for 200 yrs coming no development 90% unemploymeny there thinking wowza we being led by the blind "Morning @Thando Nkutha thank the colonizers you benefited to bantu education i'm not suprised The DA' stated intention of taking the Norther Cape from the ANC has failed as with 97.7% of stations declared the ANC has won with 57.3% compared to the DA's 25.8% 
59:42,1:03:48, your people will never be liberated hope you proud I'm living this banana republic you wont hear it coz you clinically deaf "Hey guys do even benefit from this its quite interesting how much u speak of winning seats however the country is in a state of hopelessness with appaulling high unemployment rate and disgust of poverty @Sipho Owen Ndhlovu ... and inequality who asked EFF to open boarders Is it safe to assume that @Sipho Owen Ndhlovu did not vote? 
1:03:51,1:09:00, TUMA MINA @Sipho Owen Ndhlovu seat = rest rooms NEW YAWN ........KWAAKS Sad to see SA! just more of the same! For another 5 years! being corrupt and blame aparthied shame on you A WHITE CAN BE RACIST BUT NOT CORRUPT like the haulocast apartheid is also a hoax never happened and Watson? "Mr Volmink has exceptional institutional knowledge.What a great report.The gross fraud 
1:09:15,1:13:36, blscks can be tribalist and corrupt just a surname to an busness man So much anger against people who chose to exercise their democratic right. Can someone please tell me if there should have been two ballot boxes when voting.. one for Provincial and another for National? anc uses cr to boost their election figures if showerman was still in you had no chanche in 2 million to zero to win Yes Alfred it was the African tribal chiefs that captured their Africans and sold them to Slaves Traders. I read some comments here and you get the feeling that people would have loved to decide for others. of all the ballot boxes lying in the bushes we should been given 4 balot papers and only 1 blank one to blf and eff Did you folk have two ballot boxes when you voted? 
1:14:14,1:18:37, yes i agree they also stole each others wifes and killed each other sometime over a cow ///not talking about the mother inlaws other than border what can think that will benefit people change is scary Is Alfred Nzonza not a South African? @Val Speirs yes we did but the demeaneor of the officials was rude to an absurd point and not bery keen to be ftirndly or helpful and i am old so is my wife @Mzalwane Mzala no citizen not banana rebuplic Where are you from @alfred nzonza ? Azania as that is important 
1:19:00,1:20:50, "Service delivery vague policy that has been there 30 yrs Did you vote @alfred nzonza? l think most of us who are intelligent we are impartiant about the start to end of the process to completion and we interpret situation to suit our desire and expectations When I voted there was only one ballot box is this normal? no I axed @Mzalwane Mzala what the country needs is job creation and i mean in a massive way where politics do not have a say neither unions the workers now @Val Speirs - we had two boxes I am done with you @alfred nzonza 
1:20:56,1:24:26, Yes 5 years ago there was two but not this time.. do you think it is fishy? lets be ready for another protest and poor service delivery I see that in all the provinces the ANC has scored more on the national ballot by about 2 or 3% compared to the provincial ballot. What is the meaning of this? "@Val Speirs sex workers is important for Rama as if HIV is not highest in world in SA Let each employer build their workers a decent home.. @Thando Nkutha get help how do I get hold of the IEC? A friend of mine said that she voted in Hartismith and there was only one ballot box she found this unusual. Gauteng is making me proud! ANC are less than 50% at the moment! 
