starttime, endtime,message
time,2:37,message late as always buying grand pa 😂😂 Ms Memela was rushed to hospital whats.going on ? "And they just rushed her back@Elvis Malakoane . They prescribed 2 Grandma""s" for real? phew 
2:43,12:11, lol feels like we missed a b i t ? sensorship? SABC has too much ads Going back to enca I miss a lot I just open now Ms Memela looks tired fidigetting I like Ms Memela's answering style of the questions 
12:23,14:59, Seems that Lufthansa and Air France were illicitly blocked from winning the tender so that JM/ARR could get it. Lekker HOEF-meyer😂😂😂 "@Dominic Przybylski obviously but it cost Jm/AAR R2 "She is so combative shame Ms Memela "SS Mbana "famous african saying "" I don't know"" it's not my job" here we go Judge explain to her that if you past the NIP ruling once it counts for this one too. @SABC Digital News Please check the volume. It's a bit low. 
14:59,16:30, Katie sounds angry. I will have to calm her down this evening. Any suggestions@Elvis Malakoane playing dumb dumber😁😁😁 Hostile witness UGU Municipality 1 billion state capture by the municipal manager and his friends n family. commission investigate I feel for Ms Ms Hofmeyr shez buying time to think "Pastor pretending not to hear the question UGU is a district 
16:45,20:26, @Person of interest ...Send me the lobola and damages refund first. hehehehehehe here we go again: what is the understanding of ms kate?😀😀😀😁😁 hahaha... I do not know.... just like u said if you cant convince them confuse them...😉😉 You can't baffle DCJ and Kate with BS 🙋‍♀️🙋‍♀️🙋‍♀️ Sorry chair I don't understand and I don't know "Ohh no folks "Transformation 
20:38,22:39, a term.... she uses cheap words to hide big trouble driving national agenda but not clear on her role... I can remember that and I'm ancient!!! and confused!!!!!!!! “National transformational Agenda!” National LOOTING authorisation!🤣😂 “I’m so confused Chair!” "Sizabonke Civils T/A Pilcon captured @Pastor J and @Person of interest I agree she looks hot when she is angry.😉 Please orientate witness. a snotklap is very orientatung. 
22:45,25:11, @Jabu Malinga Hayibo!!! "Suits Season 12  Memela Memela - iyashubisa la ntokazi kaHoffmeyer!! odd that SA bought submarines from Germany but cant by airplane parts. "Jabu @Chosen One ....she absolutely does. But his @Person of interest wants to steal my fiancee after I paid the lobola for her. He is naughty "if she needs every thing explained to her repeatedly and spoon fed the most basics She can remember what everybody in the meeting discussed but is unclear what the meeting was about.😂😂😂 @pasto j who is your fiancee here? 
25:18,26:52, "Miss Memela reminds me of my ex Xhosa girlfriend @Person of interest ...you have permission. let the klapcount hhhmm and stop interfering with my valentine plans @Immanuel ...Katie @Person of interest vs @Pastor J where is Adv Maleka "ahhhhhhhh Omnibus 😂😂😂😂 - I love this counsel 
26:56,28:06, "Immanuel but it past the NIP for one is good for the other. 4sure@Immanuel ...hehehehe. just kidding. my daughter is older than her @Immanuel join the queue at the back @Bunon Solomon Apparently Adv Maleka was implicated in direct ways by this commission and had to step down. It involved his brother or something @Bunon Solomon Others say he clashed with the DCJ "Kate not confused "never @Lex Luger ...Greetings and my blessings to you my firend 
28:09,30:03, Guys this woman is not dumb. Shes actually rather smart. She doesn't answer direct question where she's involved but give examples. @Pastor J Very warm greetings to you my dearest Mfundisi. Always loved dearly this side. Slippery as an eel Colleen Arezio She is very technical I agree.. but she is defending the indefensible.. I think @Colleen Arezio That may be so but I think the Chair is smarter and sees through her BS. please keep the chat clean and respectful Smoke and mirrors @Colleen Arezio- You read her right!! @Michael Wild coming from someone named Wild? 
30:08,32:17, I feel for Ms Memela because she tends to be defensive before she even understand the questions Is the DCJ entertained by this witness @Mashao Mohale That makes her look guilty. I still kee it clean 😁 So sad to see how the people in the colony and territory of my Crown is so unethical. keep "@Michael Wild wild and clean difficult to get the page wonder why our economy is fecked??? these were the fools in charge! 
