starttime, endtime,message
time,32:37,message morning are they starting at 9.30 it's 9:34 Mara chair the witness explained that yesterday n morning hi✌✌✌ people are going to rot in jail 
33:44,46:44, If SA was not a fools' paradise; Molefe and Sigdn should have already seved their prison sentences. Obviously the two guys are extremely rich Bribe is killing South Africa Thando you are right i just exaggerated a bit because of being so disgusted by the law enforcement's lack of acting on these state looting me mo.. a me mo 😃 Beneficiaries of state capture are fighting back that’s why you malusi gigaba back in Parliament @ Thando Nkutha it is true what you are saying all departments are busy cleaning up systems and correct procedures to be followed Thando if we were a rational and functioning state state looters should have been isolated from a society taking into account billions of rands lost in SA 
53:17,1:08:49, Ramaphosa was warned by the World Bank to clean up corruption or no more handouts. That is the reason Eskom has taken a loan of R70 billion from China because the World Bank does not support corruption. President Ramaphosa is tightening up loose screws and allow prosecution flow in a fast way coz no reason not to finish with investigation and prosecution of those who did wrong Ace Magashule said commission findings are not binding telling himself publicly which he lied to himself once the report comes out NPA and tribunal get in to charge those finds doing wrong batohi she is going to do nothing about this situation course she is there to protect there corruption of anc comrades how much money did Nedbank make out of all these deals as well? "kenneth dont forget ramaphosa its also corrupt my comrades yes my comrades 
1:10:03,1:16:39, the gvmnt needs to build MORE PRISONS for these culprits including MAGASHULE and his club "@ Luvuyo Zantsi I am appealing to all South Africans to support Ramaphosa "makhosi @Mk maga gaming ...government does not need to build more prisons..... they just need to put bars on Loot Freely House... all the big crooks are there. Let not forget fikile mbalula is also fighting for the ANC and the President that is how crooks operate..they do the dirty tricks first and then try to legitimise the act later.. "the ANC acts as a collective "You know any way we can wait another 25 years ne😓 
1:16:46,1:20:25, "@Funani Manzi Mbalula is not fighting ANC and President what he was doing what boggles the mind is when it comes to building mere proper toilets for school children there's no money! it's unforgivable!! why is the wolves coach testifying "Cyril sat and watched corruption happening and didn't do anything (for years) Now ANC voters are leaving To be honest speaking Ramaphosa was most popular than the party going to elections coz our party leaders were too much painted with allegations of corruption though they don’t accept that Banks and law firms not smelling of roses in this inquiry.. no it's not Luvuyo! not when the ANCWL comes out guns blazing in support of her! "But if thruth be told @makhosi Sori my bad he is protecting the ANC 
1:21:01,1:24:19, truth is we will never see a single high ranking corrupt politician in long jail stint in our lifetime. I thought something was done when Shabir was sent to jail too 🤔🤔 I don't understand how Judge Zondo's glasses work. When he reads he takes them off?? please do maybe I can see things differently. @Pheladi Lamola 😂😂 please! @Luvuyo Zantsi I can give you many more names of cadres who are corrupt and nothing has happened to them. "I only know of Block State capture in SA is just like economic terrorism and i wonder why no actions are taken by law enforcement agencies or is it still captured as well as Booyzen alluded to "President Ramaphosa in his head knows exactly what people want 
1:25:13,1:31:11, @Felix Muyoba I can't see a thing without my glasses. Especially when reading 😂😂😂. So I need help in understanding the DCJ. @makhosi nobhatyi then for next five years citizens should not expect anything on service delivery since the president will just be busy fixing the parrty.. ok Luvuyo that's 3 names. go on please... Ok. Understood no Luvuyo Shabir is not in jail ! "@Felix Muyoba service delivery is a part of duties Makes sense. Thanks Thando. I counted him at no 2 Luvuyo. Zuma and his Comrades of corruption have alot to answer for.. and if Zuma refuses to testify at COI then he will answer in a court of law where he will face justice. 
1:31:27,1:36:13, "not really @ Thando Nkutha he was given medical parole "I think am with President if there is no more looting and corruption there will not be protesting "Tsotsis have been voted back in We Demand we demand we demand.. just don't destroy please! "Val Speirs  if you aware then why are you saying he did his time? where? let's be honest with ourselves with what is going on here @Thando Nkutha It's still the same ANC - corrupt to the core at all levels of government. yes he certainly presented himself as the dumbest President ever.. but he will pay one way or another. "like I said 
1:36:31,1:45:21, "@Val speirs exactly they think are clever wants to be followed procedures that is what president is doing @Luvuyo Zantsi OK - let me correct that then - VERY FEW corrupt ANC cadres are charged for their crimes. "yes@granny. Zuma had the help of Julius Malema ""I will kill for Zuma to be President "" "ofcourse they do Thando "@Thando Nkutha No - that's not what I wanted to say. I contend that at all levels of government "@makhosi nobhatyi Aaah - so when it suits the ANC @Luvuyo Zantsi Not at all. The DA like the ANC use the collective responsibility argument to escape accountability. "this is so ugly taking into account that we sit with a massive unemployment @Thando Nkutha What is the difference between ANC and ANC cadres? I'm not saying only the ANC are corrupt - but they are more corrupt than most. 
1:45:40,1:49:04, "@Derek main remember ANC sends no one to do corruption so we cannot defend corrupt leaders @makhosi nobhatyi The ANC has become a patronage network of corruption. @Thando Nkutha Semantics what makes me angry is that people like Nomvula are still on the list sometimes I wonder where we would be if the very effective Scorpions were still here. 🤔🤔 @Thando Nkutha The ANC does not exist without people. "@Luvuyo Zantsi I think the DA are just as corrupt. If they were in power I didn't hear about it Luvuyo. I would blame the whole DA if they protected her and do nothing about it ! @Luvuyo Zantsi So exlain to me what the ANC is without the ANC cadres. 
1:49:15,1:57:30, it is not the DA that is sittting here it is the same party people of the ruling party i just if anybody can calculate the whole amount that went into zuma and companys or cronys pokets "@Derek main if you listened to us here we are not defending anyone who did wrong @makhosi nobhatyi Yes - I hear that. My propblem is that you seem to be in denial at the extent of the corruption. @ Derek main I understand your frustration what I am saying is that we are taking ANC out of Derek main pocket by doing that you would Identify problem not a party but individuals behavior @Thando Nkutha You should take off your rose-tinted Ramaphoria glasses. We have been hoping for a better government for decades now. The same tired old promises are rolled out every election. @makhosi nobhatyi You're still missing my point. There are so many corrupt ANC cadres that it's difficult to distinguish them from the ANC brand. It's a cop-out. @Luvuyo Zantsi Are you giving up? it is now beev reported that SARS have colected a very big amount under the alocated target set against the national growth and this has very dark consoqeunces for our country a shortfal of billions @Thando Nkutha I know what the solution is - get the ANC out of power. 
1:59:32,2:07:54, @Thando Nkutha I have no option but to accept it. I will still say what I have to say. If you don't agree give me your view and we can debate it. @Thando Nkutha I did my bit - I definitely didn't vote for them. @Thando Nkutha Do you seriously think the only issue of concern is who Cyril elects in his cabinet? Witch the country can not have aforded in a sense this means dark days ahead (eskom) and bad growth means more unemployment acumalating into more crime and south africa are heading for the end @Thando Nkutha Like I said - I have to accept that but I won't shut up. @Thando Nkutha That's just the cabinet - they can only do so much. What about the corrupt at municipal level? What about the corruption at SOEs? What about the corruption in the NPA? It's endemic. @Derek Main I was reminded that I must be aware that I only represent one vote the ANC would lose. The ANC won without my vote. I know they will be worse this term but I have no escape. Maybe 2024? "@Thando Nkutha If I see something I don't agree with @Norman Zwane Yes - same here. I just thought my fellow SAfns would have more sense. 
2:08:49,2:12:06, @Thando Nkutha You're not trying to suggest that the cabinet is involved in appointments all the way through government are you? All these enquiries are a waste of time ! Nothing will come of it ! The same thieves are still going to be sitting in parliament ! @Derek Main I think the stand against the ANC is just so desperately fractured. I have no idea how it can be brought together. Wish I knew how coz the ANC are still going to waste a further 5 yrs "@Thando Nkutha - there you've just hit the nail on the head. It's a top down problem. When corruption happens at local or provincial level "It results in a mistrust. I didn't vote ANC because they've had their chance. They've blown it HORRIBLY @Thando Nkutha My opinion comes from a place of wanting clean government. "we offer 100% job placement in our youth development 
