starttime, endtime,message
time,-0:47,message "I wish you all who is gracing the stand today? @elvis......I am innocent so it cant be me or you bro. pastor j very true pastor @Pastro J wish you the same. Thank you Phillip When the State Capture gonna start it’s past 10 o’clock already not starting on time is part of state capture 
2:14,23:56, Africa time DCJ wants to call it a day Are they prasa workers Is siyaya shifting for siyangena Who is this witness aba chabe corona naa?? "I love Martha Ngoye SACR true and she does not get carried away and make up stories @makhosi Zondo is tired today 
24:14,27:08, ladies always understand themselves @Elvis Malakoane Stop taking sides Richard Mahope you are correct @Elvis Malakoane Stop femisism Mbuso Ndlovu avoid attacking me unnecessarily cos it won't end well The day just started now sefuna ukuhamba manje 😂😃😂@ mbuso Ndlovu Man always under estimate these poor souls "Hi everyone She is not law disability like other female lawyer that has appeared here before her. 
28:06,30:48, But stock is limited. First come first serve!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Mbuso Ndlovu the coronavirus is no joke @mbuso.... that is a rather childish claim to make. how many cases in s.a? uncountable Stop being negetive guys. Let us all be positive no man what a smart lady. "@Adil Minhas 
31:59,42:07, Zondo is confused he's just not himself today Together we can overcome this Corona Dont forget Toyota corona is the strongest Japanese car Nothing impossible She need to intercede for our Public Protector Morning all Blessed morning to you too Jacqui "Inter site was corrupt if they go deep into the investigation of this inter site and Prasa We have no trains today bcouse of this corruption happening in Prasa 
43:20,50:19, @Owen Nyilika We do have trains ihave just used one yesteday I would like to ask a Question what is actuality happening to our country Johanneburg and Germiston no train Blessing in disguise what would happen considering the pandemic Sorry Power Cables all are down stolen by Nyaupes That's also part of state capture I am scared of the air I breath Stop breathing for 2 months then Cruda.hehehehehehe 
54:57,1:19:24, it's seems like she is not sure about what she's saying can you give a chance to deliver some words at UN. it is my dream. iam a indian. name is salman. i can say the approachs of islam about corona. 'I will never understand this society . First they try to murder me then they lie to me' Amaru what happens to people.who sttugglle fot water Stella Puckree water and lack of refuse collection is a general health hazard and now with virus risk exposure is higher that is over and above no water crisis Hello too many symbolism 33 written all over this...so its fake. 
1:22:11,1:33:14, morning pastor ម។។ ។ PRESS W TO BUILD A WALL PRESS W TO BUILD A WALL l 🌋 PRESS E IF THIS IS THE END 🌋 PRESS E IF THIS IS THE END 🌋 PRESS E IF THIS IS THE END 🌋 PRESS E IF THIS IS THE END 
1:33:45,1:34:55, I don’t know Hope not IT IS PRESS E Wonder what else they are covering up E Dang "um why did this auto play for me Neither have i 
1:35:06,1:36:06, Lol PRESS A IF YOU'D SMASH ARIANA GRANDE Lol Y u say it’s the end for Naw 🍔🍟 PRESS B TO BRING BACK THE McRIB 🍔🍟 PRESS B TO BRING BACK THE McRIB Hey Y u say it’s the end 
1:36:10,1:36:57, ??????????? Tom?????????? I have to BLOCK these foolish buggers Lol IT'S THE END Y BECAUSE MCDONALDS CHANGED THEIR MENU @Pastor J - go for it How 
1:37:04,1:43:46, PRESS K IF YOU'D SMASH KATE UPTON Wat a guy Naw BLOCKED. Peace will come back soon PRESS W TO BUILD A WALL : : . "let's deal with corona lol 
1:48:27,1:50:34, wht is happening here???is this the same platform to talk abt state capture? "Been taken over by idiots rapture time Corona Corona Corona Corona!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! WWWWW W W W W 
1:50:35,2:03:41, W :V What is this lady is lying When is R Kelly comming out from prison??????????????????????????????? Malema must come back and gorven this Countyr lets fight corona virus @mbuso....Only intelligent people on this chat. You are the weakest link bro hi op 
