starttime, endtime,message
time,32:18,message my other favorite advocate.💃 Another day of looting exposure this looks like a british descent south african citizen So what if this man is of British descent?? not today please it's too early guyz i dont know what @Val Speirs is worried about my statement.. This learned gentleman is going to explain that the purchase of the Chinese locomotives were not compatible with our train tracks/rails. 
33:20,42:58, "This man is well spoken  This is going to be interesting Eastern Cape Premier elect in new scandal.A new Bentley costing R4m and house renovations in question You seem surprised.......????? @Magda Seguin anyone can be a learned and articulate as long he/she given an opportunity.. trolls should be ignored completely! They eventually disappear into thin air.. "Not really @Robert Russell i doubt @Rubin Naidoo the whole of them looted SA 
44:08,54:13, looters must be brought to book ... watching from europe @Rubin Naidoo From what I hear None. All departments were infected with this looting streak. I would be suprised if I was told otherwise. I may be mistaken but didn't the Guptas have majority shares in China South Rail? The billions paid to CSR was never paid back as they never provided anything Nope no share holding.... only kick backs via Issa and a Hong Kong shelf company @Magda Seguin @Rubin Naidoo No - all levels of government have been corrupted by the ANC "@Rubin Naidoo I know the feeling I do wish that the railway system could be resurrected so that these heavy duty transporting Trucks do not have to be on the roads which would also reduce maintenance costs.Army must safeguard trains. Mohammed Mohammedy... connection :O 
54:14,58:08, Thanks @Robert Russell my head is spinning with all the details..its becoming hard to keep up truth is if most of us had the means to start over anywhere we would "@Val Speirs exact;ly  Oh Yes@Robert Russell I remember the shelf company now You might have been confused with Denel and VR Laser @Granny Mokwena there was a time I cried every day listening to this commission..its soul destroying especially knowing the majority of SA people are struggling and poor the english in general have bad manners..the guy doesnt even address the dcj as chair as per norm.. "Yes I was confused @Robert Russell more show 
59:48,1:05:17, As long as he makes eye contact with Judge Zondo it's fine one does not have to keep referring to the Chair. I think his manners are impeccable. I agree with you Magda..... about the poor people suffering even more than they deserve too... imagine what a R140 MILLION could do instead of the ANC spending this on a party for CR next week @Val Speirs no man.. If they made a gesture to have a small ceremony it would have showed compassion and integrity Ramaphosa should just be sworn in.. no party celebrations in this terrible economic climate. R140m just for one day.. @Val l agree with u this ppl must save money for education homelessness health I think he should be sworn AT for allowing this waste of money Magda this money is too much Anc cant think properly 
1:05:52,1:09:46, I see on Twitter that people are not happy about the inauguration flamboyancy and spending @Bridgette Kekana ....Zuma's last party cost R240 MILLION.... so the ANC now thinks they are doing well.... @Magda n me 2 l m not happy doing nothing Imagine if the money had been spent on service delivery and uplifting the poor what a difference it could have made to these communities... but that is not what happened. Out if the 32 thousand invited only 10 thousand 'ordinary'South Africans are allowed as 'walk ins'...those who have no cars will not stand a chance. "@Bridgette Kekana Me too The Rich have heaven on earth the poor remain the same. going to Loftus n get one thigh or drumstick n 3 slices of bread 
1:10:17,1:13:43, CR has the back bone of a jelly fish..... expect to see the same crooks in the NEC selection... @Magda Seguin The entry for ordinary SAs are between 3am and 7 am...its laughable having to wait for hours until the others arrive Bathabile Gigaba n Nomvula going to parly l cant believe this The food stall will be coining it at Loftus why are ppl arguing on here. lik it will mak any difference..lol. "@Robert Russell I really pray that NDZ do not become Deputy President Pravin Gordan will be deduty president @Jabu Malinga it is because the evidence being given today is rubbish..i dont get this english guy is saying..i think even the dcj is not following well.. Must go and protest where this Inauguration is taking place. Get your posters ready. 
1:13:52,1:16:20, the ANC has no will power to even try stamp out corruption! And they will spend more millions on the SONA after the Loftus shindig. Were the 1064 locomotives ever delivered? and was the gauge correct? Protest against the expenditure of this Inauguration. NDZ will save her ex husband from prosecution DD is waaay to influential to be ignored....but yes... lets hope then that the Zuma faction doesn't get that high up the leadership ladder in parly... we have ACE as SG with Jessie the lap dog as well I am sick in bed today but the commission is too important to miss "@ Magda Seguin surely that won’t happen if it does will create divisions coz women failed to backup candidates for deputy president what wil u ppl do if honourable SG Ace becomes no.2...hahahahahah 
1:16:33,1:19:57, Zondo is confaazed today what Happened to Hon Stive Masele @Val yes it is true bfore its too late @makhosi nobhtayi thanks for explaining..it gives a bit of hope Ramophosa surely cannot elect people who have been implicated in corruption in this commission of enquiry. Nomvula has been implicated @Lorna Kavanagh as far as I gathered it was never delivered but the money was never returned Val that's 85% of the ANC NDZ was captured and is linked to the Guptas. 
1:20:18,1:21:44, if President Rama exclude those who are implicated in this commission then the will be no one in parliament to represent the anc coz they are all corrupt he was not in but outside There will be no change ppl. get that out ya heads. Ramaphosa promised a lot of favors to win at Nasarec. DD and the like have to now be accommodated. Houston we have a problem "ramaphosa had all these months to make changes In some organization if you go or dont go its still an issue From what I understand... the ANC NEC makes up the list of members to parly.... the President picks his Cabinet from this list..... what makes u think he will suddenly appoint ppl who are not implicated how can you attend the meeting without being authorised to do so? english arrogance 
